choudhureeo,	চৌধুরিও,	চৌধুরীও,	
monmotho,	মন্মো,	মন্মথ,	
sachetanotamulak,	সাচ্চাানামূলক,	সচেতনতামূলক,	
taalgaachh,	তালগাচ,	তালগাছ,	
algorithm,	অ্যালগরিদম,	এলগরিদম,	
laabonii,	লাবণী,	লাবনী,	
bhromonkaale,	ভ্রমণকালে,	ভ্রমণকালে,	
sharoker,	শরবকরের,	স্মারকের,	
loukikotaa,	লৌকিকতা,	লৌকিকতা,	
utshahi,	উতসাহি,	উৎসাহী,	
sotorkotar,	সতরকক্তা,	সতর্কতার,	
lat,	লতযা,	লাট,	
maheendra,	মহীন্দ্র,	মাহিন্দ্রা,	
shosha,	সসা,	শশা,	
nischitvabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
jotinke,	জোটিংকে,	যতীনকে,	
oncholshomuher,	অঞ্চলসসূূহের,	অঞ্চলসমূহের,	
sangkulaan,	সংকুলুন,	সংকুলান,	
aksathei,	এক্ষাথেই,	একসাথেই,	
kaareer,	কারীর,	কারীর,	
hiiragana,	হিরোগান,	হিরাগানা,	
mg,	এমএ,	এমজি,	
dakop,	ডাকোপ,	দাকোপ,	
hoteeltite,	হটিলটতে,	হোটেলটিতে,	
shaddhi,	সাধধি,	সাধ্বী,	
oteeteo,	অতিতেও,	অতীতেও,	
akkharkey,	আক্ষরকে,	অক্ষরকে,	
chalochchitreeo,	চলচ্চিত্রেও,	চলচ্চিত্রেও,	
choudhurir,	চৌধুরির,	চৌধুরীর,	
dijnii,	দিজনী,	ডিজনী,	
oxforde,	অক্সফার্ডে,	অক্সফোর্ডে,	
besirbhagi,	বেশিরভাগি,	বেশিরভাগই,	
banijyikbhittik,	বানিজ্ঞিতকতিক,	বাণিজ্যিকভিত্তিতে,	
siite,	সীটে,	শীতে,	
moushumti,	মৌশুমিি,	মৌসুমটি,	
jeten,	জেতেন,	যেতেন,	
veemsen,	ভীমসেন,	ভীমসেন,	
karadando,	কারাদন্ড,	কারাদণ্ড,	
tunar,	টাননার,	টিউনার,	
porikhar,	পরীক্ষার,	পরিখার,	
sampadon,	সম্পাদন,	সম্পাদন,	
bagicha,	বাগিছা,	বাগিচা,	
chalochchitra,	চলচিত্র,	চলচ্চিত্র,	
ameettrakkhor,	অমিত্রকক্ষর,	অমিত্রাক্ষর,	
sohokaree,	সহকারি,	সহকারী,	
eporjanta,	এপর্যান্ত,	এপর্যন্ত,	
bypass,	বিপস,	বাইপাস,	
vabanir,	ভববাীর,	ভবানীর,	
diyi,	দিই,	দিই,	
aswastikar,	অস্বস্তিকার,	অস্বস্তিকর,	
donut,	দানুত,	ডোনাট,	
graambaseeo,	গ্রামবাসীও,	গ্রামবাসীও,	
mit,	মিট,	এমআইটি,	
ssumi,	সুমি,	সুমি,	
lag,	লাগ,	লগ,	
vobotarini,	ভবতারীণী,	ভবতারিণী,	
mangoleek,	মাঙ্গলিক,	মাঙ্গলিক,	
baarak,	বারাক,	বারাক,	
texuser,	টেকিসেররর,	টেক্সাসের,	
aminool,	আমিনুল,	আমিনুল,	
jamkalo,	জামকালও,	জমকালো,	
bouddher,	বৌদ্ধের,	বৌদ্ধের,	
tukrotey,	তুকরততে,	টুকরোতে,	
sibraj,	শিবরাজ,	শিবরাজ,	
elakaatite,	এলাকাটিতে,	এলাকাটিকে,	
shikshagato,	শিক্ষাত,	শিক্ষাগত,	
patthkrom,	পাঠ্ক্রম,	পাঠক্রম,	
drissogulote,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
kaner,	কানের,	কনের,	
manaber,	মানেনের,	মানবের,	
ssosha,	সসা,	শশা,	
ammor,	আমমর,	আমর,	
ewer,	এভার,	এভার,	
fevarite,	ফেভারিে,	ফেভারিট,	
sothikata,	সথিকতা,	সঠিকতা,	
shrabosti,	শ্রবস্তি,	শ্রাবস্তী,	
graambashi,	গ্রামবাসী,	গ্রামবাসী,	
vince,	ভিনসে,	ভিন্স,	
dibeeta,	দ্বীত,	ডিবেট,	
akhando,	আখনন্দ,	অখন্ড,	
bishwaashshoi,	বিশ্বাসই,	বিশ্বাসই,	
heeavy,	হেভভি,	হেভি,	
baipass,	বাপাশ,	বাইপাস,	
osommotite,	অসম্মটিতে,	অসম্মতি,	
halding,	হালদিং,	হোল্ডিং,	
dharabhashyakar,	ধারাভাষ্যকর,	ধারাভাষ্যকার,	
bashite,	বাযিতে,	বাঁশিতে,	
hijritey,	হিজরিতে,	হিজরীতে,	
uddhriti,	উদ্ধৃতি,	উদ্ধৃতি,	
dakteekiter,	ডকক্তিকিতের,	ডাকটিকিটের,	
rajan,	রাজন,	রাজন,	
dhormi,	ধর্মী,	ধর্মী,	
dienes,	ডাইেনেস,	ডিএনএস,	
jibanta,	জীবনতত,	জীবন্ত,	
karloosa,	কার্লস,	কার্লোস,	
madhyastho,	মধ্যস্থ,	মধ্যস্থ,	
transcom,	ট্রান্সককম,	ট্রান্সকম,	
tiger,	তিগের,	টাইগার,	
sorano,	স্ানো,	সরানো,	
allahabade,	আলাহাবাদে,	এলাহাবাদে,	
ponjjikar,	পঞ্জজকার,	পঞ্জিকার,	
shaamiijiir,	সামিজীর,	স্বামীজীর,	
chat,	চাট,	চ্যাট,	
protista,	প্রতিষ্টা,	প্রতিষ্টা,	
sealvi,	সিলভী,	সিলভি,	
byabaharkarie,	ব্যবহারকারী,	ব্যবহারকারীই,	
carpeet,	কর্পি,	কার্পেট,	
kharar,	খারার,	খরার,	
kathmandu,	কথমমান্ডু,	কাঠমান্ডু,	
cholechi,	চলেছি,	চলেছি,	
rca,	ররক,	আরসিএ,	
breil,	ব্রেইল,	ব্রেইল,	
silvi,	সিলভি,	সিলভি,	
cheento,	চিন্ত,	চিনতো,	
deembakriti,	ডিম্বাকৃতি,	ডিম্বাকৃতি,	
siddhantoo,	সিদ্ধান্তু,	সিদ্ধান্তও,	
kayartara,	কায়া্্টার,	কোয়ার্টার,	
badana,	বাদানা,	বদনা,	
jolorong,	জলগর,	জলরঙ,	
srichoitonnodeb,	শ্রীচন্তদাবেদ,	শ্রীচৈতন্যদেব,	
mehnoti,	মেহনটি,	মেহনতি,	
hazarer,	হাজারের,	হাজারের,	
faster,	ফ্য্টার,	ফস্টার,	
shaartho,	সার্থ,	স্বার্থ,	
pathanirdeshona,	পথনির্দেশনা,	পথনির্দেশনা,	
chhutee,	ছুটি,	ছুটি,	
baieq,	বেইক,	বাইক,	
horidar,	হরিডার,	হরিদ্বার,	
eideen,	এইি,	এইদিন,	
chhattroraai,	ছাত্ররাইই,	ছাত্ররাই,	
chaalkee,	চালকি,	চালকে,	
umedpur,	উমমেপুর,	উমেদপুর,	
zyaka,	জ্যাক,	জ্যাক,	
laaisheesh,	লাইসিস,	লাইসেন্স,	
chilahaati,	চিলাহাটি,	চিলাহাটি,	
deeyenes,	ডিবনেস,	ডিএনএস,	
sangkoolan,	সংক্যুন,	সংকুলান,	
khalidke,	খলিকদে,	খালিদকে,	
asabhya,	অসব্ভ,	অসভ্য,	
wool,	উু,	উল,	
arthanitike,	অর্থনীতিকে,	অর্থনীতিকে,	
brindaboney,	বৃন্দবাবে,	বৃন্দাবনে,	
duplee,	দুপলল,	ডুপ্লে,	
abahon,	আবাহন,	আবাহন,	
kaamla,	কাললা,	কামলা,	
noitikatavodh,	নৈতিতাধাধ,	নৈতিকতাবোধ,	
ganoporibahan,	গণপরিবান,	গণপরিবহন,	
eesosiyeetasa,	এসসিিয়েস,	এসোসিয়েটস,	
prottokhobhabe,	প্রত্যা্্ভাাবে,	প্রত্যক্ষভাবে,	
masjidsaho,	মাসদিজহহ,	মসজিদসহ,	
rajnaiteek,	রাজনৈতিক,	রাজনৈতীক,	
proshadhoni,	প্রশাধনী,	প্রসাধনী,	
kamiz,	কমিজ,	কামিজ,	
daakope,	ডাকোপে,	দাকোপ,	
qibord,	কিবররড,	কীবোর্ড,	
cholochchitroke,	চলচিত্রকে,	চলচ্চিত্রকে,	
bagda,	বাগদা,	বাগদা,	
skolastik,	স্কললাক্তিক,	স্কলাস্টিক,	
shaarther,	সার্থের,	স্বার্থের,	
panchashjan,	পঞ্চাশজন,	পঞ্চাশজন,	
pashan,	পাশণ,	পাষাণ,	
eparjonta,	এপরর্ন্ত,	এপর্যন্ত,	
barnish,	বার্নিস,	বার্নিশ,	
surti,	শূর্তি,	সুরটি,	
chamsky,	চ্যাক্সি,	চমস্কি,	
obdi,	অবদি,	অব্দি,	
jyakashana,	জ্যাকশনা,	জ্যাকসন,	
akkhunno,	অক্ষুণ্ন,	অক্ষুণ্ণ,	
roktokhorone,	রক্তক্রণে,	রক্তক্ষরণে,	
debaag,	দেবাগ,	ডিবাগ,	
vittio,	ভিট্ও,	ভিত্তিও,	
jaatte,	জাতত,	জাতটি,	
johny,	জন্,	জনি,	
protizogiitamulok,	প্রতিযোগিতাপূলো,	প্রতিযোগীতামূলক,	
shasheja,	শাসেজ,	সসেজ,	
unitgulo,	উউিতগগুলো,	ইউনিটগুলো,	
ancholsaho,	অঞ্চলসাহ,	অঞ্চলসহ,	
batsmaner,	বাসমমনানের,	ব্যাটসম্যানের,	
laaz,	লাজ,	লাজ,	
vaticaner,	ভাটিকাণের,	ভ্যাটিকানের,	
lumbinee,	লুমবিনী,	লুম্বিনী,	
haj,	হ্যাজ,	হয,	
cholochchitratike,	চলচ্তির্রিকে,	চলচ্চিত্রটিকে,	
pratishhta,	প্রতিষ্ট,	প্রতিষ্টা,	
cholochchitreeo,	চলচ্চিত্রেও,	চলচ্চিত্রেও,	
venom,	ভেনমম,	ভেনম,	
roktokhoron,	রক্তচ্রর,	রক্তক্ষরণের,	
ghotlo,	ঘটলো,	ঘটল,	
istara,	ইস্টার,	ইস্টার,	
horiddare,	হরিদারে,	হরিদ্বারে,	
byaboharkariderke,	ব্যবরাারকদদের,	ব্যবহারকারীদেরকে,	
sarbharer,	সারভারের,	সার্ভারের,	
drishtiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
srichoitonyodeb,	শৃরীচৈত্্যেব,	শ্রীচৈতন্যদেব,	
ponthaar,	পন্থার,	পন্থার,	
muzibur,	মুজিবর,	মুজিবুর,	
aakik,	আকিক,	আকিক,	
songosthati,	সংস্থাটি,	সংস্থাটি,	
shansthaner,	সংস্থনের,	সংস্থানের,	
favorite,	ফভরিতে,	ফেভারিট,	
jaroori,	জরুুী,	জরূরী,	
makhmoley,	মাখমেল,	মখমলে,	
lokeshon,	লোকেশন,	লোকেশন,	
chhaani,	ছানি,	ছানি,	
sangkalaner,	সংক্লালনের,	সংকলনের,	
philippiner,	ফিলিপিনের,	ফিলিপাইনের,	
chedropothe,	চেদ্রপেঠে,	ছিদ্রপথে,	
bonshi,	বনশি,	বংশী,	
manab,	মননা,	মানব,	
tigers,	টিগার্স,	টাইগার্স,	
dower,	দাওরর,	ডোভার,	
kanasarabheshana,	কনসারভেশন,	কনসারভেশন,	
thela,	থেলা,	ঠেলা,	
prabhritike,	প্রভৃতিকে,	প্রভৃতিকে,	
gajetted,	গজযেটেদ,	গেজেটেড,	
addabaj,	আদ্দাবাজ,	আড্ডাবাজ,	
tantira,	তানটিরা,	তাঁতিরা,	
udvabaker,	উদ্ভাবাকেের,	উদ্ভাবকের,	
kumarir,	কুমারির,	কুমারীর,	
aarke,	আরকে,	আরকে,	
militarir,	মিলিটারির,	মিলিটারির,	
mile,	মিলে,	মিলে,	
koreemer,	করিমের,	করিমের,	
ruby,	রুবি,	রুবী,	
meghey,	মেঘে,	মেঘে,	
krush,	ক্রুশ,	ক্রুশ,	
ashachetan,	অসাচতন,	অসচেতন,	
niketoner,	নিকেটনের,	নিকেতনের,	
khelafotey,	খেলাফোতে,	খেলাফতে,	
ponchashjon,	পঞ্চাশজনন,	পঞ্চাশজন,	
spredasita,	স্প্রাডসিট,	স্প্রেডশীট,	
kota,	কোটা,	কোটা,	
kaferderke,	কাফররদরকে,	কাফেরদেরকে,	
bhugten,	ভুগতেন,	ভুগতেন,	
lande,	লনযান্ডে,	ল্যান্ডে,	
lohaa,	লোহা,	লোহা,	
naajee,	নাজি,	নাত্সি,	
golakritir,	গোলাকৃতির,	গোলাকৃতির,	
coshon,	কোষ,	চোষণ,	
prokalpagulo,	প্রকালাপগুলো,	প্রকল্পগুলো,	
kathhmandute,	কথঠমান্ডু,	কাঠমান্ডুতে,	
manushsaho,	মানুসহ,	মানুষসহ,	
gosthike,	গোষ্ঠীকে,	গোষ্ঠীকে,	
enginears,	এং্নান্স,	ইঞ্জিনিয়ার্স,	
asor,	আসর,	আসর,	
hafsa,	হাসস,	হাফসা,	
windows,	উইন্ডউউস,	উইন্ডোস,	
shhow,	শও,	শো,	
pothchari,	পথচরই,	পথচারী,	
gavashkar,	গো্ষসার,	গাভাস্কার,	
gori,	গরী,	গোরি,	
drissogulo,	দৃশ্যুুলো,	দৃশ্যগুলো,	
barbadoz,	বারবাাদাজ,	বার্বাডোজ,	
chikittsar,	চিকিৎসার,	চিকিত্সার,	
karta,	করর্,	করতা,	
yak,	যাক,	ইয়াক,	
canservatian,	কনসারভেশন,	কনসারভেশন,	
footbalarder,	ফুটবলররের,	ফুটবলারদের,	
awatar,	অভাাটার,	অবতার,	
bashitey,	বাষিতে,	বাঁশিতে,	
otiteo,	অতিতেও,	অতীতেও,	
naitikata,	নৈতটিকতা,	নৈতিকতা,	
salsa,	সললস,	সালসা,	
sorsa,	সর্ষ,	সোর্স,	
ovishangson,	অভিশংসন,	অভিশংসন,	
teestaar,	তেস্টার,	তিস্তার,	
janmato,	জন্মত,	জন্মাত,	
manushey,	মানুষে,	মানুষে,	
nirvachakder,	নির্বাচকদের,	নির্বাচকদের,	
pathkromer,	পাঠ্রমমের,	পাঠক্রমের,	
mahish,	মহিিস,	মহিষ,	
soommita,	সুমিত,	সুমিতা,	
khorsed,	খোর্সেদ,	খোরশেদ,	
bisringkhola,	বিশৃঙখখল,	বিশৃঙ্খলা,	
gananatyo,	গণতান্ত্য,	গণনাট্য,	
abheedhaaneeck,	অভিধানিক,	অভিধানিক,	
jansa,	জাসস,	জন্স,	
janagononar,	জনগণনার,	জনগণনার,	
stationer,	স্টেশনের,	ষ্টেশনের,	
zuktorastrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
ingrejder,	ইংরেজেের,	ইংরেজদের,	
protijogita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
chenja,	চেঞ্জ,	চেঞ্জ,	
aziboner,	আজিবনের,	আজীবনের,	
hosain,	হোসেনন,	হোসেইন,	
gare,	গরে়,	গোর,	
doneta,	দোনতো,	ডোনাট,	
utkhaat,	উৎ্াট,	উত্খাত,	
bheenasa,	ভেনস,	ভেনাস,	
yuq,	ইউক,	ইয়াক,	
hundayi,	হান্ড,	হুন্দাই,	
hijrite,	হিজরিতে,	হিজরীতে,	
ministerer,	মিনিসটট্রের,	মিনিস্টারের,	
dreestiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
definishion,	ডেফিনিশশন,	ডেফিনেশন,	
pancbaar,	পাঁচবার,	পাঁচবার,	
jins,	জিনসস,	জিন্স,	
samajik,	সাাাজ্জিক,	সামাজিক,	
breaqthrough,	বৃক্তররঘ,	ব্রেকথ্রু,	
bhumijo,	ভূমিজ,	ভূমিজ,	
boikalyo,	বৈকলল্য,	বৈকল্য,	
cannel,	ক্যানেল,	ক্যানেল,	
ralof,	রাফফ,	রালফ,	
damanmulok,	দামনূমূলক,	দমনমূলক,	
murad,	মুরাদ,	মুরাদ,	
ebhara,	এভার,	এভার,	
karoo,	কারু,	কারো,	
azijer,	আজিজের,	আজিজের,	
songkoloner,	সংকললনের,	সংকলনের,	
brookolin,	ব্রুকোলিন,	ব্রুকলিন,	
melborrone,	মেলবর্ণে,	মেলবোর্নে,	
chotogolpe,	ছটোগগল্,	ছোটগল্পে,	
rilayensa,	রিলেযেন্স,	রিলায়েন্স,	
gyandaas,	জ্যান্ডস,	জ্ঞানদাস,	
parqa,	পার্ক,	পার্ক,	
sinematographar,	সিনিনেটগ্রাফর,	সিনেমাটোগ্রাফার,	
soundarjo,	সৌন্দর্য্য,	সৌর্ন্দয্য,	
koyeeri,	কৈয়র,	কোয়েরি,	
bondhukey,	বন্ধুকে,	বন্ধুকে,	
toroonke,	তরুণকে,	তরুণকে,	
sow,	সও,	শো,	
oporishodhito,	অপরিষধধিত,	অপরিশোধিত,	
shansthati,	সংস্থাটি,	সংস্থাটি,	
milea,	মিলে,	মাইলে,	
foxcon,	ফক্কন,	ফক্সকন,	
granthoti,	গ্রন্থটি,	গ্রন্থটি,	
bossoben,	বসসবেন,	বসবেন,	
kaaru,	কারু,	কারু,	
rayyalati,	রাই্যটি,	রয়্যালটি,	
meetropalitana,	মিত্রপপলিটান,	মেট্রোপলিটন,	
konfleekt,	কংল্লিকট,	কনফ্লিক্ট,	
seater,	সীটের,	সিটের,	
popeke,	পপেেে,	পোপকে,	
brindo,	বৃর্ড,	বৃন্দ,	
aabarte,	আবর্তে,	আবর্তে,	
inziniyarsa,	ইনজজিজার্স,	ইঞ্জিনিয়ার্স,	
clause,	ক্লাসস,	ক্লজ,	
lagche,	লাগে,	লাগছে,	
progreshsh,	প্রগগ্রেস,	প্রগ্রেস,	
gonoporeebohoner,	গণপরীবহনের,	গণপরিবহনের,	
butha,	বুঠা,	বুথ,	
dala,	ডা,	দলা,	
andamana,	আন্দোমন,	আন্দামান,	
source,	সোর্স,	সোর্স,	
sqora,	স্কোর,	স্কোর,	
dubaate,	দুবতে,	ডুবাতে,	
onucheeder,	অনুচিদের,	অনুচ্ছেদের,	
bhittie,	ভিটি,	ভিত্তিই,	
ghamtaa,	ঘাতটা,	ঘোমটা,	
tahalo,	তাললও,	তাহলো,	
laisensa,	লাইনেস,	লাইসেন্স,	
sakar,	সাকার,	সাকার,	
obhidhaner,	অভিধানের,	অভিধানের,	
torunderke,	ত্রুণদেরকে,	তরুণদেরকে,	
oiteejyer,	ঐতিজের,	ঐতিহ্যের,	
moshjid,	মস্জি,	মসজিদ,	
jhonkar,	ঝংকার,	ঝঙ্কার,	
parisankhyanvid,	পরিসান্ান্ধব,	পরিসংখ্যানবিদ,	
chhuti,	ছুটি,	ছুটি,	
shorifer,	শরীফের,	শরিফের,	
veenicee,	ভেনিসি,	ভেনিস,	
shooter,	সূাের,	শ্যুটার,	
somraatder,	সম্ত্দের,	সম্রাটদের,	
anektayi,	অনেকটিই,	অনেকটাই,	
corymb,	করিিব,	করিম,	
dhorer,	ধরের,	ধরের,	
mugdal,	মুগদল,	মুগডাল,	
tafsir,	তাসিির,	তাফসীর,	
jansha,	জাসস,	জন্স,	
aalkaatra,	আলাতরা,	আলকাতরা,	
swasti,	স্বস্তি,	স্বস্তি,	
jestha,	জেষ্ঠ্য,	জ্যেষ্ঠা,	
orthonitikey,	অর্থনীতিকে,	অর্থনীতিকে,	
bondikey,	বন্দিকে,	বন্দীকে,	
footbalarra,	ফুটবলরর,	ফুটবলাররা,	
istane,	ইস্তেন,	স্টোন,	
shho,	স্,	শো,	
diphinision,	ডিফিনিশন,	ডেফিনেশন,	
alonkaran,	অলংকরণণ,	অলঙ্করণ,	
dibi,	দিবী,	দিবি,	
spredshiit,	স্পৃরেসসসি,	স্প্রেডশীট,	
sur,	সুর,	সুর,	
teentir,	তেনটির,	তিনটির,	
taler,	তালের,	তালের,	
avinetar,	অভিনেতার,	অভিনেতার,	
swartha,	স্বর্্থ,	স্বার্থ,	
stonahenza,	স্তোনাহেজ্য,	স্টোনহেঞ্জ,	
osamorik,	অসামরিক,	অসামরিক,	
tafasir,	তফসির,	তাফসীর,	
ganachin,	গণছাচি,	গণচীন,	
chhotogolper,	ছোটোগল্পের,	ছোটগল্পের,	
crime,	ক্রিম,	ক্রাইম,	
songosthatir,	সংস্থাটির,	সংস্থাটির,	
projanankal,	প্রজানকালাল,	প্রজননকাল,	
eqsapreshana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
rothin,	রথিন,	রথীন,	
shreechaitanyadeb,	শ্রীচাতন্দাদেব,	শ্রীচৈতন্যদেব,	
danab,	দানাব,	দানব,	
ajiban,	অজিবন,	আজীবন,	
jeelyand,	জিল্যান্ড,	জিল্যান্ড,	
sudden,	সুদদেন,	সাডেন,	
cholochchitragulor,	চলচ্ছিত্রগুলোর,	চলচ্চিত্রগুলোর,	
upobaasher,	উপবাসের,	উপবাসের,	
harz,	হার্জ,	হার্জ,	
shoccer,	সক্ররর,	সকার,	
sakkhatkarer,	সাক্ষাতকারের,	সাক্ষাত্কারের,	
asiatic,	অসযজাটিক,	এশিয়াটিক,	
faltir,	ফলটির,	ফলটির,	
bishesyo,	বিশেষ্,	বিশেষ্য,	
farmat,	ফরমমট,	ফরম্যাট,	
dolgulo,	দলগুলো,	দলগুলো,	
naagaalyand,	নাগল্যান্ড,	নাগাল্যান্ড,	
senabahinike,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
sardar,	সর্দা,	সরদার,	
antarbhuktimulak,	অন্তর্ভূত্তিকল,	অন্তর্ভুক্তিমূলক,	
soolke,	সুলকে,	শুল্কে,	
bitloser,	বিতলসষের,	বিটলসের,	
oncholsomuher,	অঞ্চলসমূহেরর,	অঞ্চলসমূহের,	
rachonakal,	রচনাকক,	রচনাকাল,	
graambasee,	গ্রামবাসী,	গ্রামবাসী,	
tennish,	টেনিস,	টেনিস,	
hughkey,	হুউকে,	হিউজকে,	
bagdad,	বাদদা,	বাগদাদ,	
dhaleshwari,	ধালেশ্বরী,	ধলেশ্বরী,	
ghoorsen,	ঘুরসেন,	ঘুরেছেন,	
kottar,	কতটর,	কট্টর,	
cathalic,	কোযালিক,	ক্যাথলিক,	
byabaharkareei,	ব্যবহারকাই,	ব্যবহারকারীই,	
rato,	রত,	রত,	
tirmijii,	তিরমিযী,	তিরমিজি,	
bongram,	বংগ্রাম,	বনগ্রাম,	
sosar,	সসার,	সকার,	
shoccar,	সক্চার,	সকার,	
yoneetey,	যননিতে,	যোনীতে,	
faksa,	ফক্স,	ফক্স,	
sanbadmadhyamer,	সংবাদাধধ্মেম,	সংবাদমাধ্যমের,	
vittimul,	ভিত্তিমূল,	ভিত্তিমূল,	
dule,	দুলে,	ডালে,	
ancholke,	আঞ্চলে,	অঞ্চলকে,	
oholya,	অহললায,	অহল্যা,	
tegara,	টেগর,	টাইগার,	
shcholarshhip,	স্কলার্ষিপ,	স্কলারশিপ,	
bamonder,	বামন্দের,	বামনদের,	
balokarok,	বালারাকক,	বলকারক,	
labanaktatar,	লবনাক্ততার,	লবণাক্ততার,	
jaubanbati,	যৌবনন্তী,	যৌবনবতী,	
shhip,	শিপ,	শিপ,	
vagna,	ভাগ্ন,	ভগ্ন,	
foshter,	ফোস্টের,	ফস্টার,	
zinsa,	জিনস,	জিন্স,	
abikaul,	অবিকুল,	অবিকল,	
shikkharthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
lagic,	লেগিক,	লজিক,	
siddharther,	সিদ্ধার্থের,	সিদ্ধার্থের,	
chetonagato,	চেতনাগত,	চেতনাগত,	
nirapottamulak,	নিরাপততবমূলক,	নিরাপত্তামূলক,	
horidwar,	হরিদ্বর,	হরিদ্বার,	
shelim,	সেলিং,	সেলিম,	
monjooshree,	মন্জুরি,	মঞ্জুশ্রী,	
foreex,	ফরেক্স,	ফরেক্স,	
sosa,	সসা,	শশা,	
taantira,	তান্তিরা,	তাঁতিরা,	
ayantarkatika,	আন্টর্কিকটত,	অ্যান্টার্কটিকা,	
muktilabh,	মুক্তিলাভ,	মুক্তিলাভ,	
taronee,	তারণণ,	তরণী,	
jahns,	জানস,	জন্স,	
gostii,	গোস্টি,	গোষ্ঠীই,	
asovarno,	অসবর্ন,	অসবর্ণ,	
uzbekistaner,	উজবেক্ষেটানের,	উজবেকিস্তানের,	
soores,	সুরেশ,	সুরেশ,	
vaskor,	ভাসককর,	ভাস্কর,	
enginearing,	ইঞগগেনিং,	ইঞ্জিনিয়ারিং,	
ancholei,	আঞ্চলেই,	অঞ্চলেই,	
hoteltee,	হটেলটি,	হোটেলটি,	
nagalyand,	নাঅল্যান্ড,	নাগাল্যান্ড,	
alpoi,	আলপপই,	অল্পই,	
palbongser,	পালববংশরর,	পালবংশের,	
bohubar,	বহুবার,	বহুবার,	
meetar,	মেটার,	মিত্র,	
jalarong,	জলারং,	জলরঙ,	
polashir,	পললসীর,	পলাশীর,	
gafilati,	গফিলাটি,	গাফিলতি,	
safin,	সফিন,	সাফিন,	
injiniyarsha,	ইনজিিির্স,	ইঞ্জিনিয়ার্স,	
rajtontre,	রাজতন্ত্রে,	রাজতন্ত্রে,	
utpatti,	উৎপত্তি,	উতপত্তি,	
jees,	জিস,	জেস,	
raagei,	রাগেই,	রাগেই,	
sangasthatir,	সংস্থাটির,	সংস্থাটির,	
naaji,	নাজি,	নাত্সি,	
dhhaloor,	ঢালুর,	ঢালুর,	
azaan,	আজান,	আজান,	
shainyader,	সৈন্যদের,	সৈন্যদের,	
smaraker,	স্মররের,	স্মারকের,	
stalin,	স্তালিন,	স্টালিন,	
churger,	চার্গের,	চার্জের,	
manahputa,	মানাপুতা,	মনঃপুত,	
shajano,	সাজানো,	সাজানো,	
mohajote,	মহাজতে,	মহাজোট,	
neeshanasa,	নেসনসস,	নেশনস,	
argho,	আর্ঘ,	অর্ঘ্য,	
ralph,	রলফ,	রালফ,	
byatikramdharmi,	ব্যাতিরক্্্মীি,	ব্যতিক্রমধর্মী,	
joluk,	জলুক,	জ্বলুক,	
sthapanatir,	স্থাপনানির,	স্থাপনাটির,	
debdebie,	দেবদেবী,	দেবদেবী,	
jolaatanko,	জোলাতননঙক,	জলাতঙ্ক,	
adbhanced,	অ্যাভভান্ডেস,	অ্যাডভান্সড,	
oojbekistan,	অজবেকিি্তান,	উজবেকিস্তান,	
joubankale,	যৌবনকালে,	যৌবনকাল,	
rilayensha,	রিলেনেন,	রিলায়েন্স,	
rupert,	রূপার্ট,	রুপার্ট,	
janogananar,	জনগানার,	জনগণনার,	
nirmaankaaj,	নির্মাণজক,	নির্মাণকাজ,	
konaa,	কোণা,	কোনা,	
epiela,	এপিল,	আইপিএল,	
chalachchitrake,	চলচিতিত্রকে,	চলচ্চিত্রকে,	
batikromshali,	ব্যিতৃর্মলললী,	ব্যতিক্রমধর্মী,	
gujob,	গুবব,	গুজব,	
jadrel,	জাদররেল,	জাঁদরেল,	
durgotsave,	দুর্গশাভ,	দুর্গোৎসবে,	
becha,	বেচা,	বেচা,	
grauth,	গ্রাথ,	গ্রোথ,	
eshokol,	এসকল,	এসকল,	
seekkhaarthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
bheenama,	ভেনাা,	ভেনম,	
sahocorrze,	সাকর্্য্,	সাহচর্যে,	
naitikatabodh,	নৈতিতাকাবাধ,	নৈতিকতাবোধ,	
hariken,	হররিকেন,	হ্যারিকেন,	
yuroo,	ইররু,	ইউরো,	
muhammad,	মুহা্মদ,	মুহাম্মদ,	
hughes,	হুগসস,	হিউজেস,	
beam,	বিযম,	বীম,	
damonmoolok,	দামনূল্,	দমনমূলক,	
licensedhari,	লিকেনোসারি,	লাইসেন্সধারী,	
octane,	অক্তান,	অকটেন,	
iuroo,	ইইরো,	ইউরো,	
bondhuderkey,	বন্ধুদেরকে,	বন্ধুদেরকে,	
turkyder,	তুর্কীদের,	তুর্কিদের,	
kormyi,	কর্মই,	কর্মই,	
ganochiener,	গণছোচেনের,	গণচীনের,	
shomraatder,	সম্তাদের,	সম্রাটদের,	
tolemi,	তলেমম,	টলেমির,	
chalochchitraeer,	চলচিচিত্রের,	চলচ্চিত্রের,	
jwaluk,	জ্বালক,	জ্বলুক,	
ssahocorzo,	সাহকর্য,	সাহচর্য,	
