areek,	আরেক,	আরিক,	
nathivuktir,	নথিভুক্তির,	নথিভুক্তির,	
hamasa,	হামস,	হোমস,	
ooporostho,	উপরস্থ,	উপরস্থ,	
bhumir,	ভূমির,	ভূমির,	
muhamad,	মুহামদ,	মুহাম্মদ,	
hoomasa,	হোমস,	হোমস,	
ghantiti,	ঘানটিটি,	ঘাঁটিটি,	
omarjito,	অমর্জিত,	অমার্জিত,	
meghke,	মেঘকে,	মেঘকে,	
sikkhagato,	শিক্ষাগত,	শিক্ষাগত,	
nirapekkho,	নিরপেক্ষ,	নিরপেক্ষ,	
abdun,	আবদুন,	আবদুন,	
lambaate,	লামবাতে,	লম্বাটে,	
kadom,	কাদম,	কদম,	
bibechya,	বিবেচ্য,	বিবেচ্য,	
shov,	শাব,	শো,	
arena,	আরেনা,	এরিনা,	
moshjidti,	মস্চিত্ি,	মসজিদটি,	
sampadoner,	সম্পাদনের,	সম্পাদনের,	
ardasha,	অর্ডোশ,	আর্দশ,	
kata,	কা,	কোটা,	
laz,	লাজ,	লাজ,	
moshjidtir,	মস্চিত্ির,	মসজিদটির,	
jaistho,	জেষ্ট,	জ্যৈষ্ঠ,	
sumi,	সুমি,	সুমি,	
lobbyte,	লববেটে,	লবিতে,	
rabeta,	রাবেট,	রাবেতা,	
raeets,	রেটস,	রাইটস,	
aazaan,	আযান,	আজান,	
otyacharito,	অত্যাচরিত,	অত্যাচারিত,	
longhan,	লঙ্ঘন,	লংঘন,	
sipa,	সিপা,	শিপ,	
paramartha,	পরমর্থ,	পরমার্থ,	
jillul,	জিল্লুল,	জিল্লুল,	
swajan,	স্বজন,	স্বজন,	
armstronj,	আর্সস্রোজ,	আর্মস্ট্রং,	
bandhuke,	বন্ধুকে,	বন্ধুকে,	
categoryr,	কাটেগারির,	ক্যাটাগরির,	
nodnadir,	নদ্ধাদির,	নদনদীর,	
qaferderke,	কাফারদেরকে,	কাফেরদেরকে,	
nirgaman,	নির্গমণ,	নির্গমন,	
ipl,	ইপিল,	আইপিএল,	
chhed,	ছেদ,	ছেদ,	
teempaleeta,	টেম্পলিট,	টেম্পলেট,	
neemitto,	নিমিত্য,	নিমিত্ত,	
noiteekotabodh,	নৈতিকাবাদ,	নৈতিকতাবোধ,	
firti,	ফিরটি,	ফিরতি,	
parshwey,	পারস্বে,	পার্শ্বে,	
dipgulote,	দিপগুলোতে,	দ্বীপগুলোতে,	
ghursen,	ঘুর্ষেন,	ঘুরেছেন,	
bopoon,	বপুন,	বপন,	
nojder,	নজদের,	নজদের,	
fal,	ফাল,	ফল,	
pubancholer,	পুবাঞ্চলের,	পূর্বাঞ্চলের,	
gonona,	গণনা,	গননা,	
allah,	আল্লাহ,	আল্লাহ্,	
danut,	দানুত,	ডোনাট,	
sbajaner,	স্বজনের,	স্বজনের,	
bronjer,	ব্রঞ্জের,	ব্রোঞ্জের,	
tenis,	টেনিস,	টেনিস,	
ganohatyake,	গণহাজাতে,	গণহত্যাকে,	
bajite,	বাজিতে,	বাজিতে,	
jolrang,	জলরাঙ,	জলরঙ,	
associates,	অ্যাসোসোসিসেস,	এসোসিয়েটস,	
ronangone,	রণাঙ্গনে,	রণাঙ্গনে,	
madhobi,	মাধবী,	মাধবীর,	
behrampurer,	বেহরামপুরের,	বহরমপুরের,	
pratisthanikbhabe,	প্রতিষ্ঠানিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
istane,	ইস্তন,	স্টোন,	
daakticketer,	ডাক্িকিতের,	ডাকটিকিটের,	
toki,	টোকি,	তকি,	
shucre,	শুক্রে,	সাকার,	
dayitta,	দৈত্যা,	দায়িত্ব,	
aajeej,	আজিজ,	আজিজ,	
beshirvagei,	বেশিরভাগই,	বেশিরভাগেই,	
ekeerokom,	একিরকম,	একইরকম,	
nirvahey,	নির্বাহে,	নির্বাহে,	
shootar,	শুটার,	শ্যুটার,	
shahanara,	শাহানারা,	শাহানারা,	
bhumijo,	ভূমিজ,	ভূমিজ,	
gyandas,	জ্যান্ডস,	জ্ঞানদাস,	
jaunatar,	যৌনতার,	যৌনতার,	
pratiyogider,	প্রতিযোগিদের,	প্রতিযোগীদের,	
ghatir,	ঘািটির,	ঘাটির,	
korimpur,	করিপুর,	করিমপুর,	
turisht,	টুরিস্ট,	টুরিস্ট,	
economeeks,	ইকোনমিক্স,	ইকোনমিকস,	
gotihin,	গতিহীন,	গতিহীন,	
oitijjher,	ঐতিহ্যের,	ঐতিহ্যের,	
nadigulir,	নদিগুলির,	নদীগুলির,	
diphinision,	ডিফিনিশন,	ডেফিনেশন,	
enginears,	ইঞ্জিনার্স,	ইঞ্জিনিয়ার্স,	
mukhamandol,	মুখমন্ডল,	মুখমণ্ডল,	
johor,	জোহর,	জহর,	
joistha,	জৈষ্ঠ,	জ্যৈষ্ঠ,	
aswasteekor,	অস্বাস্কিতর,	অস্বস্তিকর,	
shrabastee,	শ্রবস্তি,	শ্রাবস্তী,	
tigre,	টিগরে,	টাইগার,	
sikha,	শিখা,	শিখ,	
venicey,	ভেনিসে,	ভেনিসে,	
foltir,	ফলটির,	ফলটির,	
huka,	হুক,	হুক,	
teereesa,	টেরেস,	টেরেসা,	
srimati,	শ্রীমতী,	শ্রীমতি,	
byabaharkarir,	ব্যবহারকারির,	ব্যবহারকারীর,	
manohputo,	মনোপপুত,	মনঃপুত,	
rapto,	রাপট,	রপ্ত,	
lampat,	লাম্পাত,	লম্পট,	
phareksha,	ফরেক্স,	ফরেক্স,	
rajtantrey,	রাজটন্ত্রে,	রাজতন্ত্রে,	
daroda,	দরদা,	দারদা,	
pyatarna,	প্যাটার্ন,	প্যাটার্ন,	
oncholke,	অঞ্চলকে,	অঞ্চলকে,	
techno,	টেকনো,	টেকনো,	
pudding,	পাদ্িং,	পুডিং,	
srichoitonnodeb,	শ্রীচৈতন্ববেদ,	শ্রীচৈতন্যদেব,	
fishing,	ফিশিং,	ফিসিং,	
byboshthar,	ব্যবস্থার,	ব্যাবস্থার,	
jhalkathee,	ঝালকাঠি,	ঝালকাঠী,	
byabaharkaree,	ব্যবহারকারি,	ব্যবহারকারী,	
puzito,	পূজিত,	পুজিত,	
aarakaner,	আরেকনের,	আরাকানের,	
fern,	ফার্ন,	ফার্ন,	
sarbharer,	সার্ভারের,	সার্ভারের,	
bite,	বিতে,	বাইট,	
satarkotar,	সতারকতার,	সতর্কতার,	
langhaner,	লঙ্ঘনের,	লংঘনের,	
sures,	সুরেশ,	সুরেশ,	
bashitey,	বাসিতে,	বাঁশিতে,	
abdune,	আবদুনে,	আবদুন,	
uttor,	উত্তর,	উওর,	
paksenara,	পক্ষেণার,	পাকসেনারা,	
palkee,	পালকে,	পাল্কি,	
groowth,	গ্রুথ,	গ্রোথ,	
mukhabandha,	মুখবন্ধ,	মুখবন্ধ,	
shaahocharjo,	শাহচর্য,	সাহচর্য,	
karadondey,	কারাদন্ডে,	কারাদণ্ডে,	
shuchonakal,	সূচনাকাল,	সূচনাকাল,	
kar,	কার,	কর,	
homeske,	হমেশকে,	হোমসকে,	
uthhe,	উঠে,	উঠে,	
rites,	রাইটস,	রিতেশ,	
laj,	লাজ,	লাজ,	
parijan,	পরিজন,	পরিজন,	
debeting,	ডেবেটিং,	ডিবেটিং,	
antarktika,	অন্টর্কেক্ট,	অ্যান্টার্কটিকা,	
shangsthaner,	সংস্থানের,	সংস্থানের,	
jolbe,	জলবে,	জ্বলবে,	
ever,	আভার,	এভার,	
vushito,	ভূষিত,	ভূষিত,	
goteehin,	গতিহীন,	গতিহীন,	
alsaar,	অলসার,	আলসার,	
sithilotar,	সিথিলতার,	শিথিলতার,	
elaakai,	এলাকাই,	এলাকাই,	
daakope,	ডাকোপে,	দাকোপ,	
koontee,	কোনটি,	কুন্তী,	
mitrota,	মিট্রোট,	মিত্রতা,	
nadike,	নাদিকে,	নদীকে,	
rajtantre,	রাজটন্ত্রে,	রাজতন্ত্রে,	
ssikkharthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
aaireshe,	আইরেসে,	আইরেসে,	
afjal,	আফজাল,	আফজল,	
besur,	বেশুর,	বেসুর,	
hurricanee,	হারিকেন,	হ্যারিকেন,	
sikkhakram,	শিক্ষাক্রম,	শিক্ষাক্রম,	
bosante,	বসন্তে,	বসন্তে,	
okkhorke,	অক্ষরকে,	অক্ষরকে,	
abotaar,	অবতার,	অবতার,	
gondho,	গন্ধ,	গন্ধে,	
uindoos,	উইন্ডুস,	উইন্ডোস,	
footbalarer,	ফুটবলরের,	ফুটবলারের,	
marodeho,	মারদেহ,	মরদেহ,	
siitei,	শিটেই,	শীতেই,	
korecho,	করেছ,	করেছ,	
joluk,	জলুক,	জ্বলুক,	
korechi,	করেছি,	করেছি,	
biswashwo,	বিশ্বস্ব,	বিশ্বাসও,	
gajetted,	গেজেটে,	গেজেটেড,	
nirvachakder,	নির্বাচকদের,	নির্বাচকদের,	
gronthotike,	গ্রন্থটিকে,	গ্রন্থটিকে,	
protijogitamulok,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
dajhya,	দাজ্য,	দাহ্য,	
steena,	স্টেন,	স্টেন,	
aporishodhito,	অপরিষোধিত,	অপরিশোধিত,	
asociatis,	অ্যাসোসিসিস,	এসোসিয়েটস,	
matorom,	মাতরম,	মাতরম,	
rathin,	রথিন,	রথীন,	
onekeri,	অনেকেরই,	অনেকেরই,	
estoonia,	এস্টুনিয়া,	এস্তোনিয়া,	
janmaat,	জন্মাত,	জন্মাত,	
thar,	দার,	থর,	
orthonitike,	অর্থনীতিকে,	অর্থনীতিকে,	
rajotwo,	রাজত্ব,	রাজত্ব,	
shivraj,	শিবরাজ,	শিবরাজ,	
irana,	ইরান,	ইরান,	
ongshogrohoner,	অংশগ্রহণের,	অংশগ্রহনের,	
isahak,	ইসহাক,	ইসাহাক,	
faj,	ফাজজ,	ফাজ,	
shhcholashtik,	স্কললাস্টিক,	স্কলাস্টিক,	
protijogira,	প্রতিযোগিরা,	প্রতিযোগীরা,	
abheedhaanic,	অভিধানিক,	অভিধানিক,	
tochhnoch,	তোচচন্চ,	তছনছ,	
antorvuktimulok,	অন্তর্ভূতিমূলক,	অন্তর্ভুক্তিমূলক,	
deputy,	ডেপুটি,	ডেপুটি,	
chhatta,	ছাটতা,	ছোট্ট,	
sonmukh,	সন্মুখ,	সন্মুখ,	
bheemsen,	ভীমসেন,	ভীমসেন,	
emiratas,	এমিরাটস,	এমিরেটাস,	
dumaa,	দুমা,	দুমা,	
rk,	এর্স,	আরকে,	
deubande,	ডেবান্ডে,	দেওবন্দে,	
musalmanra,	মুসলমানরা,	মুসলমানরা,	
dhhaaloor,	ঢালুর,	ঢালুর,	
eesosiyeetasa,	এসসেসিসেটস,	এসোসিয়েটস,	
prokalpao,	প্রকলাপও,	প্রকল্পও,	
show,	শাব,	শো,	
modelti,	মডেলটি,	মডেলটি,	
veenicee,	ভেনিসি,	ভেনিস,	
parswer,	পারস্বের,	পার্শ্বের,	
laagto,	লাগট,	লাগতো,	
octane,	অক্টনে,	অকটেন,	
muhammada,	মুহাম্মাদা,	মুহাম্মদ,	
zansa,	জাসস,	জন্স,	
ajeem,	আজিম,	আজিম,	
direectoratee,	ডিরেক্টরেট,	ডিরেক্টরেট,	
shrabostee,	শ্রবস্তি,	শ্রাবস্তী,	
goonoman,	গুণমান,	গুণমান,	
sarboshaktimaan,	সর্বস্বাকীততান,	সর্বশক্তিমান,	
jameser,	জমেসের,	জেমসের,	
madaul,	মাদুল,	মাদল,	
dines,	ডাইনিস,	দীনেশ,	
qinsa,	কিংস,	কিংস,	
ajijoor,	অজিযুর,	আজিজুর,	
tikta,	টীকটা,	তিক্ত,	
timathy,	তিমথি,	টিমোথি,	
olpoi,	অল্পই,	অল্পই,	
transformarer,	ট্রান্সফর্মের,	ট্রান্সফরমারের,	
rajatta,	রাজাত্মা,	রাজত্ব,	
phaqsa,	ফক্স,	ফক্স,	
drishtiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
utkhat,	উৎকাত,	উত্খাত,	
agora,	আগোরা,	আগোরা,	
koommatei,	কমাটেই,	কমাতেই,	
nopdikey,	নপপিকে,	নদীকে,	
farna,	ফার্ন,	ফার্ন,	
mukhomandaler,	মুখমন্ডলের,	মুখমণ্ডলের,	
udbhabony,	উদ্ভাবনী,	উদ্ভাবনী,	
definishian,	ডেফিনিশন,	ডেফিনেশন,	
phoolkopi,	ফুলকপি,	ফুলকপি,	
land,	ল্যান্ড,	ল্যান্ড,	
bahaal,	বাহাল,	বহাল,	
vagadada,	ভাগদা,	বাগদাদ,	
jestha,	জেষ্ঠা,	জ্যেষ্ঠা,	
sarolyo,	সরল্য,	সারল্য,	
adorsho,	আদর্শ,	আর্দশ,	
teresa,	তেরেসা,	টেরেসা,	
gonosochetonota,	গণশচচন্ততা,	গণসচেতনতা,	
samany,	সামানি,	সামান্য,	
dece,	ডেসে,	ডেকে,	
mailkhanek,	মেলখানকে,	মাইলখানেক,	
shailee,	সেলি,	শৈলী,	
sakara,	সাকার,	সকার,	
laicense,	লাইসেন্স,	লাইসেন্স,	
sylvi,	সিলভি,	সিলভি,	
abhijojan,	অভিযোজন,	অভিযোজন,	
dharabahikvabey,	ধারাবিহিকভাবে,	ধারাবাহিকটি,	
modelgulo,	মদেলগুলো,	মডেলগুলো,	
chhatroraai,	ছাত্ররাই,	ছাত্ররাই,	
ponchasjon,	পঞ্চাশন,	পঞ্চাশজন,	
jerushalem,	জেরোসালেম,	জেরুসালেম,	
botgach,	বোজগাছ,	বটগাছ,	
soteciety,	সোটেশিতি,	সোসাইটিতে,	
sachetanatamulak,	সচেতনাতমূলক,	সচেতনতামূলক,	
manushe,	মানুষে,	মানুষে,	
vaphara,	ভাফার,	বাফার,	
bhorkendra,	ভোরকেন্দ্র,	ভরকেন্দ্র,	
agomone,	আগমনে,	আগমনে,	
nilav,	নিলা,	নীলাভ,	
daaktikiter,	ডাক্তিকিতের,	ডাকটিকিটের,	
shatodha,	শতধ,	শতধা,	
aarke,	আর্ক,	আরকে,	
brindaabane,	বৃর্দবানে,	বৃন্দাবনে,	
karadandey,	কারাদন্ডে,	কারাদণ্ডে,	
averej,	আ্যাভেরেজ,	এভারেজ,	
tennise,	টেনিসে,	টেনিসে,	
uthey,	উঠে,	উঠে,	
samudratate,	সমুদ্রতাতে,	সমুদ্রতটে,	
robot,	রোবট,	রোবোট,	
danabder,	দানাদের,	দানবদের,	
creshcent,	ক্রিসেেন্ট,	ক্রিসেন্ট,	
spreadsiit,	স্প্রেশন্ট,	স্প্রেডশীট,	
daakteekiter,	ডাক্তিকিতের,	ডাকটিকিটের,	
patrol,	পাত্রল,	পেট্রোল,	
homesh,	হোমস,	হোমস,	
parikkhateo,	পরীক্ষাতেও,	পরীক্ষাতেও,	
kiutie,	কিউটিই,	কিউটি,	
deebatee,	দেবাটি,	ডিবেট,	
sharif,	শেরিফ,	শরিফ,	
kanayi,	কানাই,	কানাই,	
graambaasheeo,	গ্রামবাসিও,	গ্রামবাসীও,	
baibasthaar,	ব্যবস্থার,	ব্যবস্থার,	
gripa,	গ্রিপ,	গ্রিপ,	
naajee,	নাজী,	নাত্সি,	
faser,	ফাযাসের,	ফাঁসের,	
holdin,	হলদিন,	হোল্ডিং,	
senior,	সেনিয়র,	সিনিয়র,	
uddhrity,	উদ্ধৃতি,	উদ্ধৃতি,	
armstrong,	আর্সস্রোম,	আর্মস্ট্রং,	
janosomaj,	জনসমাজ,	জনসমাজ,	
ghotlo,	ঘটলো,	ঘটল,	
utsahamulak,	উৎসমাধূমূলক,	উৎসাহমূলক,	
bossonte,	বসনন্তে,	বসন্তে,	
ongshograhon,	অংশগ্রহণ,	অংশগ্রহন,	
krantikale,	ক্রান্তিকালে,	ক্রান্তিকালে,	
lesens,	লেসেন্স,	লাইসেন্স,	
darji,	দর্জি,	দরজি,	
betsman,	বেতসম্যান,	ব্যাটসম্যান,	
atto,	আত্ম,	আত্ম,	
mukhomandaley,	মুখমন্ডলে,	মুখমণ্ডলে,	
taalal,	তালাল,	তালাল,	
bhotarer,	ভোটরের,	ভোটারের,	
bhenna,	ভেনা,	ভেন্না,	
saazano,	সাজান,	সাজানো,	
eeksapreeshana,	এক্সপ্রেেশন,	এক্সপ্রেশন,	
teunar,	টিউনার,	টিউনার,	
jubokra,	যুবকরা,	যুবকরা,	
homser,	হমসের,	হোমসের,	
emerjency,	এমের্জিন্,	এমার্জেন্সি,	
panctaar,	পাঁচটার,	পাঁচটার,	
prokolpoguli,	প্রকল্পগুলি,	প্রকল্পগুলি,	
nodiigulir,	নদীগুলির,	নদীগুলির,	
lagche,	লাগচে,	লাগছে,	
chorbon,	চর্বন,	চর্বন,	
beshirbhagi,	বেশিরভাগই,	বেশিরভাগই,	
protyokkhovabey,	প্রত্যাখকাাবে,	প্রত্যক্ষভাবে,	
governerer,	গভর্নরের,	গভর্ণরের,	
bm,	বিএমএম,	বিএম,	
grambaseer,	গ্রামবাসীর,	গ্রামবাসীর,	
shilver,	শিলভের,	সিলভার,	
militarir,	মিলিটারীর,	মিলিটারির,	
sajja,	সাজা,	সজ্জা,	
shita,	সীতা,	সিট,	
sulfatee,	সালফাটি,	সালফেট,	
sirameeks,	সারেমিক্স,	সিরামিকস,	
gatihin,	গতিহীন,	গতিহীন,	
jatee,	জাতি,	যাতি,	
mosjidtir,	মস্চিত্র,	মসজিদটির,	
jacker,	জ্যাকার,	জ্যাকের,	
shhipa,	শিপা,	শিপ,	
leader,	লিডার,	লিডার,	
bishesyer,	বিশেষের,	বিশেষ্যের,	
rikondison,	রিকন্ডিসন,	রিকন্ডিশন,	
dakhbaar,	দকবার,	দেখবার,	
sahozlabhbhatar,	সহজভরবতার,	সহজলভ্যতার,	
ebham,	এভাম,	ইভিএম,	
hoteltite,	হটেলটিতে,	হোটেলটিতে,	
tarunra,	তরুণরা,	তরুণরা,	
keram,	কেরাম,	কেরাম,	
daltagi,	ডলটাগি,	দলত্যাগী,	
bhaabaaponno,	ভাবাপন্ন,	ভাবাপন্ন,	
phokskon,	ফক্ষণ,	ফক্সকন,	
gavaskar,	গভাষ্কার,	গাভাস্কার,	
omkar,	অমকার,	ওঙ্কার,	
nuhas,	নুঃস,	নুহাশ,	
joki,	যোকি,	জকি,	
ekok,	একক,	একক,	
kolkarkhana,	কললকখানা,	কলকারখানা,	
trivuj,	ত্রিভুজ,	ত্রিভূজ,	
ishan,	আইশন,	ঈশান,	
moshzidtike,	মস্চিতিিকে,	মসজিদটিকে,	
drissotir,	দৃশ্যটির,	দৃশ্যটির,	
balaruma,	বলরুম,	বলরুম,	
ghomta,	ঘুমতা,	ঘোমটা,	
somabeshke,	সমাবেষকে,	সমাবেশকে,	
moithili,	মৈথিলি,	মৈথিলি,	
melbourney,	মেলবোর্নে,	মেলবোর্নে,	
partho,	পার্থ,	পার্থ,	
suchorita,	সূচরিত,	সুচরিতা,	
nischitobhave,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
qredita,	ক্রেডিত,	ক্রেডিট,	
alexanderke,	আলেক্ষান্ডারকে,	আলেকজান্ডারকে,	
chhattroraai,	ছাত্রাাই,	ছাত্ররাই,	
tap,	তাপ,	ট্যাপ,	
ummool,	উম্মুল,	উম্মুল,	
ranadip,	রানাদিপ,	রণদীপ,	
daja,	ডাজা,	ডোজো,	
thakey,	থাকে,	থাকে,	
chidrapathe,	চিদ্রাপথে,	ছিদ্রপথে,	
mit,	মিত,	এমআইটি,	
jibnagar,	জীবনাগার,	জীবননগর,	
maryir,	মেরির,	ম্যারির,	
asamorik,	আসামরিক,	অসামরিক,	
padarthabid,	পদার্থবিদ,	পদার্থবিদ,	
shartho,	শ্রার্থ,	স্বার্থ,	
barron,	ব্যারন,	ব্যারন,	
bosstonto,	বসস্তন্ত,	বসন্ত,	
gatre,	গাত্রে,	গাত্রে,	
lutheerana,	লুথিরান,	লুথেরান,	
sulphate,	সালফাটে,	সালফেট,	
jatharthobhabe,	যথার্থভাবে,	যথার্থভাবে,	
naubom,	নবম,	নবম,	
poojito,	পুজিত,	পুজিত,	
kuhelika,	কুহিলিকা,	কুহেলিকা,	
chirohorit,	চিরোরিত,	চিরহরিৎ,	
tanight,	তানিঘা,	টুনাইট,	
ojouno,	অযৌন,	অযৌন,	
veenis,	বিনিস,	ভেনিস,	
kampito,	কাম্পিত,	কম্পিত,	
muktume,	মুকুতমে,	মাকতুম,	
talal,	তালাল,	তালাল,	
jonosomaj,	জনসমাজ,	জনসমাজ,	
dalu,	দলু,	ডালু,	
grip,	গ্রিপ,	গ্রিপ,	
shaatjoner,	সাতজনের,	সাতজনের,	
agibon,	আগিবন,	আজীবন,	
fixing,	ফিক্সিং,	ফিক্সিং,	
hipar,	হিপার,	হাইপার,	
kaferder,	কাফেরদের,	কাফেরদের,	
atmabiswasi,	আত্মবিশ্বাসী,	আত্মবিশ্বাসী,	
dhhabi,	ঢাবি,	ঢাবি,	
phix,	ফিক্স,	ফিক্স,	
ballabh,	বললাভ,	বল্লভ,	
adbhut,	অ্যাডভুট,	অদ্ভুত,	
bed,	বেড,	বেদ,	
tafaat,	তফৎট,	তফাৎ,	
kyapashula,	ক্যাপসুলা,	ক্যাপসুল,	
harja,	হর্জ,	হার্জ,	
dai,	দাই,	ডে,	
protizogiider,	প্রতিযোগিদের,	প্রতিযোগীদের,	
ganesh,	গেনস,	গণেশ,	
voter,	ভোটের,	ভোটার,	
byabosthar,	ব্যবস্থার,	ব্যবস্থার,	
pujito,	পূজিত,	পুজিত,	
risorte,	রিসরটে,	রিসোর্টে,	
sompadon,	সম্পাদন,	সম্পাদন,	
nirikhe,	নিরীখে,	নিরিখ,	
baman,	বামন,	বামন,	
iukyaliptasha,	উইক্যালিটসাস,	ইউক্যালিপ্টাস,	
transform,	ট্রান্সফোর্ম,	ট্রান্সফর্ম,	
machhder,	মাছদের,	মাছদের,	
samajik,	সামাজিক,	সামাজিক,	
nishader,	নিষাদের,	নিষাদের,	
gosthiti,	গস্থিতি,	গোষ্ঠীটি,	
serup,	শেরুপ,	সেরুপ,	
uponeesoder,	উপনিষদের,	উপনিষদের,	
dekhbaar,	দেখবার,	দেখবার,	
patjat,	পাতজত,	পাটজাত,	
scholarsip,	স্কলারশিপ,	স্কলারশিপ,	
vaabna,	ভাবনা,	ভাবনা,	
markete,	মার্কেটে,	মার্কেটে,	
rajtontre,	রাজটন্ত্রে,	রাজতন্ত্রে,	
asocheton,	অসচেতন,	অসচেতন,	
saleha,	সালেহ,	সালেহা,	
sikkharrtheerao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
machgulo,	মাছগুলো,	মাছগুলো,	
moshjidtike,	মস্চিতিিকে,	মসজিদটিকে,	
prokalpaguli,	প্রকল্পাুলি,	প্রকল্পগুলি,	
mirakel,	মিরাকেল,	মিরাকেল,	
gheshe,	ঘেসে,	ঘেঁষে,	
ustaad,	উষ্টাদ,	উস্তাদ,	
bosontey,	বসন্তে,	বসন্তে,	
kachhakaachhi,	কাছচাকি,	কাছাকাছি,	
shobnom,	শবননম,	শবনম,	
noitik,	নৈতিক,	নৈতিক,	
informeshon,	ইনফর্মেশন,	ইনফরমেশন,	
bishshaash,	বিশ্বাস,	বিশ্বাস,	
dharagulor,	ধারাগুলোর,	ধারাগুলোর,	
nariikei,	নারীকেই,	নারীকেই,	
dibug,	দিবুগ,	ডিবাগ,	
haajarer,	হাজারের,	হাজারের,	
romancho,	রোমাঞ্চ,	রোমাঞ্চ,	
sommotir,	সম্মতির,	সম্মতির,	
vitti,	ভিত্,	ভিত্তিই,	
shatan,	শতন,	শয়তান,	
shuknaa,	শুকনানা,	শুকনা,	
sommoteete,	সম্মটিতে,	সম্মতিতে,	
deepon,	দীপন,	দীপন,	
serup,	শেরুপ,	সেরূপ,	
ukeliptas,	উকেকলেপ্টস,	ইউক্যালিপ্টাস,	
nischoy,	নিশ্চ্যে,	নিশ্চয়,	
venish,	ভেনিস,	ভেনিস,	
chintaikari,	চিনতাইকারী,	ছিনতাইকারী,	
niranjan,	নিরঞ্জন,	নিরঞ্জন,	
pattarn,	প্যাটার্ন,	প্যাটার্ন,	
thaken,	থাকেন,	থাকেন,	
embaed,	এম্বাডেড,	এম্বেড,	
pradeep,	প্রদেপ,	প্রদীপ,	
ekroop,	একরূপ,	একরূপ,	
nirantar,	নিরান্তর,	নিরন্তর,	
ved,	ভেদ,	বেদ,	
sumo,	সুমো,	সুমো,	
bishod,	বিশদ,	বিষদ,	
tarbiner,	তারবিনের,	টারবাইনের,	
phimel,	ফাইমেল,	ফিমেল,	
ansarir,	আনসারির,	আনসারীর,	
mahindra,	মহীন্দ্র,	মাহিন্দ্রা,	
chedropothe,	ছেদ্রপথে,	ছিদ্রপথে,	
oncholsomuher,	অঞ্চলসমূহের,	অঞ্চলসমূহের,	
moorali,	মোরালি,	মুরলী,	
artilary,	অর্টিলারি,	আর্টিলারি,	
aatok,	আটক,	আটক,	
songosthaner,	সংস্থানের,	সংস্থানের,	
hunayin,	হানাইন,	হুনাইন,	
bordhitangso,	বর্ধতাংশ,	বর্ধিতাংশ,	
narsaari,	নার্সারী,	নার্সারি,	
alsar,	অলসার,	আলসার,	
upacharjo,	উপাচর্য,	উপাচার্য,	
shamijir,	স্বামীজীর,	স্বামীজীর,	
khizir,	খিজির,	খিজির,	
mojuter,	মজুতের,	মজুতের,	
recondition,	রেকন্ডিয়েশন,	রিকন্ডিশন,	
graambaasi,	গ্রামবাসী,	গ্রামবাসী,	
abasane,	অবসনে,	অবসানে,	
sikkhakke,	শিক্ষাকে,	শিক্ষককে,	
diibug,	দিবুগ,	ডিবাগ,	
dharavahikbhabe,	ধারাভািকভাবে,	ধারাবাহিকভাবে,	
samratder,	সম্রদতের,	সম্রাটদের,	
kattar,	কাটার,	কট্টর,	
sonaktokaran,	শনাক্তকরণ,	সনাক্তকরণ,	
afzal,	আফজাল,	আফজল,	
arekdal,	আরেকদল,	আরেকদল,	
spreeadsheet,	স্প্রেজেস্টিস,	স্প্রেডশীট,	
mette,	মেযাটে,	ম্যাট,	
bbiswashke,	বিশ্বাসকে,	বিশ্বাসকে,	
prabhura,	প্রভূর,	প্রভুরা,	
hosney,	হসনে,	হোসনে,	
kaamla,	কামলা,	কামলা,	
bhenom,	ভ্যানম,	ভেনম,	
dephineshana,	ডেফিনিশন,	ডেফিনেশন,	
panchbar,	পাঁচার,	পাঁচবার,	
ashonka,	আসঙ্ক,	আশঙ্কা,	
dovar,	ডভার,	ডোভার,	
anodhikaar,	অনধিকার,	অনধিকার,	
aashtikota,	অস্তিকতা,	আস্তিকতা,	
sikkhaou,	শিক্ষাও,	শিক্ষাও,	
vagno,	ভাগ্ন,	ভগ্ন,	
maddhuri,	মধুরু,	মাধুরী,	
modhyostho,	মধ্যস্থ,	মধ্যস্থ,	
mutar,	মুটর,	মুতার,	
gaujano,	গৌজন,	গজানো,	
nathivookteer,	নথিভুক্তির,	নথিভুক্তির,	
armashtram,	আর্টস্ট্রাম,	আর্মস্ট্রং,	
bastuvad,	বস্তুবাদ,	বস্তুবাদ,	
kaanaai,	কানাই,	কানাই,	
cathalic,	কাথালিক,	ক্যাথলিক,	
vaibon,	ভাইবন,	ভাইবোন,	
satarkakari,	সতর্কাকারী,	সতর্ককারী,	
vugoley,	ভুগলে,	ভূগোলে,	
prodiip,	প্রদীপ,	প্রদীপ,	
mukhomandal,	মুখমন্ডল,	মুখমণ্ডল,	
chhutir,	ছুটির,	ছুটির,	
breqathru,	ব্রেক্ষাগুরু,	ব্রেকথ্রু,	
chenza,	চেঞ্জ,	চেঞ্জ,	
transapharma,	ট্রান্সফর্ম,	ট্রান্সফর্ম,	
parbotto,	পর্বতত্ত,	পার্বত্য,	
