gosthii,	গোষ্ঠী,	গোষ্ঠীই,	
behrampurer,	বেহরামপুরের,	বহরমপুরের,	
songkoloney,	সঙকোলনে,	সংকলনে,	
gobeshana,	গবেষণা,	গবেষনা,	
chhootee,	ছুটি,	ছুটি,	
poschimae,	পশ্চিমে,	পশ্চিমে,	
jeshh,	জেস,	জেস,	
nirmaankaaj,	নির্মাঙ্কা,	নির্মাণকাজ,	
sabyastho,	সাব্যস্থ,	সাব্যস্থ,	
nake,	নেক,	নেক,	
shudhui,	সুধি,	শুধুই,	
chalachchitratike,	চলচিত্তিতেকে,	চলচ্চিত্রটিকে,	
prothake,	প্রথাকে,	প্রথাকে,	
bitolser,	বিতলসের,	বিটলসের,	
nadnadir,	নদনদারীর,	নদনদীর,	
johns,	জনস,	জন্স,	
gatibege,	গতিবেগে,	গতিবেগে,	
nazi,	নাজি,	নাত্সি,	
plater,	প্লেটার,	প্লেটের,	
times,	টাইমস,	টাইমস্,	
ghur,	ঘুর,	ঘুর,	
harris,	হ্রিরস,	হ্যারিস,	
sipa,	সিপ,	শিপ,	
goolen,	গুলেন,	গুলেন,	
monohorpur,	মনোরপুর,	মনোহরপুর,	
ghomta,	ঘমতা,	ঘোমটা,	
oitijje,	ঐতিজ্যে,	ঐতিহ্যে,	
aanhu,	আনু,	আনহু,	
konar,	কোনার,	কণার,	
ancholtitey,	অঞ্চলটিতে,	অঞ্চলটিতে,	
toler,	তলের,	তালের,	
pishach,	পিসাচ,	পিশাচ,	
anchalke,	আঞ্চলকে,	অঞ্চলকে,	
soommo,	সুম্,	সুমো,	
turkameena,	তুর্কমিনা,	তুর্কমেন,	
ajim,	আজিম,	আজিম,	
ganoporibahan,	গণপরিবহন,	গণপরিবহন,	
oshamorik,	ওসামারিক,	অসামরিক,	
shektor,	সেক্টর,	সেক্টর,	
brindaboner,	বৃণ্দাবনের,	বৃন্দাবনের,	
modelti,	মডেলটি,	মডেলটি,	
debeting,	ডেবেটিং,	ডিবেটিং,	
aanaan,	আনান,	আনান,	
chalochchitra,	চলচিত্র,	চলচ্চিত্র,	
pletoo,	প্লেট,	প্লেটো,	
deyl,	ডিল,	ডেইল,	
soource,	সোর্স,	সোর্স,	
anchaltitey,	অঞ্চলটিতে,	অঞ্চলটিতে,	
veenish,	ভেনিস,	ভেনিস,	
nilfamarir,	নিলফামারির,	নীলফামারীর,	
ekhaate,	এখাতে,	একহাতে,	
jocqey,	জকে,	জকি,	
dharavahikbhabe,	ধারাভাহকভাবে,	ধারাবাহিকভাবে,	
manikya,	মাণিক্য,	মানিক্য,	
aaireshe,	আইরেশে,	আইরেসে,	
sucre,	সাক্রে,	সাকার,	
elakate,	এলাকাতে,	এলাকাতে,	
ingrejeeteo,	ইংরেজিতেও,	ইংরেজিতেও,	
ekjoge,	একযোগে,	একযোগে,	
chat,	ছট,	চ্যাট,	
serverey,	সারভারে,	সার্ভারে,	
asamarik,	আসামারিক,	অসামরিক,	
asavyo,	অসভ্য,	অসভ্য,	
shayanaida,	সায়ানডড,	সায়ানাইড,	
nirupita,	নিরূপিত,	নিরূপিত,	
nottee,	নটটি,	নোটটি,	
dwibidha,	দ্বিবিধ্,	দ্বিবিধ,	
bhramankale,	ভ্রমণকালে,	ভ্রমণকালে,	
janoika,	জননাকা,	জনৈকা,	
tikta,	টিক্ট,	তিক্ত,	
shringga,	শৃঙ্গ,	শৃঙ্গ,	
nirabota,	নিরবতা,	নিরবতা,	
ovarview,	ওভারওভয়ে,	ওভারভিউ,	
dobhara,	ডোভার,	ডোভার,	
oitijhyer,	ঐতিহ্যের,	ঐতিহ্যের,	
nama,	নামা,	নমো,	
meetropalitana,	মেট্রোপলিন্ট,	মেট্রোপলিটন,	
isosiyitasa,	এসসিসিট,	এসোসিয়েটস,	
manu,	মানু,	মনু,	
gabhaskar,	গভষ্যকার,	গাভাস্কার,	
koreemer,	করিমের,	করিমের,	
marmader,	মারমাদের,	মারমাদের,	
akik,	একিক,	আকিক,	
onucheeder,	অনুচিদের,	অনুচ্ছেদের,	
asamonjoshopurno,	অসমান্যপূর্ণ,	অসামঞ্জস্যপূর্ণ,	
udbhaban,	উদ্ভবন,	উদ্ভাবন,	
eling,	এলিং,	ইলিং,	
soundarjyo,	সৌন্দর্য,	সৌর্ন্দয্য,	
crime,	ক্রিম,	ক্রাইম,	
turkmeen,	তুর্কমিন,	তুর্কমেন,	
kaatbey,	কাটবে,	কাটবে,	
taki,	টাকি,	তকি,	
graambaasir,	গ্রামবাসীর,	গ্রামবাসীর,	
ragi,	রাগী,	রাগী,	
everest,	এভারেস্ট,	এভারেস্টে,	
soourse,	সোরসে,	সোর্স,	
fulkopi,	ফুলকপি,	ফুলকপি,	
kantojir,	কান্তজীর,	কান্তজির,	
roktokkhorone,	রক্তক্ষণে,	রক্তক্ষরণে,	
turkamena,	তুর্কমেন,	তুর্কমেন,	
soundarjo,	সৌন্দর্য,	সৌর্ন্দয্য,	
marketim,	মার্কেটিং,	মার্কেটিং,	
gadhaa,	গাধা,	গাধা,	
phising,	ফিসিং,	ফিসিং,	
jemy,	জেমি,	জেমি,	
golakrity,	গোলাকৃতি,	গোলাকৃতি,	
gripa,	গ্রিপ,	গ্রিপ,	
protijogitamulok,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
moushumti,	মৌসমতি,	মৌসুমটি,	
shikkharrthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
eksathei,	একসথথেই,	একসাথেই,	
torcarir,	তরকারীর,	তরকারীর,	
skirt,	স্কার্ট,	স্কার্ট,	
maudeling,	মড্ডেলিং,	মডেলিং,	
bongshoke,	বংশকে,	বংশকে,	
shikshakram,	শিক্ষাক্রম,	শিক্ষাক্রম,	
venkates,	ভেনকেট,	ভেঙ্কটেশ,	
durotaumo,	দূরতম,	দূরতম,	
hertz,	হার্ট,	হার্জ,	
foster,	ফোস্টার,	ফস্টার,	
shcholashtic,	স্কোলাস্টিক,	স্কলাস্টিক,	
tuku,	টুকু,	টুকু,	
volapuk,	ভোলাপুক,	ভোলাপুক,	
shucre,	সাক্রে,	সাকার,	
ghoorte,	ঘুর্তে,	ঘুরতে,	
elakaao,	এলাকাও,	এলাকাও,	
advanced,	অ্যাভান্ডেস,	অ্যাডভান্সড,	
udbodhoni,	উদ্বোধনী,	উদ্বোধনী,	
sahojlabhbhotar,	সহজলখভাতার,	সহজলভ্যতার,	
prai,	প্রাই,	প্রায়,	
nodiitei,	নদীতেই,	নদীতেই,	
dinesh,	ডাইনশ,	দীনেশ,	
utsahomulak,	উত্সমসূলক,	উৎসাহমূলক,	
banijyikvittite,	বানিজ্যিক্তিতে,	বাণিজ্যিকভিত্তিতে,	
xpresion,	এক্সপ্রেশন,	এক্সপ্রেশন,	
temonyi,	তেমনই,	তেমনই,	
antarbhuttirmulok,	অন্তর্ভূম্তকূলক,	অন্তর্ভুক্তিমূলক,	
astikota,	অস্তিকতা,	আস্তিকতা,	
phixing,	ফিক্সিং,	ফিক্সিং,	
marqetim,	মার্কেটিং,	মার্কেটিং,	
khelafotey,	খেলাফতে,	খেলাফতে,	
lokeshon,	লোকেশন,	লোকেশন,	
sathikota,	সাথিকতা,	সঠিকতা,	
bhalapuka,	ভালাপুকা,	ভোলাপুক,	
sharoker,	শরকের,	স্মারকের,	
dologulo,	দলগুলো,	দলগুলো,	
ghateer,	ঘটের,	ঘাটির,	
toubar,	তাবার,	তওবার,	
answereer,	আনস্বীর,	আনসারীর,	
chhattrorai,	ছাত্ররাই,	ছাত্ররাই,	
sikkhokder,	শিক্ষকদের,	শিক্ষকদের,	
purohitke,	পুরহীতকে,	পুরোহিতকে,	
hillser,	হিলসের,	হিলসের,	
swajan,	স্বজন,	স্বজন,	
iran,	আইরান,	ইরান,	
kode,	কোডে,	কোডে,	
udvaboker,	উদ্ভাবকের,	উদ্ভাবকের,	
poddhotitei,	পদ্ধতিতেই,	পদ্ধতিতেই,	
ingrejraa,	ইংরেজ্রা,	ইংরেজরা,	
ashangka,	আসঙ্কা,	আশংকা,	
venam,	ভেনাম,	ভেনম,	
obiyi,	অবিই,	ওবিই,	
bohal,	বোল,	বহাল,	
jeshtha,	জেষ্ঠা,	জ্যেষ্ঠা,	
suporichita,	সুপরিচিতা,	সুপরিচিত,	
hosney,	হসনে,	হোসনে,	
sorjur,	সর্জুর,	সরযূর,	
heris,	হেরিশ,	হ্যারিস,	
karechi,	করেছি,	করেছি,	
dayitto,	দৈত্য,	দায়িত্ব,	
jotota,	যতটা,	যতোটা,	
ukeliptash,	উকেলপ্লাস,	ইউক্যালিপ্টাস,	
annarup,	অনন্রূপ,	অন্যরূপ,	
zhalkatthi,	ঝালকাঠি,	ঝালকাঠী,	
bhenna,	ভেননা,	ভেন্না,	
deeliveer,	ডিলিভির,	ডেলিভার,	
akmat,	একমত,	একমত,	
folok,	ফলক,	ফলক,	
kanthar,	কণ্ঠার,	কাঁথার,	
parswer,	পারস্বের,	পার্শ্বে,	
aajeej,	আজিজ,	আজিজ,	
spreeadshiit,	স্প্রেডসিট,	স্প্রেডশীট,	
chowdhuryo,	চৌধুর্য,	চৌধুরীও,	
bhittimul,	ভিত্তিমূল,	ভিত্তিমূল,	
monur,	মনুর,	মনুর,	
aasar,	আসার,	আসর,	
streegon,	স্ত্রীগণ,	স্ত্রীগণ,	
elaaka,	এলাকা,	এলাকা,	
bbosben,	বসবেন,	বসবেন,	
tourist,	টোরিস্ট,	টুরিস্ট,	
ssumita,	সুমিট,	সুমিতা,	
inziniyarim,	ইনজিনিয়ার,	ইঞ্জিনিয়ারিং,	
obikol,	অবিকল,	অবিকল,	
teksuser,	টেকসুসের,	টেক্সাসের,	
upcharzo,	উপচার্য,	উপাচার্য,	
naaji,	নাজি,	নাত্সি,	
bisringkhola,	বিশৃঙ্খলা,	বিশৃঙ্খলা,	
goreeb,	গরিব,	গরিব,	
byataree,	ব্যাটারী,	ব্যাটারী,	
prottokhovabe,	প্রত্যাখভাবে,	প্রত্যক্ষভাবে,	
veenis,	ভেনিস,	ভেনিস,	
koilash,	কললাস,	কৈলাস,	
granthao,	গ্রন্থাও,	গ্রন্থও,	
shikshakramer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
cuti,	কুটি,	কিউটি,	
utshahe,	উত্সাহে,	উৎসাহে,	
gasthii,	গ্যাস্থি,	গোষ্ঠীই,	
silabhara,	সিলভার,	সিলভার,	
agamaner,	আগামানের,	আগমনের,	
shaluk,	শালুক,	শালুক,	
information,	ইনফর্মেশন,	ইনফরমেশন,	
mag,	মগ,	এমএজি,	
rajdhani,	রাজধানী,	রাজধানি,	
satjan,	সৎজন,	সাতজন,	
sarolyo,	সরল্য,	সারল্য,	
silbhee,	সিলভী,	সিলভি,	
fiksa,	ফিক্স,	ফিক্স,	
ameettrakkhor,	অমিত্কক্ষর,	অমিত্রাক্ষর,	
abhidhaaneek,	অভিধানিক,	অভিধানিক,	
hepataitisa,	হাইপটটিিস,	হেপাটাইটিস,	
nanir,	নানীর,	নানীর,	
siramiqs,	সিরামিক্স,	সিরামিকস,	
saahocorrze,	সাহকর্যে,	সাহচর্যে,	
chomsky,	চম্কি,	চমস্কি,	
abarte,	আবর্তে,	আবর্তে,	
zoojyota,	যুজ্যতা,	যোজ্যতা,	
moushumeo,	মৌসুমেও,	মৌসুমেও,	
korecho,	করেছো,	করেছ,	
hizrite,	হিজরিতে,	হিজরীতে,	
larshon,	লার্শন,	লারসন,	
peterke,	পিটারকে,	পিটারকে,	
laaishesh,	লাইসেস,	লাইসেন্স,	
sikhbe,	সিখবে,	শিখবে,	
sikkhakke,	শিক্ষাকে,	শিক্ষককে,	
gajee,	গজজী,	গেজ,	
somsher,	সমসের,	সমশের,	
homshke,	হসমকে,	হোমসকে,	
neshnosh,	নেশনস,	নেশনস,	
kanai,	কানাই,	কানাই,	
duple,	ডাপলে,	ডুপ্লে,	
lutheren,	লুথের,	লুথেরান,	
unitgulo,	উনিত্গুলো,	ইউনিটগুলো,	
somudrotote,	সমুদ্রতে,	সমুদ্রতটে,	
dera,	ডেরা,	ডেরা,	
bhenasha,	ভেনসা,	ভেনাস,	
saajanor,	সাজানোর,	সাজানোর,	
bhittiti,	ভিত্তিটি,	ভিত্তিটি,	
parichchhannata,	পরিচ্ছননতা,	পরিচ্ছন্নতা,	
esoosiyetasa,	এসোসিসেট,	এসোসিয়েটস,	
provritike,	প্রভৃতিকে,	প্রভৃতিকে,	
damanmulak,	দামানমূলক,	দমনমূলক,	
hebhi,	হেভি,	হেভি,	
taimas,	টাইমস,	টাইমস্,	
aasif,	আসিফ,	আসিফ,	
sachetanvabe,	সচচেনতাবে,	সচেতনভাবে,	
bhagini,	ভাগিনী,	ভগিনী,	
conflict,	কনফ্লিক্ট,	কনফ্লিক্ট,	
besur,	বেশুর,	বেসুর,	
machsoho,	মাসসহ,	মাছসহ,	
protizogii,	প্রতিযোগী,	প্রতিযোগী,	
bagdadii,	বাগদাদী,	বাগদাদী,	
laaishenshh,	লাইসেন্স,	লাইসেন্স,	
airesey,	এইরেশে,	আইরেসে,	
radhanogor,	রাধানগর,	রাধানগর,	
thailyanda,	থাইল্যান্ড,	থাইল্যান্ড,	
fartha,	ফার্থ,	ফার্থ,	
definision,	ডিফিনিশন,	ডেফিনেশন,	
onekeri,	অনেকারী,	অনেকেরই,	
dankan,	ডানকান,	ডানকান,	
hotelteete,	হটাললিটে,	হোটেলটিতে,	
mast,	মোস্ট,	মাস্ত,	
byboshthar,	ব্যবস্থার,	ব্যাবস্থার,	
kirkuk,	কিরকুক,	কিরকুক,	
pachtar,	পাঁচটার,	পাঁচটার,	
smaroker,	স্মরকের,	স্মারকের,	
conservation,	কনসারভেশন,	কনসারভেশন,	
netarao,	নেতারাও,	নেতারাও,	
doobate,	ডুবাতে,	ডুবাতে,	
komaanndar,	কমান্ডার,	কমাণ্ডার,	
angsogrohone,	অংশগ্রহণে,	অংশগ্রহনের,	
chidropathe,	চিদ্রপথে,	ছিদ্রপথে,	
maladobha,	মালাদাভা,	মলদোভা,	
samabesh,	সমবেশ,	সমাবেশ,	
pratishta,	প্রতিষ্টা,	প্রতিষ্টা,	
siddhantoke,	সিদ্বান্তকে,	সিদ্ধান্তকে,	
poster,	পোস্টার,	পোস্টের,	
apachesta,	অপচেষ্ট,	অপচেষ্টা,	
kooyartara,	কোয়ার্টার,	কোয়ার্টার,	
jeebonjapon,	জীবনজাপন,	জীবনযাপন,	
bisheshshyer,	বিশেষ্যের,	বিশেষ্যের,	
licensing,	লিসেন্স,	লাইসেন্সিং,	
bhabna,	ভবনা,	ভাবনা,	
chhooti,	ছুটি,	ছুটি,	
bon,	বন,	বন,	
modeltigulo,	মডেলেতগুলো,	মডেলগুলো,	
paira,	পায়েরা,	পাইরা,	
tirmiji,	তিরমিযী,	তিরমিজি,	
uindo,	উইন্ডো,	উইন্ডো,	
manab,	মানাব,	মানব,	
atitkaale,	আতিতকালে,	অতীতকালে,	
somonnitobhabe,	সমন্নিতভাবে,	সমন্বিতভাবে,	
horidar,	হরিদার,	হরিদ্বার,	
songasthati,	সংস্থাটি,	সংস্থাটি,	
tet,	ট্যাট,	টেট,	
dhauta,	ধাটটা,	ধৌত,	
bhabnake,	ভাবনাকে,	ভাবনাকে,	
dhyana,	ধ্নান,	ধ্যান,	
garora,	গ্যারারা,	গারোরা,	
ancholgulir,	অঞ্চগলির,	অঞ্চলগুলির,	
pathachari,	পাঠাচারী,	পথচারী,	
zesh,	জেস,	জেস,	
dreestiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
joonsa,	জুনসা,	জোন্স,	
oncholshomuh,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
dibet,	দিবেত,	ডিবেট,	
lazika,	লাজিকা,	লজিক,	
kaale,	কালে,	কালে,	
juddhahato,	যুদ্ধহত,	যুদ্ধাহত,	
reno,	রেনও,	রেনো,	
vvejaano,	ভেজানো,	ভেজানো,	
chilahaati,	চিলাহটি,	চিলাহাটি,	
phooloo,	ফুলো,	পোলো,	
aarke,	আরকে,	আরকে,	
phaltu,	ফলটু,	ফালতু,	
porbotmala,	পর্বতম্লা,	পর্বতমালা,	
alankaran,	অলঙ্করণ,	অলঙ্করণ,	
jolbe,	জলবে,	জ্বলবে,	
taitela,	টাইটেল,	টাইটেল,	
pashaner,	পাষণের,	পাষাণের,	
byaaran,	ব্যারন,	ব্যারন,	
aarekdal,	আরেকদাল,	আরেকদল,	
deaubande,	দিবা্দে,	দেওবন্দে,	
thaakte,	থাকতে,	থাকতে,	
muscut,	মুসকুট,	মাস্কাট,	
landin,	লানদিন,	ল্যান্ডিং,	
graambaasider,	গ্রামবাসীদের,	গ্রামবাসীদের,	
falkati,	ফলকাটি,	ফলকটি,	
hebhee,	হেভি,	হেভি,	
expreshshion,	এক্সপ্রেশন,	এক্সপ্রেশন,	
fud,	ফুড,	ফুড,	
drishyokey,	দৃশ্যকে,	দৃশ্যকে,	
byabostho,	ব্যবস্থ,	ব্যাবস্থা,	
notunatwa,	নতুনত্ব,	নতুনত্ব,	
gronthowo,	গ্রন্থও,	গ্রন্থও,	
nathivukteer,	নথিযুক্তির,	নথিভুক্তির,	
polo,	পলো,	পোলো,	
grambasio,	গ্রামবাসীও,	গ্রামবাসীও,	
thelaa,	থেলা,	ঠেলা,	
labonaktotar,	লবনাক্ততার,	লবণাক্ততার,	
juddhahoto,	যুদ্ধহত,	যুদ্ধাহত,	
booponer,	বুপনের,	বপনের,	
alonkaran,	অলঙ্করণ,	অলঙ্করণ,	
summi,	সামি,	সুমি,	
shoshoa,	শোষ,	শশা,	
dibate,	দিবতে,	ডিবেট,	
pannee,	পান্নি,	পন্নী,	
sahopathike,	সহপাঠিকে,	সহপাঠীকে,	
hafez,	হাফেজ,	হাফেয,	
naitikatavodh,	নৈতিকাঠাদ,	নৈতিকতাবোধ,	
bondhuderke,	বন্ধুদেরকে,	বন্ধুদেরকে,	
pachchen,	পাঁচেন,	পাচ্ছেন,	
babilon,	ব্যাবিলন,	ব্যাবিলন,	
heepatitis,	হিপোটিটিস,	হেপাটাইটিস,	
pacbar,	পাঁার,	পাঁচবার,	
yauth,	ইউথ,	ইয়ুথ,	
aparagata,	অপরাগত,	অপারগতা,	
batikromee,	বাযাত্কমরী,	ব্যতিক্রমী,	
olympiker,	অলিম্পাকের,	অলিম্পিকের,	
telakucha,	তেলকাচ,	তেলাকুচা,	
cheekitshar,	চিকিৎসার,	চিকিত্সার,	
dokaanei,	ডোকানেই,	দোকানেই,	
ohollar,	ওহলার,	অহল্যার,	
sarsa,	সর্স,	সোর্স,	
prottokhobhabe,	প্রত্যকভাবে,	প্রত্যক্ষভাবে,	
eskol,	এসকল,	এসকল,	
noitikotar,	নৈতিকতার,	নৈতিকতার,	
akkhar,	অক্ষর,	অক্ষর,	
shajanor,	সাজানোর,	সাজানোর,	
amarjito,	অমার্জিত,	অমার্জিত,	
sthaponagulo,	স্থাপানগুলো,	স্থাপনাগুলো,	
inphormeshon,	ইনফর্মেশন,	ইনফরমেশন,	
lotharan,	লতরন,	লুথেরান,	
gafilati,	গফিলাটি,	গাফিলতি,	
fall,	ফল,	ফল,	
santoshpur,	সন্তোষপুর,	সন্তোষপুর,	
dhikrita,	ঢিকৃত,	ধিকৃত,	
chalochchitraeei,	চলচিত্রাই,	চলচ্চিত্রেই,	
bhromoner,	ভ্রমণের,	ভ্রমণের,	
ministar,	মিনিস্টার,	মিনিস্টার,	
priti,	প্রিতি,	প্রিটি,	
chalachchitrake,	চলচিত্ত্রকে,	চলচ্চিত্রকে,	
damone,	ডামনে,	দমনে,	
shakara,	শাকারা,	সকার,	
cheentaikari,	চিনতাইকারী,	ছিনতাইকারী,	
lyande,	ল্যান্ডে,	ল্যান্ডে,	
achish,	অচিশ,	আছিস,	
nagoriker,	নগরীকের,	নাগরিকের,	
granthei,	গ্রন্থেই,	গ্রন্থেই,	
aembed,	এমবেব,	এম্বেড,	
mondope,	মন্ডপে,	মন্ডপে,	
prakalpati,	প্রকল্পটি,	প্রকল্পটি,	
ciima,	সিম,	সীমা,	
aaminaar,	আমিনার,	আমিনার,	
atorkitey,	অতোকীতে,	অতর্কিতে,	
mozdoor,	মজদুর,	মজদুর,	
veniser,	ভেনিসের,	ভেনিসের,	
the,	থে,	থাই,	
mahajote,	মহাজতে,	মহাজোট,	
bastubad,	বস্তুবাদ,	বস্তুবাদ,	
onchalti,	অঞ্চলটি,	অঞ্চলটি,	
vabnake,	ভাবনাকে,	ভাবনাকে,	
heja,	হেজ,	হেজ,	
dwipke,	দ্বীপকে,	দ্বীপকে,	
recondishon,	রেকন্ডিসন,	রিকন্ডিশন,	
romancha,	রোমাঞ্চ,	রোমাঞ্চ,	
jolaatanko,	জলাতান্ক,	জলাতঙ্ক,	
sohopathike,	সহপাঠিকে,	সহপাঠীকে,	
plate,	প্লেট,	প্লেটে,	
stena,	স্টেন,	স্টেন,	
roomantik,	রুমান্তিক,	রোমান্টিক,	
plaiin,	প্লিন,	প্লেন,	
wenish,	ভেনিস,	ভেনিস,	
ongkush,	অঙ্কুশ,	অংকুশ,	
porishkaran,	পরিষ্কাণ,	পরিষ্করণ,	
cinematographar,	সিনেমার্টাফার,	সিনেমাটোগ্রাফার,	
horir,	হরির,	হরির,	
tate,	তাটে,	তাতে,	
uponeeshoder,	উপনিশদের,	উপনিষদের,	
bisnukey,	বিষ্ণুকে,	বিষ্ণুকে,	
madrasa,	মাদ্রাসা,	মাদ্রাসা,	
samrat,	সমরত,	সম্রাট,	
jackshan,	যাকসন,	জ্যাকসন,	
anchaleo,	আঞ্চলেও,	অঞ্চলেও,	
faskari,	ফসসারি,	ফাঁসকারী,	
granthatike,	গ্রন্থাটিকে,	গ্রন্থটিকে,	
maddhobir,	মাধ্ববীর,	মাধবীর,	
sahosikotar,	সহসিকতার,	সাহসিকতার,	
bhadaka,	ভাডকা,	ভদকা,	
superheroo,	সুপারেরাা,	সুপারহিরো,	
janagononar,	জনগণনার,	জনগণনার,	
langhoner,	লঙ্ঘনের,	লংঘনের,	
noiteekotar,	নৈতিকতার,	নৈতিকতার,	
idipasha,	এডিপাস,	ইডিপাস,	
restuarant,	রেস্তুরার্ট,	রেষ্টুরেন্ট,	
evil,	এভিল,	ইভিল,	
eporjonto,	অপর্জন্ত,	এপর্যন্ত,	
sayanaida,	সায়ান্ড,	সায়ানাইড,	
niketaner,	নিকেতনের,	নিকেতনের,	
pratimar,	প্রতিমার,	প্রতিমার,	
uporitol,	উপরিতল,	উপরিতল,	
laisens,	লাইসেন্স,	লাইসেন্স,	
bhenisha,	ভেনিস,	ভেনিস,	
steena,	স্টেন,	স্টেন,	
choudhooreeo,	চৌধুরিও,	চৌধুরীও,	
dibeting,	ডিবেটিং,	ডিবেটিং,	
bidrohiderke,	বিদ্রহীদেরকে,	বিদ্রোহীদেরকে,	
notey,	নটে,	নোটে,	
muphti,	মুফটি,	মুফতি,	
byaboharkarir,	ব্যবহারকারীর,	ব্যবহারকারীর,	
bishwaashshoi,	বিশ্বসসই,	বিশ্বাসই,	
vishwanath,	বিশ্বনাথ,	বিশ্বনাথ,	
tafasir,	তফসির,	তাফসীর,	
korkatkranti,	কর্কটকর্ন্তি,	কর্কটক্রান্তি,	
kanisttha,	কনিষ্ঠ,	কনিষ্ঠ,	
soomi,	সুমি,	সুমি,	
maldava,	মালদাা,	মলদোভা,	
sudrishya,	সুদৃশ্য,	সুদৃশ্য,	
kormi,	কর্মি,	কর্মই,	
tomader,	তমাদের,	তোমাদের,	
chenja,	চেঞ্জা,	চেঞ্জ,	
somabesh,	সমােশ,	সমাবেশ,	
philipiner,	ফিলিপিনের,	ফিলিপাইনের,	
samajeekotar,	সমাজিকতার,	সামাজিকতার,	
siima,	সিম,	সীমা,	
pratishhta,	প্রতিষ্ট,	প্রতিষ্টা,	
shahab,	শাহাব,	সাহাব,	
dokan,	ডোকান,	দোকান,	
sakar,	সাকার,	সকার,	
ekkoghore,	একঘঘরে,	একঘরে,	
licensedharii,	লিসেনসসারী,	লাইসেন্সধারী,	
pratiyogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
bijit,	বিজিত,	বিজিত,	
baarakpur,	বারাকপুর,	বারাকপুর,	
anyoroop,	অন্যরূপ,	অন্যরূপ,	
prakalpagulor,	প্রকল্পগুলোর,	প্রকল্পগুলোর,	
kemaney,	কেমনে,	কেমনে,	
hyariqena,	হ্যারিকেন,	হ্যারিকেন,	
chhereche,	ছেরেছে,	ছেড়েছে,	
shaatjon,	সাতজন,	সাতজন,	
vobanipur,	ভবানীপুর,	ভবানীপুর,	
geja,	গেজ,	গেজ,	
bidrup,	বিদ্রূপ,	বিদ্রূপ,	
deefinition,	ডিফিনিশন,	ডেফিনেশন,	
shilbar,	সিলবার,	সিলভার,	
rijoor,	রিজুর,	রিজুর,	
vishad,	বিষদ,	বিষদ,	
candi,	ক্যান্ডি,	ক্যান্ডি,	
chotto,	চত্ট,	ছোট্ট,	
eoki,	একি,	এওকি,	
nabotom,	নবতম,	নবতম,	
smaraker,	স্মরকের,	স্মারকের,	
shhikara,	শিকার,	শিকার,	
udiichii,	উদ্বিচী,	উদীচী,	
ganjona,	গাঞজনা,	গঞ্জনা,	
mmehonoti,	মেহনতী,	মেহনতি,	
bhabotarini,	ভাবতারিনী,	ভবতারিণী,	
jathaarthobhaabe,	যথার্থভাবে,	যথার্থভাবে,	
shoodhooi,	সুধি,	শুধুই,	
bhittio,	ভিত্তিও,	ভিত্তিও,	
monmoth,	মন্মত,	মন্মথ,	
haran,	হারান,	হারান,	
jivjontu,	জিবজন্তু,	জীবজন্তু,	
tukroti,	তুকররটি,	টুকরোটি,	
michhilti,	মিচিলটি,	মিছিলটি,	
parpel,	পারপেল,	পার্পেল,	
noditir,	নদীতীর,	নদীটির,	
soomita,	সুমিট,	সুমিতা,	
bishnuke,	বিষ্ণুকে,	বিষ্ণুকে,	
toruner,	তরুণের,	তরুণের,	
chotogolpe,	ছোটোগল্পে,	ছোটগল্পে,	
siddhantei,	সিদ্বন্টেই,	সিদ্ধান্তেই,	
shpredshiit,	স্প্রেসটি,	স্প্রেডশীট,	
okhhunno,	অখ্যুন্ন,	অক্ষুণ্ণ,	
credit,	ক্রেডিট,	ক্রেডিট,	
rajtantrey,	রাজটন্ত্রে,	রাজতন্ত্রে,	
prakalpoguli,	প্রকল্পগুলি,	প্রকল্পগুলি,	
anchalgoolir,	অঞ্চগলির,	অঞ্চলগুলির,	
jeebonjaapon,	জীবনযাপন,	জীবনযাপন,	
noter,	নটের,	নোটের,	
annorup,	অনন্রূপ,	অন্যরূপ,	
jackson,	জাকসন,	জ্যাকসন,	
amorendro,	অমরেন্দ্র,	অমরেন্দ্র,	
deenes,	ডাইনস,	দীনেশ,	
weelcomee,	ভেলকোমি,	ওয়েলকাম,	
phoster,	ফোস্টার,	ফস্টার,	
avishangsan,	অভিষংসন,	অভিশংসন,	
mukhobondho,	মুখবন্ধ,	মুখবন্ধ,	
definishhion,	ডেফিনিশন,	ডেফিনেশন,	
sarder,	সর্দের,	সরদার,	
karpeter,	কর্পেটের,	কার্পেটে,	
sithilotar,	সিথিলতার,	শিথিলতার,	
planea,	প্লেন,	প্লেনে,	
byapoktor,	ব্যাপক্তর,	ব্যাপকতর,	
alaoler,	আলোলের,	আলাওলের,	
akpaase,	একপাশে,	একপাশে,	
phuda,	ফুডা,	ফুড,	
farn,	ফর্ন,	ফার্ন,	
kathhmandute,	কাঠমন্ডুতে,	কাঠমান্ডুতে,	
kalnir,	কালনির,	কালনীর,	
batsman,	বাসসম্যান,	ব্যাটসম্যান,	
aabarto,	আবর্ত,	আবর্ত,	
shikarer,	শিকারের,	শিকারের,	
