futbolarra,	ফুটবলরারা,	ফুটবলাররা,	
pratiyogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
jemser,	জেমসের,	জেমসের,	
sina,	সিন,	সিনা,	
laisensim,	লাইসেনসিস,	লাইসেন্সিং,	
zeebonjapon,	জীবনযাপন,	জীবনযাপন,	
direectoratee,	ডিরেক্ররেটর,	ডিরেক্টরেট,	
padee,	পদে,	পাড়ে,	
dakshinangsho,	দক্ষিণাংশ,	দক্ষিণাংশ,	
modeltigulo,	মোযাডেটগুলো,	মডেলগুলো,	
sombhobonaow,	সম্ভবননও,	সম্ভবনাও,	
monzhostho,	মঞ্চস্থ,	মঞ্চস্থ,	
dormitoree,	ডরমিটরি,	ডরমিটরি,	
muhit,	মুহিত,	মুহিত,	
digrike,	ডিগ্রিকে,	ডিগ্রিকে,	
seekkharthirao,	শিক্ষার্থারীরা,	শিক্ষার্থীরাও,	
khaambaa,	খামবা,	খাম্বা,	
nischitbhabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
kachhakachhi,	কাছকাছি,	কাছাকাছি,	
sahakari,	সহকারি,	সহকারী,	
euro,	ইউরো,	ইউরো,	
eksapreshana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
animated,	অনিমােট,	এনিমেটেড,	
debdebir,	দেবদেবীর,	দেবদেবীর,	
korkat,	করকেট,	কর্কট,	
tunar,	টুনার,	টিউনার,	
bongraam,	বংগ্রাম,	বনগ্রাম,	
dupleex,	ডাপলেক্স,	ডুপ্লে,	
aminar,	অ্যামিনার,	আমিনার,	
jeeni,	জিনি,	যিনি,	
boney,	বোনে,	বনে,	
wrighter,	ব্রাইটার,	রাইটের,	
rakshanbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
muhurta,	মুহুর্তা,	মুহুর্ত,	
natunatwa,	নতুনত্ব,	নতুনত্ব,	
economeeks,	ইকোনমকসস,	ইকোনমিকস,	
praima,	প্রাইম,	প্রাইম,	
madhukori,	মধুকরী,	মাধুকরী,	
kuota,	কোউট,	কোটা,	
parisankhanvid,	পরিসংখ্যান্ডী,	পরিসংখ্যানবিদ,	
rubala,	রুবাল,	রুবল,	
vooter,	ভুটার,	ভোটার,	
oppohoron,	অপহরণ,	অপহরন,	
akpashe,	একপাশে,	একপাশে,	
ikbaler,	একবালের,	ইকবালের,	
monohputa,	মননস্পুতা,	মনঃপুত,	
sekarone,	সেকারণে,	সেকারণে,	
cholochchitrotike,	চলচ্চিত্রটিকে,	চলচ্চিত্রটিকে,	
pratijogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
garora,	গরারা,	গারোরা,	
akbakye,	একবাই,	একবাক্যে,	
jaak,	যাক,	জাঁক,	
iston,	ইস্টন,	স্টোন,	
raagee,	রাগী,	রাগী,	
kormokarer,	কর্মকারের,	কর্মকারের,	
bhenisha,	ভেনিশ,	ভেনিস,	
horeener,	হরিনের,	হরিণের,	
ancholgoolir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
baagicar,	বাগিছার,	বাগিচার,	
neerbachoker,	নির্বাচকের,	নির্বাচকের,	
bayi,	বাই,	বাঈ,	
pari,	প্যারি,	পেরি,	
beenis,	বিনিশ,	ভেনিস,	
karmajog,	কর্মযোগ,	কর্মযোগ,	
monmoth,	মন্মথ,	মন্মথ,	
jawhar,	জওহার,	জহর,	
kaamla,	কামলা,	কামলা,	
pradeep,	প্রদীপ,	প্রদীপ,	
senior,	সেনিওর,	সিনিয়র,	
footballerer,	ফুটবলরের,	ফুটবলারের,	
bhalobasake,	ভালবাসকে,	ভালোবাসাকে,	
protijogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
madhoboir,	মাধবীর,	মাধবীর,	
ghurte,	ঘুরতে,	ঘুরতে,	
concerter,	কনসার্টার,	কানসাটের,	
dinar,	দীনার,	ডিনার,	
pashan,	পাশন,	পাষাণ,	
agrodoot,	অগ্রদূত,	অগ্রদূত,	
sane,	সেন,	সনে,	
ajij,	আজিজ,	আজিজ,	
bhumir,	ভুমির,	ভূমির,	
bhromonkaale,	ভ্রমণকালে,	ভ্রমণকালে,	
tarunra,	তরুনা,	তরুণরা,	
oshthad,	অষ্থাদ,	ওস্তাদ,	
saazano,	সাজানো,	সাজানো,	
naabbota,	নাব্যতা,	নাব্যতা,	
nir,	নির,	নির,	
aparogata,	অপরগত,	অপারগতা,	
seekkhokke,	শিক্ষককে,	শিক্ষককে,	
parisankhyanvid,	পরিসংখ্যান্ডীভ,	পরিসংখ্যানবিদ,	
shite,	শীটে,	শীতে,	
marry,	মেরি,	ম্যারি,	
chalachchitro,	চলচ্চিত্র,	চলচ্চিত্র,	
natians,	ন্যাটিয়ন্স,	নেশনস,	
prachin,	প্রাচীণ,	প্রাচীন,	
sucharita,	সুচারিত,	সুচরিতা,	
mumtazer,	মমতাজের,	মুমতাজের,	
ekaar,	একার,	একার,	
yucalyptus,	ইউক্লাটিস্,	ইউক্যালিপ্টাস,	
mondopey,	মণ্ডপে,	মন্ডপে,	
sikhra,	শিখরা,	শিখরা,	
doula,	দৌল,	দৌলা,	
ekshapreshhana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
abosan,	অবসন,	অবসান,	
teereesa,	তেরেস,	টেরেসা,	
proteemar,	প্রতিমার,	প্রতিমার,	
bidrup,	বিদ্রুপ,	বিদ্রূপ,	
maddhukkori,	মধ্যুককারী,	মাধুকরী,	
daver,	দেভের,	ডোভার,	
sitting,	সাইটিং,	সিটিং,	
paitey,	পাইটে,	পাইতে,	
joubanboti,	যৌবন্বটী,	যৌবনবতী,	
gardeena,	গার্ডেন,	গার্ডেন,	
krisenta,	ক্রাইস্ট,	ক্রিসেন্ট,	
pratul,	প্রাতুল,	প্রতুল,	
bhaangchur,	ভাঙচুর,	ভাংচুর,	
korimer,	করিমের,	করিমের,	
talaa,	তালা,	তালা,	
bishshash,	বিশ্বাস,	বিশ্বাস,	
palashir,	পালসির,	পলাশীর,	
qaferderke,	কাফেরদেরকে,	কাফেরদেরকে,	
komatei,	কমাতেই,	কমাতেই,	
dwibidh,	দ্বিধি,	দ্বিবিধ,	
rabeta,	রবেত,	রাবেতা,	
oitijjo,	ঐতিহ্য,	ঐতিহ্য,	
areek,	অরিক,	আরিক,	
machder,	মাছদের,	মাছদের,	
apochesta,	অপচেস্টা,	অপচেষ্টা,	
suchanakal,	সূচনাকাল,	সূচনাকাল,	
parjataker,	পর্যাতকের,	পর্যটকের,	
hajarer,	হাজারের,	হাজারের,	
bhaisaha,	ভাইসহ,	ভাইসহ,	
dosha,	দোষ,	দোসা,	
shelinar,	সেলিনার,	সেলিনার,	
bhange,	ভাঙ্গে,	ভাঙ্গে,	
kanake,	কানাকে,	কণাকে,	
dibug,	দিবিগ,	ডিবাগ,	
shanta,	শন্ত,	সান্তা,	
hatochakito,	হতচাচিক,	হতচকিত,	
drissogoolo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
battery,	ব্যাটারী,	ব্যাটারী,	
roopdaan,	রূপদান,	রুপদান,	
jyestha,	জেষ্ঠ্য,	জ্যেষ্ঠা,	
mookhomandoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
mokam,	মোকাম,	মোকাম,	
bitlaser,	বিটলসের,	বিটলসের,	
shoya,	শোয়া,	সোয়া,	
foltir,	ফলটির,	ফলটির,	
catholicder,	কাঠলিকদের,	ক্যাথলিকদের,	
itastata,	ইতাস্টত,	ইতস্ততঃ,	
gaadha,	গাধা,	গাধা,	
bohudin,	বহুদিন,	বহুদিন,	
chereche,	চেরেছে,	ছেড়েছে,	
rajbandir,	রাজবন্দির,	রাজবন্দীর,	
shulkey,	শুলকে,	শুল্কে,	
subir,	সুবির,	সুবীর,	
manobmoner,	মানবমনের,	মানবমনের,	
ulcer,	উল্চার,	আলসার,	
oitijjhey,	ঐতিহ্যে,	ঐতিহ্যে,	
carpetey,	কর্পেটে,	কার্পেটে,	
thanvi,	থানবী,	থানভী,	
bonduk,	বন্ডুক,	বন্দুক,	
ceramiker,	কেরামিকার,	সিরামিকের,	
torkaryr,	তরকারির,	তরকারীর,	
pleeto,	প্ল্য,	প্লেটো,	
juktarashtrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
ooindos,	উইন্ডস,	উইন্ডোস,	
sangkoolan,	সঙ্কুলন,	সংকুলান,	
jesthatar,	জেষ্ঠ্রতার,	জ্যেষ্ঠতার,	
kamij,	কমিজ,	কামিজ,	
cheettronnatyokar,	চিত্রনাত্যকার,	চিত্রনাট্যকার,	
mesenjjarer,	মেসেনাজারের,	মেসেঞ্জারের,	
maaktoome,	মাকতমে,	মাকতুম,	
neelkuthir,	নিলকুঠির,	নীলকুঠির,	
murli,	মুর্লি,	মুরলী,	
turkider,	তুর্কীদের,	তুর্কিদের,	
avijojan,	অভিযোজন,	অভিযোজন,	
sachetanvabe,	সচেতনাতভাবে,	সচেতনভাবে,	
shangsthaner,	সংস্থানের,	সংস্থানের,	
scholastik,	স্কলাস্টিক,	স্কলাস্টিক,	
parkim,	পার্কিম,	পার্কিং,	
nadnodeer,	নদ্নদীর,	নদনদীর,	
everest,	ইভারেস্ট,	এভারেস্টে,	
gatibege,	গতিবীগে,	গতিবেগে,	
arthoneeti,	অর্থনীতি,	অর্থনীতির,	
simons,	সাইমন্স,	সিমন্স,	
rahi,	রহি,	রাহী,	
beeswasi,	বিশ্বাসী,	বিশ্বাসই,	
goolen,	গুলেন,	গুলেন,	
gora,	গোার,	গোর,	
stoone,	স্টোন,	স্টোন,	
homesh,	হমেশ,	হোমস,	
kandy,	ক্যান্ডি,	ক্যান্ডি,	
rupantarer,	রূপান্তরের,	রুপান্তরের,	
jeebonjaapon,	জীবনাপন,	জীবনযাপন,	
parshe,	পারসে,	পার্শ্বে,	
mousumeo,	মুসুমেও,	মৌসুমেও,	
expose,	এক্সপোজ,	এক্সপোজ,	
lala,	লোল,	লালা,	
samudrotate,	সমুদ্রতাতে,	সমুদ্রতটে,	
zerusaleme,	জিরুসালে,	জেরুসালেমে,	
agomonke,	আগমনকে,	আগমনকে,	
ovisongson,	অভিসংসন,	অভিশংসন,	
johns,	জনস,	জন্স,	
kanaphlikta,	কানফ্ল্ক্ট,	কনফ্লিক্ট,	
siniyara,	সিনিয়ার,	সিনিয়র,	
dei,	দেই,	দিই,	
lyande,	ল্যান্ডে,	ল্যান্ডে,	
chalochchitreei,	চলচ্চিত্রীই,	চলচ্চিত্রেই,	
ajijer,	আজিজের,	আজিজের,	
samudrotatey,	সমুদ্রতাতে,	সমুদ্রতটে,	
proteesthasoho,	প্রতিষ্ঠাসহ,	প্রতিষ্ঠাসহ,	
shobnom,	শন্ন,	শবনম,	
ptolemir,	প্টোমেমির,	টলেমির,	
aipiela,	আইপিল,	আইপিএল,	
prakalpagulo,	প্রকল্পগুলো,	প্রকল্পগুলো,	
udvaban,	উদ্ভবন,	উদ্ভাবন,	
jaubanbati,	যৌবন্তবী,	যৌবনবতী,	
chitronatyakar,	চিত্রনাত্যকার,	চিত্রনাট্যকার,	
lyata,	ল্যাট,	ল্যাটা,	
toler,	তললের,	তালের,	
pure,	পুরে,	পিওর,	
ajeempoor,	আজিমপুর,	আজিমপুর,	
eenameela,	ইনামেল,	এনামেল,	
drissogulote,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
formet,	ফরমেট,	ফরম্যাট,	
nirupita,	নিরূপিতা,	নিরূপিত,	
addhatikota,	অধ্যাতিকতা,	আধ্যাত্মিকতা,	
fridom,	ফ্রিডম,	ফ্রীডম,	
sporsher,	স্পোর্সের,	স্পর্শের,	
dang,	ডাং,	ডং,	
juboksaho,	যুবকসহ,	যুবকসহ,	
through,	থ্রাউ,	থ্রু,	
santoshe,	সন্তুসে,	সন্তোষে,	
pratishta,	প্রতিষ্ট,	প্রতিষ্টা,	
michir,	মিচির,	মিচির,	
peto,	পেতো,	পেত,	
naditike,	নদীতিকে,	নদীটিকে,	
craze,	ক্রেজ,	ক্রেজ,	
proteesthar,	প্রতিষ্ঠার,	প্রতিষ্ঠার,	
grambaseeo,	গ্রামাবশীও,	গ্রামবাসীও,	
dacop,	ডাকাপ,	দাকোপ,	
anchalgulote,	আঁচলগুলোতে,	অঞ্চলগুলোতে,	
rinatmak,	ঋণাত্মক,	ঋনাত্মক,	
sikkhagata,	শিক্ষাগত,	শিক্ষাগত,	
jaubankal,	যৌবনকাল,	যৌবনকাল,	
durgotsob,	দুর্গসস,	দুর্গোৎসব,	
durgotshober,	দুর্গসসবের,	দুর্গোৎসবে,	
sarbhaarer,	সারভারের,	সার্ভারের,	
hisabke,	হিসাবকে,	হিসাবকে,	
vushi,	ভুষি,	ভুষি,	
sahab,	সাহাব,	সাহাব,	
boshoborti,	বসবর্তী,	বশবর্তী,	
rena,	রেন,	রেনো,	
saatzon,	সাতজন,	সাতজন,	
ancholsomuho,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
kanasharabheshhana,	কনসারভেশন,	কনসারভেশন,	
anuchcheder,	অনুচ্ছেদের,	অনুচ্ছেদের,	
armeniyana,	আরমেনিয়ান,	আর্মেনিয়ান,	
aboshorer,	অবসরের,	অবসরের,	
sphincter,	স্ফিন্টের,	স্ফিংটার,	
jokkher,	যক্ষের,	যক্ষের,	
karlo,	করলো,	কার্লো,	
mandanda,	মানদন্ড,	মানদণ্ড,	
hunayin,	হানউইয়ান,	হুনাইন,	
uparjan,	উপারজজন,	উপার্জন,	
shaluk,	শালুক,	শালুক,	
aairese,	আইরেসে,	আইরেসে,	
shikhar,	শিখর,	শিকার,	
oitijhyer,	ঐতিহ্যের,	ঐতিহ্যের,	
thailandshoho,	থাইলনসদ,	থাইল্যান্ডসহ,	
flag,	ফ্লয়,	ফ্লাগ,	
deil,	ডেইল,	ডেইল,	
mugdha,	মুগদা,	মুগ্ধ,	
stonehenge,	স্টনেেহেঞ্জে,	স্টোনহেঞ্জ,	
aanish,	অনিশ,	আনিস,	
kaferderkey,	কাফেরদেরকে,	কাফেরদেরকে,	
chalchhee,	চালছী,	চলছে,	
aabahan,	আবহান,	আবাহন,	
vabna,	ভাবনা,	ভাবনা,	
cholochchitro,	চলচিত্র,	চলচ্চিত্র,	
soundarja,	সৌন্দর্য,	সৌর্ন্দয্য,	
bbiswashi,	বিশ্বাসী,	বিশ্বাসই,	
kormokandeo,	কর্মকান্ডে,	কর্মকাণ্ডেও,	
samanyai,	সামান্যই,	সামান্যই,	
digrio,	ডিগ্রো,	ডিগ্রিও,	
township,	তাউনশিপ,	টাউনশিপ,	
venkates,	ভেনকাটিস,	ভেঙ্কটেশ,	
promothesh,	প্রমথেস,	প্রমথেশ,	
plato,	প্ল্যাটো,	প্লেটো,	
bonaa,	বোনা,	বোনা,	
sazanor,	সাজানোর,	সাজানোর,	
anan,	অ্যানন,	আনান,	
manohputa,	মননসুটা,	মনঃপুত,	
naubotom,	নবতম,	নবতম,	
bhaisoho,	ভাইসহ,	ভাইসহ,	
domone,	দমনে,	দমনে,	
bosantake,	বসন্তকে,	বসন্তকে,	
sofie,	সফী,	সোফি,	
rathin,	রথিন,	রথীন,	
tecnokret,	টেকনক্রেট,	টেকনোক্র্যাট,	
teteyer,	তেতের,	টেটের,	
konader,	কোনদের,	কণাদের,	
hunine,	হানিইন,	হুনাইন,	
prokalpaguli,	প্রকল্পগুলি,	প্রকল্পগুলি,	
saholobhyotar,	সহলভ্যতার,	সহজলভ্যতার,	
estoonia,	এস্টুনিয়া,	এস্তোনিয়া,	
antarvuktimulak,	অন্তর্ভূত্তিকূলক,	অন্তর্ভুক্তিমূলক,	
jaistho,	জৈষ্ঠ্য,	জ্যৈষ্ঠ,	
atorkite,	আতর্কীতে,	অতর্কিতে,	
sansthaner,	সংস্থানের,	সংস্থানের,	
mehnoti,	মেহনেটি,	মেহনতি,	
vaisoho,	ভৈষসহ,	ভাইসহ,	
ameriqa,	অ্েরেকা,	আমেরিকা,	
kanaflikta,	কানাফ্লিক্ট,	কনফ্লিক্ট,	
salsa,	সালস,	সালসা,	
aper,	আপার,	আপের,	
chedropothe,	ছেদ্রপথে,	ছিদ্রপথে,	
provura,	প্রভারা,	প্রভুরা,	
varotey,	ভারতে,	ভারতে,	
welaqama,	ভেলকাম,	ওয়েলকাম,	
shringe,	শ্রীঞ্জ,	শৃঙ্গে,	
baabul,	বাবুল,	বাবুল,	
onshogrohoner,	অংশগ্রহণের,	অংশগ্রহনের,	
jaruri,	জরুরি,	জরূরী,	
prajanankal,	প্রজননকল,	প্রজননকাল,	
sabaner,	শাবনের,	সাবানের,	
chamoski,	চামস্কি,	চমস্কি,	
joni,	যোনি,	জনি,	
silbhee,	সিলভী,	সিলভি,	
ispredsheet,	ইস্প্রেডসেট,	স্প্রেডশীট,	
chhotto,	ছত্ব,	ছোট্ট,	
sifi,	সিফি,	সাইফাই,	
source,	সোর্স,	সোর্স,	
bishshaasho,	বিশ্বাসও,	বিশ্বাসও,	
teenej,	তেনেজ,	টিনেজ,	
brekathru,	ব্রেকতারু,	ব্রেকথ্রু,	
chirkoot,	চিরকুট,	চিরকুট,	
soheensotar,	সহিংসতার,	সহিংসতার,	
nojoder,	নজদদের,	নজদের,	
suparichito,	সুপারিচিত,	সুপরিচিত,	
avishangsan,	অভিসংসন,	অভিশংসন,	
arthurer,	অর্থুরের,	আর্থারের,	
romonar,	রমনার,	রমনার,	
laishenshe,	লাইসেন্স,	লাইসেন্স,	
shucharita,	সূচারিত,	সুচরিতা,	
taoonship,	তাউন্সিপ,	টাউনশিপ,	
qyandi,	ক্যান্ডি,	ক্যান্ডি,	
bihar,	বিহার,	বিহার,	
torabganj,	তরবাগঞ্জ,	তোরাবগঞ্জ,	
titlee,	তিতলী,	টাইটেল,	
jeebnagar,	জীবনাগার,	জীবননগর,	
jonosomaj,	জনসমাজ,	জনসমাজ,	
siddhantai,	সিদ্বনন্তই,	সিদ্ধান্তই,	
saarbhaare,	সারভারে,	সার্ভারে,	
mufti,	মুফতী,	মুফতি,	
sotorkobhabe,	সতর্কভাবে,	সতর্কভাবে,	
madelim,	ম্যাডেলিং,	মডেলিং,	
eporjanta,	এপর্জন্ত,	এপর্যন্ত,	
byaboharkaree,	ব্যবহারকারী,	ব্যবহারকারী,	
myathious,	ম্যাথিও,	ম্যাথিউস,	
satarkabhabey,	সতরাকভাবে,	সতর্কভাবে,	
anektai,	অনেকটাই,	অনেকটাই,	
janapoth,	জনপথ,	জনপথ,	
mirakel,	মিরাকলল,	মিরাকেল,	
gratha,	গ্রথ,	গ্রোথ,	
joki,	জকি,	জকি,	
nirgamon,	নির্জামন,	নির্গমন,	
nabyota,	নব্যতা,	নাব্যতা,	
monur,	মণুর,	মনুর,	
aameenaar,	আমিনার,	আমিনার,	
monohorpur,	মনোহরপুর,	মনোহরপুর,	
sampadankaree,	সম্পাদনকারী,	সম্পাদনকারী,	
neshhanasha,	নেশানাস,	নেশনস,	
siddhantagulo,	সিদ্বানগতগুলো,	সিদ্ধান্তগুলো,	
shuri,	শুরি,	সুরি,	
capsule,	কপসপুল,	ক্যাপসুল,	
onekeryi,	অনেকররী,	অনেকেরই,	
sulke,	শুলকে,	শুল্কে,	
byomkes,	ব্যামকেস,	ব্যোমকেশ,	
ghenshe,	ঘেন্সে,	ঘেঁষে,	
vumija,	ভূমিজা,	ভূমিজ,	
patterne,	পট্টার্নে,	প্যাটার্নে,	
vittiow,	ভিটিও,	ভিত্তিও,	
silbhi,	সিলভি,	সিলভি,	
vins,	ভিংস,	ভিন্স,	
gondho,	গন্ধ,	গন্ধ,	
bhogirath,	ভগিরাথ,	ভগীরথ,	
byepass,	ব্যাপস,	বাইপাস,	
bhabaponno,	ভবপান্ন,	ভাবাপন্ন,	
teksaser,	টেক্সাসের,	টেক্সাসের,	
iispredshiit,	ইস্প্রেডসেস,	স্প্রেডশীট,	
bhaangchoor,	ভাঙচুর,	ভাংচুর,	
satyaki,	সত্যাকি,	সাত্যকি,	
jolbe,	জলবে,	জ্বলবে,	
bissashe,	বিশ্বাসে,	বিশ্বাসে,	
ancholsoho,	অঞ্চলসহ,	অঞ্চলসহ,	
philippiner,	ফিলিপিনের,	ফিলিপাইনের,	
naajii,	নাজী,	নাত্সি,	
dhormee,	ধর্মী,	ধর্মী,	
noiteekotabodh,	নৈতিতাবদ্ধ,	নৈতিকতাবোধ,	
bhittiteo,	ভিতিতেও,	ভিত্তিতেও,	
dhikrito,	ধ্বীরৃত,	ধিকৃত,	
gandharir,	গানধারীর,	গান্ধারীর,	
teemothee,	তেমথী,	টিমোথি,	
naubom,	নবম,	নবম,	
daeel,	ডেল,	ডেইল,	
nobom,	নবম,	নবম,	
bhotara,	ভোটরর,	ভোটার,	
karam,	করম,	কেরাম,	
shayatana,	শ্যাটন,	শয়তান,	
jekhan,	যেখান,	যেখান,	
ajeeboner,	অজিবনের,	আজীবনের,	
bosstonte,	বসস্তন্তে,	বসন্তে,	
aairish,	আইরিশ,	আইরিস,	
beam,	বিম,	বীম,	
karmojog,	কর্মযোগ,	কর্মযোগ,	
abhigomon,	অভিগান,	অভিগমন,	
sangharshik,	সাংঘর্ষিক,	সাংঘর্ষিক,	
pratijogita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
chalochchitraeeo,	চলচ্চিত্রেই,	চলচ্চিত্রেও,	
madrasar,	মাদরাসার,	মাদ্রাসার,	
abdur,	আব্দুর,	আবদুর,	
ujobekeestaner,	উজবেস্তানের,	উজবেকিস্তানের,	
dharabahikvabe,	ধারাবিকভাবে,	ধারাবাহিকভাবে,	
vastubad,	বস্তুবাদ,	বস্তুবাদ,	
prachurzer,	প্রচুর্জের,	প্রাচুর্যের,	
peterer,	পেতারের,	পিটারের,	
chet,	চেত,	চ্যাট,	
taitela,	টাইটেল,	টাইটেল,	
edmiral,	এডিমারাল,	এডমিরাল,	
iispredsheet,	ইস্প্রেডসেট,	স্প্রেডশীট,	
alangkoron,	অলংকরণ,	অলঙ্করণ,	
torkarir,	তরকারীর,	তরকারীর,	
parswer,	পার্সর,	পার্শ্বের,	
shaakaar,	শাকার,	সাকার,	
chaalkee,	চালকি,	চালকে,	
byasalt,	ব্যাসল্ট,	ব্যাসল্ট,	
shkalashtika,	স্কলাস্টিক,	স্কলাস্টিক,	
nirapattamulak,	নিরাপাতম্ূত্বক,	নিরাপত্তামূলক,	
antarbhuktimulak,	অন্ত্তভূর্তিক,	অন্তর্ভুক্তিমূলক,	
bolkarok,	বলকারক,	বলকারক,	
chamke,	চামকে,	চমকে,	
bhaibon,	ভাইবন,	ভাইবোন,	
hilser,	হিলসের,	হিলসের,	
dorun,	দরুণ,	দরুণ,	
bonobhumi,	ভনভূমি,	বনভূমি,	
sontoshpur,	সন্ত্্পুর,	সন্তোষপুর,	
grameryi,	গ্রামারী,	গ্রামেরই,	
gandhiio,	গান্ধীও,	গান্ধীও,	
shukranoo,	শুক্রাণু,	শুক্রানু,	
techno,	টেচনো,	টেকনো,	
abadamoner,	অবদামমের,	অবদমনের,	
perry,	পেরী,	পেরি,	
cholochchitratike,	চলচ্চিত্রটিকে,	চলচ্চিত্রটিকে,	
byabaharkariderke,	ব্যবহারকারীদেরকে,	ব্যবহারকারীদেরকে,	
saccar,	সাক্চার,	সকার,	
tookoo,	টুকো,	টুকু,	
sahabah,	সাহাবাহ,	সাহাবাহ,	
fokskon,	ফক্স্কন,	ফক্সকন,	
bage,	ব্যাগে,	বাগে,	
keyboard,	কেবোর্ড,	কীবোর্ড,	
muladi,	মুলাদী,	মুলাদি,	
benke,	ব্যাংকে,	বেঁকে,	
soolke,	শুলকে,	শুল্কে,	
plate,	প্লেট,	প্লেট,	
khoor,	খোর,	ক্ষুর,	
venise,	ভাইনিসে,	ভেনিসে,	
bhalobasar,	ভালবাসার,	ভালোবাসার,	
mukhobandha,	মুখবন্ধ,	মুখবন্ধ,	
jaroori,	জরুরি,	জরূরী,	
biharey,	বিহারে,	বিহারে,	
turbiner,	তুরবীনের,	টারবাইনের,	
deke,	ডিকে,	ডেকে,	
karlosh,	করলাশ,	কার্লোস,	
gobhornorer,	গভ্ভরণের,	গভর্ণরের,	
kaalengaa,	কালেঙ্গ,	কালেঙ্গা,	
hebhi,	হেইভি,	হেভি,	
hook,	হোক,	হুক,	
akla,	একলা,	একলা,	
parker,	পার্কার,	পার্কের,	
bhyaatikaaner,	ভ্যাতিকানের,	ভ্যাটিকানের,	
lagic,	লাগিক,	লজিক,	
lakkheryo,	লক্ষেে্য,	লক্ষেরও,	
lyaata,	ল্যাট,	ল্যাটা,	
mosjidke,	মসজিদকে,	মসজিদকে,	
moldowa,	মোলদাও,	মলদোভা,	
esiyatika,	এসিয়টিক,	এশিয়াটিক,	
amantrita,	আমন্ত্রিত,	আমন্ত্রিত,	
shaater,	সাতের,	শ্যুটার,	
jotinkey,	যতিনী,	যতীনকে,	
songosthaner,	সংস্থানের,	সংস্থানের,	
shchalastic,	স্কালাস্টিক,	স্কলাস্টিক,	
ghantiti,	ঘন্তিটি,	ঘাঁটিটি,	
minishtarer,	মিনিস্টারের,	মিনিস্টারের,	
loukeekota,	লৌকিকতা,	লৌকিকতা,	
palbongsher,	পালভংশের,	পালবংশের,	
debholopar,	ডেভলপার,	ডেভলপার,	
sahapathike,	সহপাঠীকে,	সহপাঠীকে,	
cholochchitrake,	চলচ্চিত্রকে,	চলচ্চিত্রকে,	
naren,	নরয়ান,	নরেন,	
gujaber,	গুজবের,	গুজবের,	
daakten,	ডাক্তেন,	ডাকতেন,	
korechi,	করেছি,	করেছি,	
canton,	ক্যান্টন,	ক্যান্টন,	
sibiai,	সিবিই,	সিবিআই,	
matthews,	ম্যাথিউস,	ম্যাথিউস,	
falak,	ফলক,	ফলক,	
mulbhitti,	মুলভীত্তি,	মূলভিত্তি,	
setio,	সেটিও,	সেটিও,	
sosej,	সশেজ,	সসেজ,	
raeets,	রাইটস,	রাইটস,	
hozot,	হজৎ,	হজত,	
nironjon,	নিরঞ্জন,	নিরঞ্জন,	
srimati,	শ্রীমতী,	শ্রীমতি,	
zacksan,	জক্সন,	জ্যাকসন,	
niutrina,	নিউট্রিন,	নিউট্রিনো,	
pleta,	প্ল্যাট,	প্লেট,	
tonu,	তোনু,	তনু,	
makang,	ম্যাকাং,	মেকং,	
mmesenjarer,	মেসেন্জারের,	মেসেঞ্জারের,	
dearas,	দ্রারস,	ডিআরএস,	
bhromoner,	ভ্রমণের,	ভ্রমণের,	
gobeshona,	গবেষণা,	গবেষনা,	
abikal,	অবিকাল,	অবিকল,	
patjat,	পাজজাট,	পাটজাত,	
laisense,	লাইসেন্সে,	লাইসেন্স,	
qor,	কোর,	কর,	
aamude,	আমুদে,	আমুদে,	
uul,	উল,	উল,	
mache,	মেচে,	মাছে,	
spreadshiit,	স্প্রেডসিস,	স্প্রেডশীট,	
myakbeth,	ম্যাকবেথ,	ম্যাকবেথ,	
nirbachokder,	নির্বাচকদের,	নির্বাচকদের,	
shaajaano,	সাজানো,	সাজানো,	
goteehin,	গতিহীন,	গতিহীন,	
ispreedshiit,	ইস্প্রেসডিস,	স্প্রেডশীট,	
sumo,	সুম,	সুমো,	
leder,	লেডার,	লিডার,	
daaoon,	দান,	ডাউন,	
debug,	দেবীগ,	ডিবাগ,	
chotogolper,	চোটোগল্পের,	ছোটগল্পের,	
jeelyand,	জিল্যান্ড,	জিল্যান্ড,	
addhatikotar,	অধ্যাতিকতার,	আধ্যাত্মিকতার,	
rautine,	রাউটিন,	রুটিন,	
definitian,	ডেফিনিশন,	ডেফিনেশন,	
dharabiktir,	ধারাবিক্তির,	ধারাবাহিকটির,	
torabgonj,	তরবাগঞ্জ,	তোরাবগঞ্জ,	
orhan,	ওরহান,	ওরহান,	
dana,	ডোনা,	ডায়না,	
