antarbhuttirmulok,	অন্তর্ভূত্ূমূলক,	অন্তর্ভুক্তিমূলক,	
anchalsamuher,	অঞ্চলসমূহের,	অঞ্চলসমূহের,	
dinifition,	ডিনিফিনশ,	ডেফিনেশন,	
nischitorupey,	নিশ্চিতরূপে,	নিশ্চিতরূপে,	
samanwitabhabe,	সমানীবভাতে,	সমন্বিতভাবে,	
veenis,	ভেনিস,	ভেনিস,	
chalochchitrogulor,	চলচ্ছিত্রগুলোর,	চলচ্চিত্রগুলোর,	
chesha,	চেষা,	চেস,	
sulphate,	সালফাতে,	সালফেট,	
chhatrorai,	ছাত্ররাই,	ছাত্ররাই,	
khudey,	খুদে,	ক্ষুদে,	
domone,	দমনে,	দমনে,	
economeeks,	ইকোনমিক্স,	ইকোনমিকস,	
neutrina,	নিউট্রিন,	নিউট্রিনো,	
lambate,	লামবাতে,	লম্বাটে,	
mirakeela,	মিরাকেল,	মিরাকেল,	
ketechila,	কেটেছিল,	কেটেছিল,	
jonoika,	জননিকা,	জনৈকা,	
peengna,	পেঙ্া,	পিংনা,	
nathibhookto,	নথিভূক্ত,	নথিভুক্ত,	
gitikobita,	গীতিকাবিতা,	গীতিকবিতা,	
vagini,	ভাগিনী,	ভগিনী,	
sansthati,	সংস্থাটি,	সংস্থাটি,	
siddhanto,	সিদ্বান্ত,	সিদ্ধান্তও,	
dephinesana,	ডেফিনেশন,	ডেফিনেশন,	
neshhanasha,	নেষানাশা,	নেশনস,	
phiqsa,	ফিক্স,	ফিক্স,	
beekaargrasto,	বিকৃরগ্রস্ত,	বিকারগ্রস্ত,	
kanasarabheshana,	কনসারভেশন,	কনসারভেশন,	
habsi,	হবসী,	হাবশী,	
bishrinkhala,	বিশৃঙ্খলা,	বিশৃঙ্খলা,	
awrbit,	অভ্বিত,	অরবিট,	
tonight,	টননাইট,	টুনাইট,	
gaj,	গজ,	গেজ,	
remakri,	রেমাক্রি,	রেমাক্রী,	
asovyo,	অসভ্য,	অসভ্য,	
gajipur,	গাজীপুর,	গাজিপুর,	
homeser,	হোমেসের,	হোমসের,	
estooniya,	এস্টোনিয়া,	এস্তোনিয়া,	
feroz,	ফেরজ,	ফিরোজ,	
narsaari,	নার্সারী,	নার্সারি,	
seatey,	সেটে,	সিটে,	
oitijhyo,	ঐতিহ্য,	ঐতিহ্য,	
haraten,	হারাতেন,	হারাতেন,	
oddure,	অদ্যুরে,	অদুরে,	
chidropathe,	চিদ্রপথে,	ছিদ্রপথে,	
venis,	ভেনিস,	ভেনিস,	
aap,	আপ,	আপ,	
deepei,	দিপেই,	দ্বীপেই,	
bolechiley,	বলেছিলে,	বলেছিলে,	
bosontokke,	বসন্তকে,	বসন্তকে,	
valobasen,	ভালোবাসেন,	ভালোবাসেন,	
sampadan,	সম্পাদন,	সম্পাদন,	
shotokei,	শতকেই,	শতকেই,	
hertz,	হরত্জ,	হার্জ,	
ishahak,	ইসহাক,	ইসাহাক,	
shabnam,	শাবনাম,	শবনম,	
partho,	পার্থ,	পার্থ,	
byabaharkareederke,	ব্যবহারকারীকে,	ব্যবহারকারীদেরকে,	
suchanakal,	সূচনাকাল,	সূচনাকাল,	
rayalty,	রেয়াল্টি,	রয়্যালটি,	
ajimpoor,	আজিমপুর,	আজিমপুর,	
marketim,	মার্কেটিং,	মার্কেটিং,	
juktarashtrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
cholochchitro,	চলচিত্র,	চলচ্চিত্র,	
sanbadmadhyamgulote,	সংব্দধাম্যুগল,	সংবাদমাধ্যমগুলোতে,	
hugh,	হিউ,	হিউজ,	
himi,	হিমি,	হিমি,	
temonbhabe,	তেমনভাবে,	তেমনভাবে,	
drishyotir,	দৃশ্যটির,	দৃশ্যটির,	
kathmandute,	কথমণ্ডুতে,	কাঠমান্ডুতে,	
noitikatabodh,	নৈতিতাবধোধ,	নৈতিকতাবোধ,	
nariikeyi,	নারীকেই,	নারীকেই,	
amstrang,	অম্ট্রের্,	আর্মস্ট্রং,	
gonohotyakey,	গণহত্যকে,	গণহত্যাকে,	
karmakarer,	কর্মকরের,	কর্মকারের,	
jahara,	জাহরা,	যাহরা,	
byan,	ব্যান,	ব্যাং,	
freedom,	ফ্রিডম,	ফ্রীডম,	
kamla,	কমলা,	কামলা,	
nischitabhabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
elaakaate,	এলাকাতে,	এলাকাতে,	
musalmanderkey,	মুসলমন্দদেরকে,	মুসলমানদেরকে,	
mohammad,	মোহম্মদ,	মুহাম্মদ,	
basturoi,	বস্তুরো,	বস্তুরই,	
sainyo,	সৈন্য,	সৈন্য,	
bhadaka,	ভাদাকা,	ভদকা,	
silver,	শিলভার,	সিলভার,	
pratista,	প্রতিষ্ট,	প্রতিষ্টা,	
chorchito,	চর্চিত,	চর্চিত,	
install,	ইনস্টল,	ইন্সটল,	
vip,	ভিপ,	ভিআইপি,	
kriseenta,	ক্রিসেন্ট,	ক্রিসেন্ট,	
snaipara,	স্নাইপার,	স্নাইপার,	
bhangchur,	ভাঙচুর,	ভাংচুর,	
nischitrupe,	নিস্চিতরূপে,	নিশ্চিতরূপে,	
modeel,	মদিল,	মডেল,	
fall,	ফল,	ফল,	
nabam,	নবাম,	নবম,	
prothake,	প্রথাকে,	প্রথাকে,	
muladee,	মুলাদী,	মুলাদি,	
tribhuj,	ত্রিভুজ,	ত্রিভূজ,	
eidaning,	এইডননিং,	ইদানীং,	
alpa,	আল্প,	অল্প,	
ssumita,	সুমিতা,	সুমিতা,	
anan,	আনান,	আনান,	
dweepgoolotey,	দ্বিপগুলোতে,	দ্বীপগুলোতে,	
aipiela,	আপিলে,	আইপিএল,	
saoum,	সাউম,	সাওম,	
biplabeer,	বিপ্লবীর,	বিপ্লবীর,	
jammu,	জাম্মু,	জম্মু,	
nikater,	নিকটের,	নিকটের,	
mukhabandho,	মুখাবন্ধ,	মুখবন্ধ,	
itostatoh,	ইতস্ততত,	ইতস্ততঃ,	
kortam,	করতম,	করতাম,	
breqathru,	ব্রেকতারু,	ব্রেকথ্রু,	
shikshakder,	শিক্ষাকদের,	শিক্ষকদের,	
modeling,	ম্যাডলিং,	মডেলিং,	
gabeshonar,	গবেষণার,	গবেষনার,	
spashtotai,	স্পষ্টটাই,	স্পষ্টতই,	
expresion,	এক্সপ্রেশন,	এক্সপ্রেশন,	
hebhi,	হবি,	হেভি,	
dale,	দলে,	ডালে,	
epiela,	এপিলে,	আইপিএল,	
cholocchitreo,	চলচিত্রেও,	চলচ্চিত্রেও,	
bhabani,	ভবনী,	ভবানী,	
prakalpaguli,	প্রকালগুলি,	প্রকল্পগুলি,	
chhattroraai,	ছাত্ররাই,	ছাত্ররাই,	
kartana,	কর্তন,	করতনা,	
bikaargrasto,	বিক্রাগ্রস্ত,	বিকারগ্রস্ত,	
brookolin,	ব্রকোলিন,	ব্রুকলিন,	
janate,	জানতে,	জানাতে,	
chamke,	চামকে,	চমকে,	
saajano,	সাজান,	সাজানো,	
prosadhoni,	প্রসাধানী,	প্রসাধনী,	
mangolic,	মঙ্গলিক,	মাঙ্গলিক,	
jhalokatthi,	ঝালকাঠি,	ঝালকাঠী,	
karpeter,	কার্পাটের,	কার্পেটে,	
baruklin,	বারুক্লিন,	ব্রুকলিন,	
sobchey,	সবচে,	সবচে,	
jatti,	জাটটি,	জাতটি,	
soomita,	সুমিতা,	সুমিতা,	
aminul,	আমিনুল,	আমিনুল,	
ajimke,	আজিমকে,	আজিমকে,	
abhishangson,	অভিষাংসন,	অভিশংসন,	
brindabaner,	বৃণ্ডবানের,	বৃন্দাবনের,	
baet,	ব্যাট,	বাইট,	
sheekarer,	শিকারের,	শিকারের,	
prokalpeo,	প্রকল্পে,	প্রকল্পেও,	
meghey,	মেঘে,	মেঘে,	
bhaider,	ভাইদের,	ভাইদের,	
chitronatyakar,	চিত্রনাট্যকার,	চিত্রনাট্যকার,	
zeans,	জেনস,	জিন্স,	
dhache,	ঢাকে,	ধাঁচে,	
bohudin,	বহুদিন,	বহুদিন,	
dhwajbhango,	ধ্যাগভঙ্গ,	ধ্বজভঙ্গ,	
transhapharma,	ট্রান্সফমর্ম,	ট্রান্সফর্ম,	
hoilo,	হইলো,	হইল,	
ssahocorze,	সাহারো্যে,	সাহচর্যে,	
ileeing,	এলিয়েন,	ইলিং,	
ekok,	একক,	একক,	
minishtarer,	মিনিসট্টারের,	মিনিস্টারের,	
baireyo,	বেরেও,	বাইরেও,	
benke,	বেনকে,	বেঁকে,	
bhogni,	ভগ্নী,	ভগ্নী,	
sures,	সুরেস,	সুরেশ,	
gandhariir,	গান্ধারীর,	গান্ধারীর,	
ganoparibahaner,	গণপরিবহনের,	গণপরিবহনের,	
daankaan,	ডানকান,	ডানকান,	
jyotsna,	য্যাটসনা,	জ্যোৎস্না,	
rajatwa,	রাজত্ব,	রাজত্ব,	
foxcon,	ফক্সন,	ফক্সকন,	
faridi,	ফরীদি,	ফরিদী,	
kiutie,	কিউটিই,	কিউটি,	
mondope,	মন্ডপে,	মন্ডপে,	
grambaaseeder,	গ্র্যামবিদের,	গ্রামবাসীদের,	
amontrito,	অমন্ত্রিত,	আমন্ত্রিত,	
nirvahey,	নির্বাহে,	নির্বাহে,	
nirau,	নিরো,	নির,	
protistha,	প্রতিষ্ঠা,	প্রতিষ্টা,	
oichchik,	ঐচ্ছিক,	ঐচ্ছিক,	
juboke,	যুবকে,	যুবকে,	
toroonra,	তরুণরা,	তরুণরা,	
madaul,	মাদাউল,	মাদল,	
oedipush,	আদিপাস,	ইডিপাস,	
samabeshke,	সমবেশকে,	সমাবেশকে,	
monjile,	মঞ্জিলে,	মঞ্জিলে,	
reejideens,	রেজিডেন্স,	রেসিডেন্স,	
korush,	ক্রুস,	ক্রুশ,	
dap,	ডাপ,	ড্যাপ,	
niranjon,	নিরঞ্জন,	নিরঞ্জন,	
zilyanda,	জিল্যান্ড,	জিল্যান্ড,	
kormozog,	কর্মযোগ,	কর্মযোগ,	
akmato,	একমত,	একমত,	
nadimatrik,	নাদিমাত্রিক,	নদীমাতৃক,	
noiteekotabodh,	নৈতিতাবধোধ,	নৈতিকতাবোধ,	
gronthe,	গ্রন্থে,	গ্রন্থে,	
shikarer,	শিকারের,	শিকারের,	
ukeliptash,	উকলেলিপ্তাস,	ইউক্যালিপ্টাস,	
gezetted,	গেজেটেড,	গেজেটেড,	
gora,	গোর,	গোর,	
bim,	বিম,	বীম,	
gaze,	গেজ,	গেজ,	
elakatikay,	এলাকটিকে,	এলাকাটিকে,	
krechi,	ক্রেচি,	করেছি,	
carpet,	কার্পট,	কার্পেট,	
madhookori,	মাধুকরি,	মাধুকরী,	
jaaygata,	জাইগত,	জায়গাটা,	
suresh,	সুরেশ,	সুরেশ,	
durgotshob,	দুর্গতস্ব,	দুর্গোৎসব,	
addabaz,	আদ্যাবোজ,	আড্ডাবাজ,	
sonaktokaraner,	সনাক্তকরণের,	সনাক্তকরণের,	
venishh,	ভেনিস,	ভেনিস,	
shikkhagato,	শিক্ষাগত,	শিক্ষাগত,	
dhorer,	ধরের,	ধরের,	
iuro,	ইউরো,	ইউরো,	
siqar,	সিকার,	শিকার,	
kartona,	কর্তন,	করতনা,	
godabari,	গদাবরি,	গোদাবরী,	
shniper,	স্নাপের,	স্নাইপার,	
faranyata,	ফরান্যতা,	ফরম্যাট,	
dabarer,	দাবারের,	দাবারের,	
korta,	করত,	করতা,	
nagorikkey,	নাগরিককে,	নাগরিককে,	
sayaneda,	সয়ানেড,	সায়ানাইড,	
nirvaha,	নির্বাহ,	নির্বাহ,	
torkaryr,	তরকারির,	তরকারীর,	
konrup,	কনরূপ,	কোনরূপ,	
taalgachh,	তালগাছ,	তালগাছ,	
kattor,	কাট্টর,	কট্টর,	
venisey,	ভেনিসে,	ভেনিসে,	
rupdan,	রূপদান,	রুপদান,	
aajeej,	আজিজ,	আজিজ,	
musalmanderke,	মুসলমন্দরেকে,	মুসলমানদেরকে,	
societytey,	সোসিতেটি,	সোসাইটিতে,	
prakalpeo,	প্রকল্পেও,	প্রকল্পেও,	
remacry,	রেমাক্রি,	রেমাক্রী,	
mett,	মেট,	ম্যাট,	
messanger,	মেসাঙ্গের,	মেসেঞ্জার,	
obosore,	অবসরে,	অবসরে,	
azan,	আজন,	আজান,	
parswer,	পারস্বের,	পার্শ্বে,	
besoor,	বেশর,	বেসুর,	
dhan,	ধন,	ধ্যান,	
showti,	শতী,	শোটি,	
orghyo,	অর্ঘ্য,	অর্ঘ্য,	
ooporoshtho,	উপরস্থ,	উপরস্থ,	
shiropa,	শিরপা,	শিরোপা,	
rashider,	রাশিদের,	রশিদের,	
bandike,	বাঁদিকে,	বন্দীকে,	
hastantar,	হস্তান্তর,	হস্তান্তর,	
horeedware,	হরিদওয়ের,	হরিদ্বারে,	
apochesta,	অপচেষ্টা,	অপচেষ্টা,	
eute,	ইউটে,	ইইউতে,	
bamoni,	বামনই,	বামনী,	
jubokti,	যুবক্তি,	যুবকটি,	
bagdadii,	বাগদদী,	বাগদাদী,	
shkalastic,	স্কলস্টিক,	স্কলাস্টিক,	
khaneker,	খননের,	খানেকের,	
soomi,	সুমি,	সুমি,	
sossa,	শস্য,	শশা,	
dhhaabi,	ধাবি,	ঢাবি,	
boshoborti,	বসবর্তী,	বশবর্তী,	
bupher,	বাফের,	বাফার,	
deembakriti,	দিম্বকৃরিতি,	ডিম্বাকৃতি,	
khanonkaaj,	খননকাজ,	খননকাজ,	
tyunar,	টুনার,	টিউনার,	
jwolbe,	জ্বলবে,	জ্বলবে,	
sukumari,	শুকুমারী,	সুকুমারী,	
olangkoron,	অলংকরণ,	অলঙ্করণ,	
shanstha,	সনস্থ,	সংস্থা,	
gemser,	গেমসের,	জেমসের,	
taale,	তালে,	তালে,	
kurdira,	কুর্দিরা,	কুর্দিরা,	
vabanir,	ভবনীর,	ভবানীর,	
raitasa,	রাইটস,	রাইটস,	
hevy,	হেভি,	হেভি,	
sohinsotar,	সহিনস্ততার,	সহিংসতার,	
dajhya,	দাঝ্য,	দাহ্য,	
adhyatmik,	আধ্যাতিক,	আধ্যাত্মিক,	
obosane,	অবসনে,	অবসানে,	
stonehenj,	স্টনিহেন্জ,	স্টোনহেঞ্জ,	
byabaharkariyi,	ব্যাবারকারি,	ব্যবহারকারীই,	
vogni,	ভোগ্নী,	ভগ্নী,	
zerusalem,	জারুসালেম,	জেরুসালেম,	
tinage,	টাইনেগ,	টিনেজ,	
mujibur,	মুজিবর,	মুজিবুর,	
batsmaner,	বৎসম্ানের,	ব্যাটসম্যানের,	
oporeeshodhito,	অপরিষোধিত,	অপরিশোধিত,	
foreks,	ফরেক্স,	ফরেক্স,	
shoodhooi,	শুধুই,	শুধুই,	
gandogol,	গণ্ডগোল,	গন্ডগোল,	
rohosyoti,	রহস্যটি,	রহস্যটি,	
olongkaron,	অলংকরণ,	অলঙ্করণ,	
thare,	দেয়ার,	থরে,	
bhittiteo,	ভিত্তিতেও,	ভিত্তিতেও,	
sikkhakbrinda,	শিক্ষাবৃক্দ,	শিক্ষকবৃন্দ,	
ganoporibohoner,	গণপরিবহনের,	গণপরিবহনের,	
gaandaas,	গ্যান্ডাস,	জ্ঞানদাস,	
laaj,	লাজ,	লাজ,	
nirabata,	নীরবতা,	নিরবতা,	
dayitto,	দৈত্য,	দায়িত্ব,	
goodamjato,	গুদাম্জত,	গুদামজাত,	
kolahal,	কলাল,	কোলাহল,	
tikto,	তিকোো,	তিক্ত,	
thesiser,	থেসিসের,	থিসিসের,	
aairese,	আইরেশে,	আইরেসে,	
degreeke,	ডিগ্রীকে,	ডিগ্রিকে,	
allubokhara,	অল্লবক্ষা,	আলুবোখারা,	
yuroo,	ইউরো,	ইউরো,	
alpo,	আল্প,	অল্প,	
kyathlikder,	ক্যাথলিকদের,	ক্যাথলিকদের,	
jolrang,	জললরর,	জলরঙ,	
steen,	স্টেন,	স্টেন,	
udbhabani,	উদ্ভবনি,	উদ্ভাবনী,	
sumi,	সুমি,	সুমি,	
faser,	ফাসের,	ফাঁসের,	
archimedeser,	অর্কিমেশিদের,	আর্কিমিডিসের,	
granthatike,	গ্রন্থাটিকে,	গ্রন্থটিকে,	
bulan,	বুলেন,	বুলান,	
dibeeta,	দিবিতা,	ডিবেট,	
munshi,	মুনশী,	মুন্সী,	
sangasthatir,	সংস্থাটির,	সংস্থাটির,	
bolechile,	বলেছিলে,	বলেছিলে,	
neerbahe,	নির্বাহে,	নির্বাহে,	
besur,	বেশুর,	বেসুর,	
komaatei,	কমাতেই,	কমাতেই,	
somoshtike,	সমস্তিকে,	সমষ্টিকে,	
sastra,	সস্ত্র,	শাস্ত্র,	
nariikei,	নারীকেই,	নারীকেই,	
drissogulote,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
eporzonto,	এপর্ন্ত,	এপর্যন্ত,	
joistho,	জৈষ্ঠ্য,	জ্যৈষ্ঠ,	
firojer,	ফিরোজের,	ফিরোজের,	
brekthrough,	ব্রেক্রাঘ,	ব্রেকথ্রু,	
iraaner,	আরানের,	ইরানের,	
nirarthok,	নিরার্থক,	নিরর্থক,	
nyeta,	ন্যাট,	ম্যাট,	
karlei,	কারলই,	করলেই,	
sotorkokari,	সরকরকাাী,	সতর্ককারী,	
mousumer,	মৌসুমের,	মৌসুমের,	
robotic,	রোবটিক,	রোবোটিক,	
harees,	হারিস,	হ্যারিস,	
amarjita,	অমর্জিত,	অমার্জিত,	
shaahoshikataar,	সাহিসকিতার,	সাহসিকতার,	
sanghitar,	সংঘীতার,	সংহিতার,	
dibeting,	ডিবেটিং,	ডিবেটিং,	
eiling,	এইলিং,	ইলিং,	
vaisaho,	বৈষা,	ভাইসহ,	
rikondison,	রিকন্ডিনশন,	রিকন্ডিশন,	
kisti,	কিষটি,	কিস্তি,	
dakticket,	ডক্কিটি,	ডাকটিকিট,	
pragresa,	প্রগ্রেস,	প্রগ্রেস,	
noditikey,	নদীতীকে,	নদীটিকে,	
themekey,	থেমেকে,	থিমকে,	
angshograhon,	অংশগ্রহণ,	অংশগ্রহন,	
abheedhaneek,	অভিধানিক,	অভিধানিক,	
doonut,	দুনুত,	ডোনাট,	
rifleksa,	রাইকেল্সা,	রিফ্লেক্স,	
maail,	মেল,	মাইল,	
jeevjontu,	জীবন্তু,	জীবজন্তু,	
protul,	প্রতুল,	প্রতুল,	
primoo,	প্রিমও,	প্রিমো,	
trivuj,	ত্রিভুজ,	ত্রিভূজ,	
chhutochhooti,	ছুটুচুটি,	ছুটোছুটি,	
gauge,	গৌগে,	গেজ,	
birder,	বির্ডের,	বার্ডের,	
kathmandu,	কথমন্ডু,	কাঠমান্ডু,	
mathews,	ম্যাথেওস্,	ম্যাথিউস,	
akhandota,	আখন্দতা,	অখণ্ডতা,	
pra,	প্রা,	প্রো,	
jyakashana,	জ্যাকাশন,	জ্যাকসন,	
daebug,	দাবুগ,	ডিবাগ,	
augustine,	অগাস্টিন,	অগাস্টিন,	
mausumer,	মসসমির,	মৌসুমের,	
hooldim,	হোল্ডিং,	হোল্ডিং,	
nischay,	নিশ্চা,	নিশ্চয়,	
wictor,	ভিক্টর,	ভিক্টর,	
shomrat,	সমরত,	সম্রাট,	
qrisenta,	ক্রিসেন্ট,	ক্রিসেন্ট,	
karmajog,	কর্মযোগ,	কর্মযোগ,	
uporitoler,	উপরিলোর,	উপরিতলের,	
niuroolaji,	নিউরোলাজি,	নিউরোলজি,	
ovijojan,	অভিযোজন,	অভিযোজন,	
relance,	রেলেন্স,	রিলায়েন্স,	
sachetonvabe,	সচ্ছানভাবে,	সচেতনভাবে,	
protizogiir,	প্রতিযোগীর,	প্রতিযোগীতার,	
ajeempur,	আজিম্পুর,	আজিমপুর,	
chhatogolpe,	ছোটোগল্পে,	ছোটগল্পে,	
cutie,	কুটি,	কিউটি,	
ponera,	পোনেরা,	পনের,	
bonshoke,	বংশকে,	বংশকে,	
graambaseeo,	গ্রাম্বাসীও,	গ্রামবাসীও,	
ralph,	রলফ,	রালফ,	
dreestiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
format,	ফরমত,	ফরম্যাট,	
bastubad,	বস্তুবাদ,	বস্তুবাদ,	
ahollar,	অহলার,	অহল্যার,	
duburir,	দাবুরির,	ডুবুরির,	
kada,	কোড,	কোডা,	
meg,	মেগ,	মেগ,	
embaed,	এম্বাদ,	এম্বেড,	
ghamta,	ঘামটা,	ঘোমটা,	
phutonta,	ফুটন্ট,	ফুটন্ত,	
totokhon,	ততক্ষণ,	ততক্ষন,	
skolastic,	স্কলস্টিক,	স্কলাস্টিক,	
animated,	অনিমেতেদ,	এনিমেটেড,	
durgatir,	দুর্গতির,	দুর্গটির,	
korkotkraanti,	করক্তারণকটি,	কর্কটক্রান্তি,	
folokti,	ফলককি,	ফলকটি,	
jaistha,	জ্যাস্থা,	জ্যৈষ্ঠ,	
niropekkho,	নিরপেক্ষ,	নিরপেক্ষ,	
gej,	গেজ,	গেজ,	
anektayi,	অনেকটিই,	অনেকটাই,	
muhamada,	মুহমমাদা,	মুহাম্মদ,	
pratisthar,	প্রতিষ্ঠার,	প্রতিষ্ঠার,	
talaal,	তালাল,	তালাল,	
engrejiteo,	ইংরেজিতে,	ইংরেজিতেও,	
santoshpore,	সন্তঃসপর,	সন্তোষপুর,	
dooburira,	দববুরারা,	ডুবুরিরা,	
seekkhokke,	শিক্ষককে,	শিক্ষককে,	
yuro,	ইউরো,	ইউরো,	
sangbadmadhyomgulote,	সংব্দধামগুলোতে,	সংবাদমাধ্যমগুলোতে,	
valobasakey,	ভালবাসাকে,	ভালোবাসাকে,	
shikkhakram,	শিক্ষাক্রম,	শিক্ষাক্রম,	
annimated,	এনিমামেট,	এনিমেটেড,	
ottacharer,	অত্টাচারের,	অত্যাচারের,	
kleentoner,	ক্লিন্টনের,	ক্লিনটনের,	
location,	লোকেশন,	লোকেশন,	
bishshasho,	বিশ্বাস,	বিশ্বাসও,	
ieub,	ইউবিউ,	আইইউবি,	
sbajaner,	স্বজনের,	স্বজনের,	
bachai,	বাঁচাই,	বাছাই,	
khanankaj,	খননকাজ,	খননকাজ,	
lokhindorer,	লোখিন্দরের,	লখিন্দরের,	
kande,	কানদে,	কাণ্ডে,	
shekend,	সেকেন্ড,	সেকেণ্ড,	
madal,	মাদল,	মাদল,	
pader,	পদের,	প্যাডের,	
asbab,	আসবাব,	আসবাব,	
bbosonte,	বসন্তে,	বসন্তে,	
gadhaa,	গাধা,	গাধা,	
madaspushto,	মাদস্পুষ্ট,	মদদপুষ্ট,	
otitkaley,	অতিতকালে,	অতীতকালে,	
sachetanbhabe,	সচ্তানভাবে,	সচেতনভাবে,	
floodlighter,	ফ্লোডলাইটার,	ফ্লাডলাইটের,	
mookhomandol,	মুখমন্ডল,	মুখমণ্ডল,	
bhandaar,	ভান্দার,	ভাণ্ডার,	
dera,	দিরা,	ডেরা,	
nationsh,	নাটিয়াস্স,	নেশনস,	
plate,	প্লটে,	প্লেট,	
ballabh,	বলল,	বল্লভ,	
eashter,	ইস্টার,	ইস্টার,	
jotharthovabey,	যথার্থভাবে,	যথার্থভাবে,	
pratimake,	প্রতিমাকে,	প্রতিমাকে,	
prakalpogulor,	প্রকালগুলোর,	প্রকল্পগুলোর,	
bibader,	বিবদের,	বিবাদের,	
rubeta,	রুবেতা,	রাবেতা,	
mit,	মিত,	মিট,	
itastatoh,	ইতস্তত,	ইতস্ততঃ,	
kooshumba,	কুশম্ব,	কুশুম্বা,	
jolatonko,	জলাত্্ক,	জলাতঙ্ক,	
meghkey,	মেঘকে,	মেঘকে,	
chironton,	চিরন্তন,	চিরন্তন,	
khur,	খুর,	ক্ষুর,	
bamona,	বামনা,	বামনা,	
madhoori,	মাধুরি,	মাধুরী,	
joubankale,	যৌবনকালে,	যৌবনকাল,	
chhutochhuti,	ছুটুচুটি,	ছুটোছুটি,	
ostader,	অস্তাদের,	ওস্তাদের,	
jalbe,	জলবে,	জ্বলবে,	
schalastic,	স্কলস্টিক,	স্কলাস্টিক,	
bite,	বিটে,	বাইট,	
ronangane,	রণাঙ্গনে,	রণাঙ্গনে,	
somosto,	সমস্ত,	সমস্ত,	
garmanyteo,	জার্মানিতেও,	জার্মানিতেও,	
okhhunno,	অখুন্ন,	অক্ষুণ্ণ,	
nirarthak,	নিরার্থক,	নিরর্থক,	
khaamba,	খাম্বা,	খাম্বা,	
erina,	এরিন,	এরিনা,	
granthe,	গ্রন্থে,	গ্রন্থে,	
hola,	হলা,	হোল,	
procharonamoolok,	প্রচারণামূলক,	প্রচারণামূলক,	
nodnodeer,	নদনীর,	নদনদীর,	
obhiyojan,	অভিযোজন,	অভিযোজন,	
agomoner,	আগমনের,	আগমনের,	
desiseyer,	ডেসিসের,	ডিজিজের,	
august,	অগাস্ট,	আগষ্ট,	
udbodhane,	উদ্বোধনে,	উদ্বোধনে,	
rezidens,	রেজিডেন্স,	রেসিডেন্স,	
madhyastho,	মধ্যস্থ,	মধ্যস্থ,	
jocqey,	যকে,	জকি,	
lyandeeng,	ল্যান্ডেং,	ল্যান্ডিং,	
byakhyatito,	ব্যাখ্যাতিত,	ব্যাখ্যাতীত,	
leader,	লিডার,	লিডার,	
peterer,	পেতারের,	পিটারের,	
tinbhager,	তিনভাগের,	তিনভাগের,	
shikhar,	শিখর,	শিকার,	
oopohoron,	অপহরণ,	অপহরন,	
ganaparibahan,	গণপরিবহন,	গণপরিবহন,	
sekarone,	সেকারণে,	সেকারণে,	
abosane,	অবসনে,	অবসানে,	
ingrezraa,	ইংরেজরা,	ইংরেজরা,	
oporishodhito,	অপরিষোধিত,	অপরিশোধিত,	
atak,	অতক,	আটক,	
mogert,	মগের্ট,	মোজার্ট,	
ekirokom,	একিরকম,	একইরকম,	
shringa,	শ্রীঙ্গ,	শৃঙ্গ,	
thailyanda,	থাইল্যান্ড,	থাইল্যান্ড,	
dayraa,	দৈরা,	ডেরা,	
uposhthit,	উপস্থিত,	উপস্থিত,	
beeswas,	বিশ্বাস,	বিশ্বাস,	
alexander,	আলেক্সান্ডার,	আলেকজান্ডার,	
brindabone,	বৃণ্ডবানে,	বৃন্দাবনে,	
songosthati,	সংস্থাটি,	সংস্থাটি,	
talgachh,	তালগাছ,	তালগাছ,	
franco,	ফ্রাঙ্ক,	ফ্রাঙ্কো,	
onodhikar,	অনধিকার,	অনধিকার,	
nathibhookteer,	নথিভূক্তির,	নথিভুক্তির,	
hoila,	হইল,	হইল,	
sachetan,	সচেতন,	সচেতন,	
laicenshe,	লাইন্সেস,	লাইসেন্স,	
roja,	রোজা,	রোযা,	
chalochchitraeeo,	চলচ্চিত্রেই,	চলচ্চিত্রেও,	
khoka,	খোকা,	খোকা,	
aqramer,	আক্রমের,	আকরামের,	
probhu,	প্রভূ,	প্রভু,	
bhabanipur,	ভবনিপুর,	ভবানীপুর,	
beeswaske,	বিশ্বাসকে,	বিশ্বাসকে,	
notey,	নটে,	নোটে,	
noiteekota,	নৈতিকতা,	নৈতিকতা,	
shpredashhita,	স্প্রদেশিত,	স্প্রেডশীট,	
probeshon,	প্রবেশন,	প্রবেশন,	
shikkhao,	শিক্ষাও,	শিক্ষাও,	
arashie,	আরসশি,	আরসিএ,	
janomukhi,	জনমুখী,	জনমুখী,	
hydra,	হাইড্রা,	হাইড্রা,	
ddebet,	দ্বেতে,	ডিবেট,	
ramantika,	রামন্টিক,	রোমান্টিক,	
falak,	ফলক,	ফলক,	
stonaheenja,	স্টোনাহিন্য,	স্টোনহেঞ্জ,	
dana,	ডানা,	ডায়না,	
bhalobasake,	ভালবাসাকে,	ভালোবাসাকে,	
konorup,	কনারূপ,	কোনরূপ,	
debodebir,	দেবদেবির,	দেবদেবীর,	
chapol,	চাপল,	চপল,	
