dhonuker,	ধ্নুকের,	ধনুকের,	
dayitwe,	দৈত্যে,	দায়িত্বে,	
veeto,	ভীত,	ভেটো,	
jugma,	যুগ্ম,	যুগ্ম,	
hilada,	হিলাদা,	হিলডা,	
sakshat,	সাক্ষাত,	সাক্ষাৎ,	
ourose,	আউরসে,	ঔরসে,	
pitars,	পিটার্স,	পিটার্স,	
aurasey,	আউরসে,	ঔরসে,	
dum,	ডাম,	ড্যাম,	
lohani,	লোহানি,	লোহানী,	
nadiir,	নাদীর,	নদীর,	
jatharthoi,	যথার্থই,	যথার্থই,	
morich,	মরিি,	মরিচ,	
jadookori,	জাদুকরি,	যাদুকরী,	
danalda,	ডানললড,	ডোনাল্ড,	
awejontar,	অভৈজন্তর,	অজন্তার,	
toroonashthi,	তরুনাস্থী,	তরুণাস্থি,	
chitrorup,	চিত্ররূপ,	চিত্ররূপ,	
abosorbhata,	অবসরভাতা,	অবসরভাতা,	
elakagulote,	এলাকাগুলোতে,	এলাকাগুলোতে,	
subaser,	সুবাসের,	সুবাসের,	
neirajjer,	নেরাজ্যের,	নৈরাজ্যের,	
songasthaguli,	সংস্থাগুলি,	সংস্থাগুলি,	
baankaano,	বাঁকানো,	বাঁকানো,	
post,	পোস্ট,	পোস্ট,	
shhushhan,	শুশান,	সুসান,	
baharampure,	বারামারপুরে,	বহরমপুরে,	
bhaai,	ভাই,	ভাই,	
siddharther,	সিদ্ধার্থের,	সিদ্ধার্থর,	
nirapattaar,	নিরপপ্তর,	নিরাপত্তার,	
parchhe,	পারছে,	পারছে,	
matritwa,	মতৃত্ব,	মাতৃত্ব,	
vumadhyo,	ভূমাধ্য,	ভূমধ্য,	
homeopathik,	হোমিপথাযিক,	হোমিওপ্যাথিক,	
dadakey,	দাদাকে,	দাদাকে,	
sahoosee,	সাহুসী,	সাহসী,	
prokalpasamuha,	প্রকল্পসমূহ,	প্রকল্পসমূহ,	
beelaphasta,	বেলাসস্তা,	বেলফাস্ট,	
dhori,	ধরী,	ধরি,	
amina,	অমিনা,	অ্যামিনো,	
gabhashkarer,	গভাষকারের,	গাভাস্কারের,	
abhijojaner,	অভিযোগনের,	অভিযোজনের,	
chamaskir,	চামস্কির,	চমস্কির,	
meghere,	মেঘারে,	মেঘেরা,	
malaysia,	মেলেসিয়া,	মালয়েশিয়া,	
sohokareeder,	সহাকারীদের,	সহকারীদের,	
manisha,	মনিস,	মণীষা,	
bidrohider,	বিদ্রোহীদের,	বিদ্রোহীদের,	
shelphish,	সেল্সিস,	সেলফিস,	
univarsal,	ইউনিভার্সল,	ইউনিভার্সাল,	
kanoon,	কানুন,	কানুন,	
ayashida,	অ্যাসিড,	অ্যাসিড,	
deeper,	ডিপের,	দ্বীপের,	
collingwood,	কল্নিন্দ,	কলিংউড,	
dizit,	ডিজিট,	ডিজিট,	
bodhey,	বধে,	বোধে,	
konyodin,	কোন্ডিিন,	কোনওদিন,	
jainta,	জয়েন্ট,	জৈন্তা,	
haalnaagad,	হালনাগা,	হালনাগাদ,	
everesht,	এভারেস্ট,	এভারেস্ট,	
borgomool,	বর্গমুল,	বর্গমূল,	
kormokaandoi,	কর্মকান্ডই,	কর্মকাণ্ডই,	
charja,	চার্জ,	চার্জ,	
naaseerer,	নাসিরের,	নাসিরের,	
horen,	হরেন,	হরেন,	
swalpota,	স্বল্পতা,	স্বল্পতা,	
amorotto,	আমরত্য,	অমরত্ব,	
poosta,	পোস্টা,	পোস্ট,	
chhotogolpo,	ছোটোগল্প,	ছোটগল্প,	
uththapaner,	উত্থাপনের,	উত্থাপনের,	
atyachar,	অত্যাচার,	অত্যাচার,	
ishtrozoner,	ইস্ট্রজনের,	ইস্ট্রোজেনের,	
gregry,	গ্রেগ্রি,	গ্রেগরি,	
sabamarin,	সবমরিন,	সাবমেরিন,	
ovijojaner,	অভিযোজনের,	অভিযোজনের,	
makhmoler,	মাখমলের,	মখমলের,	
koilashe,	কৈলাশে,	কৈলাসে,	
enakripashhana,	এনন্রিপশন,	এনক্রিপশন,	
shunyey,	শূন্যে,	শুন্যে,	
sharaho,	শারাহ,	সারাহ,	
mushshulman,	মুসলুমাান,	মুসলমান,	
sorod,	সরদ,	সরোদ,	
chanara,	চানারা,	ছানারা,	
nairajyer,	নৈরাজ্যের,	নৈরাজ্যের,	
ayna,	আইন,	আসুন,	
sidharthor,	সিধার্থর,	সিদ্ধার্থর,	
sharahoke,	শারাহকে,	সারাহকে,	
hoteela,	হতিলা,	হোটেল,	
deneesh,	ডেনিস,	ডেনিশ,	
prathomansho,	প্রথমন্,	প্রথমাংশ,	
chaakar,	চাকার,	চাকার,	
nirbharata,	নির্ভারতা,	নির্ভরতা,	
rajbondider,	রাজবন্দীদের,	রাজবন্দীদের,	
prone,	প্রণে,	প্রোন,	
khokar,	খোকার,	খোকার,	
mushalamana,	মুসলামানা,	মুসলমান,	
jaatgulo,	যাতগুলো,	জাতগুলো,	
yeastrogen,	ইস্ট্রেজেন,	ইস্ট্রোজেন,	
harabar,	হারাবার,	হারাবার,	
shri,	শ্রী,	শ্রী,	
nirash,	নিরস,	নিরস,	
ranotorir,	রানোটরর,	রণতরীর,	
adminishtration,	অডমিনিস্ট্রেশন,	অ্যাডমিনিস্ট্রেশন,	
bettle,	ব্যাটল,	ব্যাটেল,	
harbourer,	হার্বররের,	হারবারের,	
preesidium,	প্রিসিডিয়াম,	প্রেসিডিয়াম,	
lpg,	ল্এিএি,	এলপিজি,	
ranatorir,	রানেটরর,	রণতরীর,	
shithil,	সিঠিল,	শিথিল,	
icelander,	ইইলেল্যান্ডের,	আইসল্যান্ডের,	
amura,	আমুরা,	আমুর,	
shoore,	শূরে,	সুরে,	
bafoofe,	বাফুফ,	বাফুফে,	
hoeeben,	হৈবেন,	হইবেন,	
panchomangsho,	পঞ্চমাংশ,	পঞ্চমাংশ,	
sathikbhabe,	সথিকভাবে,	সঠিকভাবে,	
bhoumiker,	ভৌমিকের,	ভৌমিকের,	
prastutkarokra,	প্রস্তুতকরকরা,	প্রস্তুতকারকরা,	
borniil,	বর্ণিল,	বর্ণীল,	
categori,	কেেেটরি,	ক্যাটাগরি,	
aij,	আইজ,	আইজ,	
stoori,	স্তুরি,	স্টোরি,	
acadeemee,	একাডেমি,	একাডেমিয়া,	
michiley,	মিচ্ছিলে,	মিছিলে,	
uthhechhilo,	উঠেছিল,	উঠেছিলো,	
pratistha,	প্রতিষ্ঠা,	প্রতিষ্ঠা,	
anchalgular,	অঞ্চলগুলোর,	অঞ্চলগুলোর,	
eeveereest,	ইভারেস্ট,	এভারেস্ট,	
nehru,	নেহেরু,	নেহরু,	
mursi,	মার্সি,	মুরসি,	
bilders,	বিল্ডার্স,	বিল্ডার্স,	
zonal,	জোনাল,	জোনাল,	
zonson,	জনসন,	জনসন,	
shelfish,	সেল্সিস,	সেলফিস,	
bosstontopoor,	বস্তত্ত্ুর,	বসন্তপুর,	
nijamul,	নিজামুল,	নিজামুল,	
apraatistthanik,	অপ্রতিষ্ঠানিক,	অপ্রাতিষ্ঠানিক,	
forestry,	ফরেস্ট্রি,	ফরেস্ট্রি,	
kalkatatei,	কলকাতাতেই,	কলকাতাতেই,	
kyareta,	ক্যারেট,	ক্যারেট,	
dinlipir,	দিন্লিপির,	দিনলিপির,	
manosik,	মানসিক,	মানষিক,	
pikaasho,	পিকাশো,	পিকাসো,	
raita,	রাইটা,	রাইট,	
adityanath,	অদিত্যানাথ,	আদিত্যনাথ,	
balcan,	বাল্নন,	বলকান,	
patterner,	প্যাটার্নার,	প্যাটার্নের,	
vasharo,	ভাষারও,	ভাষারও,	
rooral,	রোরাল,	রুরাল,	
leaflet,	লিফলেট,	লিফলেট,	
prakashitabya,	প্রকাশিত্ব,	প্রকাশিতব্য,	
reight,	রাইট,	রাইট,	
soone,	শুনে,	শুন্যে,	
traickbal,	ট্রেক্বাল,	ট্র্যাকবল,	
isooptoop,	ইসোপ্টপ,	আইসোটোপ,	
pastamastara,	পাস্টমস্টর,	পোস্টমাস্টার,	
sachetonamulok,	সচেতনামূলক,	সচেতনামূলক,	
kythod,	কিঠোদ,	ক্যাথোড,	
probeshpothey,	প্রবেষপথে,	প্রবেশপথে,	
pache,	পাঁচে,	পাছে,	
juktorastro,	যুক্তরাস্ট্র,	যুক্তরাষ্ট্রও,	
gonopurto,	গণপূর্ত,	গনপূর্ত,	
jat,	জাত,	জাত,	
ilekashhana,	ইলেকশন,	ইলেকশন,	
denees,	ডেনিস,	ডেনিশ,	
bhojsova,	ভোজসভা,	ভোজসভা,	
kakina,	কাকিনা,	কাকিনা,	
fis,	ফিস,	ফিস,	
chira,	চিরা,	চির,	
hoteel,	হতটল,	হোটেল,	
gaandhii,	গান্ধী,	গান্ধী,	
swiper,	স্বিপার,	সুইপার,	
kolazena,	কোলাজেন,	কোলাজেন,	
chuddar,	চুদ্দর,	চাদর,	
chorit,	চরিত,	চরিত,	
takdoi,	টাকদই,	টকদই,	
ottabashyak,	অত্মাবস্যাক,	অত্যাবশ্যক,	
gandhi,	গন্ধী,	গান্ধী,	
prokolpotite,	প্রকল্পতিতে,	প্রকল্পটিতে,	
recarded,	রেকার্ডেড,	রেকর্ডেড,	
songasthar,	সংগ্যার,	সংস্থার,	
vaikey,	ভাইকে,	ভাইকে,	
election,	ইলেকশন,	ইলেকশন,	
seetti,	সেটটি,	সেটি,	
songosthar,	সংগ্যার,	সংস্থার,	
gronthita,	গ্রন্থিত,	গ্রন্থিত,	
bossontopoor,	বসন্তপুর,	বসন্তপুর,	
donaalder,	ডোনাল্ডের,	ডোনাল্ডের,	
chhatta,	ছাটটা,	ছোট্টো,	
drainage,	ড্রেইনেগ,	ড্রেনেজ,	
osatorkotar,	অসাতরকতার,	অসতর্কতার,	
ederkay,	এদারকে,	এদেরকে,	
nikatei,	নিকাতেই,	নিকটেই,	
spel,	স্পেল,	স্পেল,	
dashbachhor,	দশবোর,	দশবছর,	
maastarpiish,	মাস্ত্র্িীস,	মাস্টারপিস,	
lacq,	ল্যাক,	লক,	
bikreta,	বিক্রেট,	বিক্রেতা,	
dorgaaher,	দরগাহের,	দরগাহের,	
dak,	ডাক,	ডক,	
zana,	জানা,	জানা,	
akhanda,	আখন্দ,	অখণ্ড,	
manabsamajey,	মানবসমাজে,	মানবসমাজে,	
satkaajer,	সৎকাজের,	সৎকাজের,	
alangkoroner,	অলংকরণের,	অলঙ্করণের,	
shikshake,	শিক্ষকে,	শিক্ষাকে,	
jatiner,	জাতিনের,	যতীনের,	
bolkano,	বলকানো,	বলকান,	
administrason,	অম্মিনিস্রাষণ,	অ্যাডমিনিস্ট্রেশন,	
est,	এস্ট,	ইস্ট,	
soore,	সূরে,	সুরে,	
bhajohori,	ভাজররি,	ভজহরি,	
sidhanto,	সিধন্ত,	সিধান্ত,	
halnagad,	হালনাগা,	হালনাগাদ,	
chhaanader,	ছানাদের,	ছানাদের,	
bamaner,	বামানের,	বামনের,	
samnwita,	সম্ন্বিত,	সমন্বিত,	
birodhdhey,	বিরোধ্যে,	বিরোদ্ধে,	
chirantoni,	চিরন্তনী,	চিরন্তনী,	
rahe,	রহে,	রাহে,	
sooreser,	সুরেশের,	সুরেশের,	
bajare,	বাজারে,	বাজারে,	
bishesagya,	বিশেষজ্ঞা,	বিষেশজ্ঞ,	
hizriir,	হিজ্রির,	হিজরীর,	
jatiiner,	জাতিনের,	যতীনের,	
blagaarader,	ব্লাগারদের,	ব্লগারদের,	
jeuske,	জিউসকে,	জিউসকে,	
zab,	যাব,	জব,	
jerujalem,	জেরুজামেম,	জেরুজালেমে,	
obheenetader,	অভিনেতদের,	অভিনেতাদের,	
labonaktota,	লবনাক্ততা,	লবণাক্ততা,	
janosanjoger,	জনসংযোগের,	জনসংযোগের,	
prottokkho,	প্রত্যক্ষ,	প্রত্যক্ষ,	
stesanari,	স্টেশনারি,	স্টেশনারি,	
ektanaa,	একতানা,	একটানা,	
durgoto,	দুর্গত,	দুর্গত,	
hajaribag,	হাজরিবাগ,	হাজারীবাগে,	
monhputo,	মনহপুত,	মনঃপূত,	
grihokotri,	গৃহককত্ত্রী,	গৃহকর্তী,	
downy,	ডানি,	ডাউনি,	
karme,	কর্মে,	কর্মে,	
madyap,	মদ্যপ,	মদ্যপ,	
janmaabe,	জন্মাবে,	জন্মাবে,	
shambhunath,	সম্ভুনাথ,	শম্ভুনাথ,	
skiim,	স্কিম,	স্কিম,	
destrayer,	ডেস্ট্রের,	ডেস্ট্রয়ার,	
pikasho,	পিকাশো,	পিকাসো,	
shooborno,	সুবর্ণ,	সূবর্ণ,	
tahole,	টহলে,	তাহলে,	
sahozlabhbhata,	সহজ্লভ্্যতা,	সহজলভ্যতা,	
ohab,	অহাব,	ওহাব,	
ebhareshta,	এভারেস্ট,	এভারেস্ট,	
bhajahari,	ভাজাহারি,	ভজহরি,	
poorohiter,	পুরোহিতের,	পুরোহিতের,	
shekhe,	শেখে,	শেখে,	
thyang,	থ্যাং,	ঠ্যাং,	
ponchaanon,	পঞ্চানন,	পঞ্চানন,	
grajuyeta,	গ্রযুয়েট,	গ্রাজুয়েট,	
daaukee,	দাউকি,	ডাউকি,	
alexanderer,	আলেকসন্দারের,	আলেকজান্ডারের,	
terorijm,	টেরোিয়,	টেররিজম,	
soonchalo,	সুঁচালো,	সূঁচালো,	
jothestoi,	জথেশ্তই,	যথেষ্টই,	
jointapur,	জৈন্তাপুর,	জৈন্তাপুর,	
requisition,	রেকিশিিশন,	রিকুইজিশন,	
besirbhaager,	বেশিরভাগের,	বেশিরভাগের,	
pangopal,	পঙ্গোপাল,	পঙ্গপাল,	
codeo,	কোডেও,	কোডও,	
panchomukh,	পঞ্চমুখ,	পঞ্চমুখ,	
kaakina,	কাকিনা,	কাকিনা,	
mca,	ম্কা,	এমসিএ,	
dhaal,	ধাল,	ঢাল,	
pothocharider,	পথচারীদের,	পথচারীদের,	
chetanake,	ছেতনাকে,	চেতনাকে,	
bunkerer,	বাঙ্কারের,	বাংকারের,	
beeswasti,	বিশ্বস্তি,	বিশ্বাসটি,	
okshorgulo,	অক্ষরগুলো,	অক্ষরগুলো,	
somotole,	সমতলে,	সমতলে,	
lucknow,	লাক্নো,	লখনউ,	
dhoorechen,	ধরেছেন,	ধরেছেন,	
bohers,	বোহারস,	বোর্হেস,	
hondurase,	হন্দুরাসে,	হন্ডুরাসে,	
marafi,	মারাফি,	মারফি,	
chaabi,	চাবি,	চাবি,	
daoonee,	দাউনি,	ডাউনি,	
blazar,	ব্লাজার,	ব্লেজার,	
shainyaderk,	শৈন্যদের্ক,	সৈন্যদেরকে,	
mehonnaz,	মেহন্নাজ,	মেহনাজ,	
songasthader,	সংগ্ঠাসের,	সংস্থাদের,	
samajikata,	সামাজিকতা,	সামাজিকতা,	
udarer,	উদারের,	উদরের,	
neirajyo,	নেরাজ্য,	নৈরাজ্য,	
paripak,	পরিপক,	পরিপাক,	
mishtota,	মিষ্টটা,	মিষ্টতা,	
loap,	লোপ,	লোপ,	
aqademia,	অকাডেমিয়া,	একাডেমিয়া,	
inadeeksa,	ইনাডেক্স,	ইনডেক্স,	
ayaleena,	অ্যালেন,	অ্যালেন,	
posht,	পোস্ট,	পোস্ট,	
badmintan,	ব্যামনিন্টান,	ব্যাডমিন্টন,	
hallisohor,	হলিসহর,	হালিশহর,	
jilaneer,	জিলানীর,	জিলানীর,	
smarokti,	স্মরক্তি,	স্মারকটি,	
ekotabaddha,	একতাবদ্ধ,	একতাবদ্ধ,	
chhilona,	ছিলননা,	ছিলোনা,	
akeel,	একেল,	আকিল,	
ghatitey,	ঘটিতে,	ঘাঁটিতে,	
shalema,	সালেমা,	সালেম,	
sthaponayi,	স্থাপনাই,	স্থাপনাই,	
nobinbaron,	নবীনবরণ,	নবীনবরণ,	
deennath,	দীন্নাথ,	দীননাথ,	
krach,	ক্রা,	ক্রাচ,	
byahoto,	ব্যাহত,	ব্যহত,	
dastidaar,	দস্তিদার,	দস্তিদার,	
piusa,	পিউস,	পিউস,	
prastutkaraker,	প্রস্তুতকাককের,	প্রস্তুতকারকের,	
aparimito,	অপরিমিত,	অপরিমিত,	
bedana,	বেদনা,	বেদনা,	
harrison,	হ্যারিশন,	হ্যারিসন,	
jaintapure,	জৈন্তাপুরে,	জৈন্তাপুর,	
shhushan,	শুশন,	সুসান,	
tobk,	টব,	ত্বক,	
dhaali,	ধালি,	ঢালী,	
orijinal,	অরিজিনাল,	অরিজিনাল,	
dusbachar,	দুশবার,	দশবছর,	
aroper,	আরোপের,	আরোপের,	
songsthasomuher,	সংস্থাসমূহের,	সংস্থাসমূহের,	
mehonaj,	মেহনাজ,	মেহনাজ,	
vojohori,	ভোোহরি,	ভজহরি,	
paathalagy,	পাঠালাগি,	প্যাথলজি,	
bodhan,	বোধন,	বোধন,	
doi,	দৈ,	দৈ,	
masterpiis,	মাস্টারপিস,	মাস্টারপিস,	
biroddhe,	বিরোধ্ধে,	বিরোদ্ধে,	
ouddhotyo,	অদ্ধত্য,	ঔদ্ধত্য,	
chilona,	চিলনা,	ছিলোনা,	
beekale,	বিকালে,	বিকালে,	
babylonia,	বাবিলোনিয়া,	ব্যাবিলনিয়া,	
monjoor,	মঞ্জুর,	মঞ্জুর,	
sansthader,	সংস্থাদের,	সংস্থাদের,	
saban,	সাবান,	সাবান,	
shudhu,	শুধু,	শুধু,	
panchali,	পাঞ্চালি,	পাঁচালী,	
cikitsharoto,	চিকিৎসারত,	চিকিৎসারত,	
olongkoroner,	অলংকরণের,	অলঙ্করণের,	
dolgulor,	দলগুলোর,	দলগুলোর,	
younj,	ইউঞ্জ,	ইয়ং,	
candyer,	কন্ডির,	ক্যান্ডির,	
gouree,	গৌরী,	গৌরি,	
moshjidgulor,	মস্যিগগুলোর,	মসজিদগুলোর,	
jatradaley,	যাত্রাদলে,	যাত্রাদলে,	
ulaamar,	উলামার,	উলামার,	
kormokandoi,	কর্মকান্ডই,	কর্মকাণ্ডই,	
debashees,	দেবশিস,	দেবাশিস,	
bojhen,	বোঝেন,	বোঝেন,	
nepchoon,	নেপছুন,	নেপচুন,	
prasesara,	প্রসেসার,	প্রসেসর,	
khide,	খ্দিদে,	খিদে,	
byaboharkareera,	ব্যবহারকারীরা,	ব্যবহারকারীরা,	
oitijjou,	ঐতিজ্যু,	ঐতিহ্যও,	
shaannaaler,	শান্নালের,	সান্যালের,	
bagdady,	বাগদদী,	বাগদাদি,	
bornil,	বর্ণিল,	বর্ণীল,	
monjur,	মঞ্জুর,	মঞ্জুর,	
sakkho,	সাক্ষ,	সাক্ষ্য,	
yooni,	যুনি,	যোনী,	
paiq,	পাইক,	পাইক,	
obhinito,	অভিনিত,	অভিনীত,	
neyan,	নেয়ন,	নিয়ন,	
sasta,	সাস্ট,	সস্তা,	
nimnarupa,	নিম্নরূপ,	নিম্নরূপ,	
asseet,	আসেয়েট,	অ্যাসেট,	
thhumree,	ঠুমির,	ঠুমরী,	
chicqen,	চিক্ছেন,	চিকেন,	
chadar,	চাদার,	চাদর,	
ogronthito,	অগ্রন্থিত,	অগ্রন্থিত,	
gothic,	গঠিক,	গথিক,	
vatar,	ভাটার,	ভাঁটার,	
vasing,	ভাসিং,	ওয়াশিং,	
ranatari,	রানাটারি,	রণতরী,	
such,	সাচ,	সূঁচ,	
shpokena,	স্পোকেন,	স্পোকেন,	
nahole,	নাহলে,	নাহলে,	
sangasthan,	সংগ্থান,	সংস্থান,	
aikantik,	ঐকান্তিক,	ঐকান্তিক,	
besheerbhaag,	বেশীরভাগ,	বেশিরভাগ,	
beacon,	বেকন,	বিকন,	
eastrojen,	আস্ট্রোজেন,	ইস্ট্রোজেন,	
elaakaata,	এলাকাটা,	এলাকাটা,	
khujchilo,	খুঁছিল,	খুঁজছিল,	
noodleser,	নোডলিসের,	নুডলসের,	
homiopyethika,	হোমিওপ্যাথিক,	হোমিওপ্যাথিক,	
qarmaa,	কর্মা,	কর্মা,	
harborer,	হরবরের,	হারবারের,	
anupunkho,	অনুপুখ্খ,	অনুপুঙ্খ,	
sweper,	স্বেপার,	সুইপার,	
hauk,	হাক,	হউক,	
dokaandaarra,	ডোকানদারাা,	দোকানদাররা,	
shikkhaksaho,	শিক্ষাসকহ,	শিক্ষকসহ,	
kanabheenashana,	কননেভশন,	কনভেনশন,	
piipshii,	পিপসি,	পেপসি,	
visheshagyo,	বিশেষজ্ঞ,	বিষেশজ্ঞ,	
manumeenta,	মনোমেন্ট,	মনুমেন্ট,	
nokhor,	নখর,	নখর,	
vai,	ভাই,	ভাই,	
arjentina,	অর্জেন্টিন,	আর্জেন্টিনা,	
lekh,	লেখ,	লেখ,	
washhing,	ওো়িং,	ওয়াশিং,	
konoyodin,	কোনোদিন,	কোনওদিন,	
cira,	চিরা,	চিরা,	
mohashunye,	মহাসুন্যে,	মহাশূন্যে,	
sqeem,	স্কিম,	স্কিম,	
norener,	নরেনের,	নরেনের,	
dweeptir,	দ্বীপটির,	দ্বীপটির,	
panchamangsha,	পঞ্চামংশ,	পঞ্চমাংশ,	
cheeldren,	চেল্ড্রেন,	চিলড্রেন,	
vetican,	ভেটিকান,	ভ্যাটিকান,	
ajijke,	আজিজকে,	আজিজকে,	
bharer,	ভারের,	ভরের,	
holer,	হলের,	হোলের,	
mozlishe,	মজলিসে,	মজলিশে,	
saudagarer,	সৌদগরের,	সওদাগরের,	
shhoshiety,	শোষিযিি,	সোসাইটি,	
harin,	হরিন,	হরিণ,	
parjotakder,	পর্যটকদের,	পর্যটকদের,	
meyilke,	মেলিকে,	মেইলকে,	
bankerer,	ব্যাংকারের,	বাংকারের,	
manushderke,	মনুষ্দেরকে,	মানুষদেরকে,	
paii,	পাই,	পাই,	
dauki,	দৌকি,	ডাউকি,	
qaferra,	কফেরার,	কাফেররা,	
soomishto,	সুমিষ্ট,	সুমিষ্ট,	
bhruner,	ভ্রুণের,	ভ্রুনের,	
udvijja,	উদ্ভিজ্যা,	উদ্ভিজ্জ,	
babylania,	বাবিলোনিয়া,	ব্যাবিলনিয়া,	
acetic,	একেটিক,	অ্যাসিটিক,	
oncholyi,	অঞ্চলি,	অঞ্চলই,	
mitr,	মিটার,	এমআইটির,	
shaarthoke,	স্বার্থকে,	স্বার্থকে,	
strilok,	স্ত্রিক,	স্ত্রীলোক,	
shootout,	শোটাউট,	শ্যুটআউট,	
shleshmar,	স্লেসমার,	শ্লেষ্মার,	
sahinsatake,	সহিনসাকাকে,	সহিংসতাকে,	
bolten,	বলতেন,	বলতেন,	
hajaribager,	হাররিবাগের,	হাজারীবাগে,	
chaturdash,	চতুরদাস,	চতুর্দশ,	
gronthoke,	গ্রন্থকে,	গ্রন্থকে,	
braujare,	ব্রয়ার,	ব্রাউজারে,	
phaaibar,	ফাইবার,	ফাইবার,	
ginite,	জিনিতে,	গিনিতে,	
chadorey,	ছদদেরে,	চাদরে,	
holdingsh,	হললিডস,	হোল্ডিংস,	
subscriptian,	সাবস্ক্পিশন,	সাবস্ক্রিপশন,	
shangsthar,	সংস্থর,	সংস্থার,	
eduin,	এডিউন,	এডুইন,	
lupta,	লুপ্ত,	লুপ্ত,	
nirapattaa,	নিরপপ্তা,	নিরাপত্তা,	
teentiyi,	তেনটিই,	তিনটিই,	
batikromo,	ব্যাতিক্রম,	ব্যতিক্রমও,	
jugmabhabe,	যুগ্মভাবে,	যুগ্মভাবে,	
chalachchitroti,	চলচ্চিত্রটি,	চলচ্চিত্রটি,	
horidwarer,	হরিদ্বরের,	হরিদ্বারের,	
jaunota,	যৌনতা,	যৌনতা,	
auddhatto,	অদ্ধত্ব,	ঔদ্ধত্য,	
pongopal,	পঙ্গোাল,	পঙ্গপাল,	
paarijat,	পারিজাত,	পারিজাত,	
bedanar,	বেদনার,	বেদনার,	
pepasi,	পেপসস,	পেপসি,	
moshjidei,	মস্জীদেই,	মসজিদেই,	
resin,	রেসিং,	রেসিন,	
prakritibid,	প্রকৃতিবিদ,	প্রকৃতিবিদ,	
fiberer,	ফাইবারের,	ফাইবারের,	
prokashitabya,	প্রকাশিত্ব,	প্রকাশিতব্য,	
bards,	বার্ডস,	বার্ডস,	
loone,	লুন,	লোন,	
rasid,	রাশিদ,	রসিদ,	
bongobondhr,	বঙ্গনন্ধ্ব,	বঙ্গবন্ধুর,	
dokaanpaat,	দোকানপাত,	দোকানপাট,	
ghotle,	ঘটতলে,	ঘটলে,	
dienete,	ডাইনটে,	ডিএনএতে,	
jounotakey,	যৌনতাকে,	যৌনতাকে,	
halishohore,	হালিসহরে,	হালিশহরে,	
shahabider,	সাহাবীদের,	সাহাবিদের,	
rajtontrer,	রাজতন্ত্রের,	রাজতন্ত্রের,	
maunjur,	মঞ্জুর,	মঞ্জুর,	
cpii,	স্পিই,	সিপিআই,	
mastarpiis,	মস্তার্িীস,	মাস্টারপিস,	
batutar,	বাতুতার,	বতুতার,	
barancha,	বারাঞ্চা,	বরঞ্চ,	
shoodhai,	শোধাই,	শুধাই,	
safed,	সাফেদ,	সফেদ,	
shflinter,	স্লাইন্টার,	স্প্লিন্টার,	
baufol,	বৌফল,	বাউফল,	
malayeeshiya,	মোলেয়েশিয়া,	মালয়েশিয়া,	
shansthan,	সংস্থান,	সংস্থান,	
omor,	ওমর,	অমর,	
kuthar,	কুঠার,	কুঠার,	
shansha,	সান্স,	সান্স,	
gronthoguly,	গ্রন্থগুলি,	গ্রন্থগুলি,	
proshikkhono,	প্রশিক্ষণ,	প্রশিক্ষণও,	
bishoi,	বিষই,	বিষয়,	
bohorompur,	বহরমমুর,	বহরমপুর,	
bhobossot,	ভবিষ্যত,	ভবিষ্যৎ,	
ranjeet,	রাজজে,	রণজিৎ,	
bisringkholar,	বিশৃঙ্খলার,	বিশৃঙ্খলার,	
jeebjontur,	জীবনন্তুর,	জীবজন্তুর,	
suresher,	সুরেশের,	সুরেশের,	
abash,	আবাস,	অবশ,	
palangshaak,	পালংসক,	পালংশাক,	
splinter,	স্প্লিন্টার,	স্প্লিন্টার,	
gomoty,	গমতি,	গোমতি,	
anoitik,	অনৈতিক,	অনৈতিক,	
norobolir,	নরবোলির,	নরবলির,	
shecond,	সেকন্ড,	সেকেন্ড,	
pitaar,	পিতার,	পিটার,	
raaga,	রাগা,	রাগ,	
pastee,	পাস্টি,	পেস্ট,	
durei,	দূরেই,	দুরেই,	
aaislyander,	আইল্যল্যাণ্ডের,	আইসল্যান্ডের,	
kurdi,	কুর্দি,	কুর্দি,	
otro,	অত্র,	অত্র,	
goshthite,	গোষ্ঠিতে,	গোষ্ঠীতে,	
beshirbhaag,	বেশীরভাগ,	বেশিরভাগ,	
preparetory,	প্রেপারেটরি,	প্রিপারেটরি,	
akademia,	একাডেমিয়া,	একাডেমিয়া,	
gant,	গানট,	জায়ান্ট,	
mukharjir,	মুখার্জির,	মুখার্জীর,	
mukhobandhey,	মুখোন্ধে,	মুখবন্ধে,	
hotthaat,	হঠাট,	হঠাৎ,	
ajju,	আজু,	আজ্জু,	
sakshatkar,	সাক্ষাৎকার,	সাক্ষাত্কার,	
kotiro,	কতির,	কোটিরও,	
mental,	মেন্টাল,	মেন্টাল,	
nepols,	নেপল্স,	নেপলস,	
jodu,	জোদু,	যদু,	
dwipeo,	দ্বীপেও,	দ্বীপেও,	
primary,	প্রামমির,	প্রাইমার,	
aksho,	এক্স,	একশো,	
deqa,	ডেক,	দেকা,	
dokangulo,	দোকাঙগুলো,	দোকানগুলো,	
bheeto,	ভীত,	ভেটো,	
gitikabi,	গীতিকাবি,	গীতিকবি,	
doohate,	দুহাতে,	দুহাতে,	
ghateer,	ঘটির,	ঘাঁটির,	
prastutkarakder,	প্রস্তুতকরকদের,	প্রস্তুতকারকদের,	
manosikota,	মানসিকতা,	মানসিকতা,	
shyandel,	স্যান্ডেল,	স্যান্ডেল,	
