plato,	প্লট,	প্লেটো,	
soundarjyo,	সৌন্দর্য্য,	সৌর্ন্দয্য,	
marjito,	মর্জিত,	মার্জিত,	
shoreef,	শরীফ,	শরিফ,	
prothati,	প্রথাটি,	প্রথাটি,	
bbiswashke,	বিশ্বাসকে,	বিশ্বাসকে,	
atyacharito,	অত্যাচিরিত,	অত্যাচারিত,	
teereesa,	টেরেস,	টেরেসা,	
shangsthatir,	সংস্থাটির,	সংস্থাটির,	
laicense,	লেসেন্স,	লাইসেন্স,	
tyuner,	টিউনের,	টিউনার,	
kyathalika,	ক্যাথলিক,	ক্যাথলিক,	
soptahokal,	সপ্তহাকাল,	সপ্তাহকাল,	
thailandsoho,	থাইলান্ডস,	থাইল্যান্ডসহ,	
kaptai,	কপ্টাই,	কাপ্তাই,	
sawam,	স্যাম,	সাওম,	
sahocorje,	সহকর্ষে,	সাহচর্যে,	
mitro,	মিত্রো,	মিত্রও,	
lidars,	লিডার্স,	লিডার্স,	
azimpur,	আজিমপুর,	আজিমপুর,	
shcholastic,	স্কলাস্টিক,	স্কলাস্টিক,	
tobe,	তবে,	টবে,	
samajikatar,	সমাজিকতার,	সামাজিকতার,	
duplee,	ডাপলি,	ডুপ্লে,	
porishkaran,	পরিষ্কাণ,	পরিষ্করণ,	
jolatonko,	জলাতক,	জলাতঙ্ক,	
amarjita,	অমর্জিত,	অমার্জিত,	
esasiyetasa,	এসিস্যাটিস,	এসোসিয়েটস,	
dreeshtiheen,	দৃষ্ঠিন,	দৃষ্টিহীন,	
naajee,	নাজী,	নাত্সি,	
chalesi,	চালেসি,	চলেছি,	
sohopatheekey,	সহপাঠীকে,	সহপাঠীকে,	
hizri,	হিজরি,	হিজরী,	
tottobar,	তত্ত্বার,	তওবার,	
akhhunno,	আখ্যুন্ন,	অক্ষুণ্ণ,	
parther,	পার্থের,	পার্থের,	
eporzonto,	এপর্জন্ত,	এপর্যন্ত,	
akai,	একেই,	একাই,	
laala,	লালা,	লালা,	
graambasir,	গ্রামবাসীর,	গ্রামবাসীর,	
thar,	ঠার,	থর,	
aabahan,	আবাহন,	আবাহন,	
samaveshti,	সমভেষ্টি,	সমাবেশটি,	
yeaster,	ইয়েস্টার,	ইস্টের,	
prostutkarak,	প্রস্তুতককার,	প্রস্তুতকারক,	
charban,	চারবান,	চর্বন,	
bibadey,	বিবাদে,	বিবাদে,	
ispreedshit,	স্প্রেডেসিট,	স্প্রেডশীট,	
byatikromi,	ব্যাতিক্রমী,	ব্যতিক্রমী,	
poriskoron,	পরিষ্করণ,	পরিষ্করণ,	
pray,	প্রে,	প্রায়,	
eqsapreshana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
paschater,	পাশ্চাতের,	পশ্চাতের,	
saazanor,	সাজানোর,	সাজানোর,	
jibanta,	জীবন্ত,	জীবন্ত,	
bujhechhila,	বুঝেছিল,	বুঝেছিল,	
nesnos,	নেনসন,	নেশনস,	
trete,	ট্রেট,	ট্রেতে,	
qingdom,	কিং্ডম,	কিংডম,	
narafoka,	নারফফকা,	নরফোক,	
gandagol,	গণ্ডগোল,	গন্ডগোল,	
banduk,	বন্ডুক,	বন্দুক,	
shakkhatkarer,	সাক্ষাৎকারের,	সাক্ষাৎকারের,	
dologulo,	দলগুলো,	দলগুলো,	
suiti,	সুইটি,	সুইটি,	
bondhuvabaponyo,	বন্ধভাবপূন্য,	বন্ধুভাবাপন্ন,	
jeshthaa,	জেষ্ঠ্,	জ্যেষ্ঠা,	
prakalpotike,	প্রকলপপতিকে,	প্রকল্পটিকে,	
bondira,	বন্দিরা,	বন্দীরা,	
aasif,	আশিফ,	আসিফ,	
chhotogolper,	ছোটোগলপের,	ছোটগল্পের,	
uparjaner,	উপরজননের,	উপার্জনের,	
gardeena,	গার্ডিন,	গার্ডেন,	
dristiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
elakaasoho,	এলাকাসহ,	এলাকাসহ,	
bibek,	বিবেক,	বিবেক,	
jomanor,	জমানোর,	জমানোর,	
ekatto,	একত্য,	একাত্ব,	
deputi,	ডেপিউটি,	ডেপুটি,	
bamni,	বামনি,	বামনী,	
shamijir,	স্বামীজীর,	স্বামীজীর,	
carpeter,	কারপেটের,	কার্পেটের,	
hyaloin,	হ্যালিন,	হ্যালোইন,	
stain,	স্টেন,	স্টেন,	
abheedhaaneec,	অভিধানিক,	অভিধানিক,	
elaakasoho,	এলাকাসহ,	এলাকাসহ,	
musolmanderkey,	মুসলমানদেরকে,	মুসলমানদেরকে,	
bosontokke,	বসন্তকে,	বসন্তকে,	
bondhuderkey,	বন্ধুদেরকে,	বন্ধুদেরকে,	
karmasampadon,	কর্মসম্পদন,	কর্মসম্পাদন,	
jeesa,	জেস,	জেস,	
provura,	প্রভূর,	প্রভুরা,	
santa,	সাঁতা,	সান্তা,	
soourse,	সার্স,	সোর্স,	
asif,	আশিফ,	আসিফ,	
elaakate,	এলাকাতে,	এলাকাতে,	
sikkhakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
soundarjya,	সৌন্দর্য্য,	সৌর্ন্দয্য,	
wagadada,	উগাদাদা,	বাগদাদ,	
shrabastee,	শ্রবস্তি,	শ্রাবস্তী,	
ketechilo,	কেটেছিল,	কেটেছিল,	
byabaharkareer,	ব্যবহারকারীর,	ব্যবহারকারীর,	
samajikotar,	সমাজিকতার,	সামাজিকতার,	
kyathlikder,	ক্যাল্িকদের,	ক্যাথলিকদের,	
majlishpur,	মালিশ্যুপ,	মজলিশপুর,	
mookhomaundoley,	মুখম্মন্ডলে,	মুখমণ্ডলে,	
ispredsiit,	স্প্রেফেটি,	স্প্রেডশীট,	
elaakaati,	এলাকাতি,	এলাকাটি,	
chargito,	চারগিত,	চার্জিত,	
akpashe,	অকপাশে,	একপাশে,	
phixing,	ফিক্সিং,	ফিক্সিং,	
natunatva,	নতুনত্ব,	নতুনত্ব,	
shahab,	সাহাব,	সাহাব,	
sachetonbhabe,	স্বেচ্নভাবে,	সচেতনভাবে,	
itostato,	ইতোস্টেট,	ইতস্তত,	
haridware,	হরিদ্বরে,	হরিদ্বারে,	
longghoner,	লঙ্ঘনের,	লংঘনের,	
lokeson,	লোকেশন,	লোকেশন,	
nama,	নাম,	নমো,	
alaul,	আলুল,	আলাওল,	
marmaaraa,	মার্মারা,	মারমারা,	
ekghorey,	একঘরে,	একঘরে,	
niro,	নিরো,	নির,	
fol,	ফল,	ফল,	
kartam,	কর্তম,	করতাম,	
hoomes,	হোমেস,	হোমস,	
karima,	করিমা,	করিম,	
eporjonta,	এপর্জনটা,	এপর্যন্ত,	
jeerusaleema,	জেরুসাইম,	জেরুসালেম,	
sotorkobhabe,	সত্রকভাবে,	সতর্কভাবে,	
teunar,	টিউনার,	টিউনার,	
krantee,	ক্রেন্টি,	ক্রান্তি,	
venush,	ভেনাস,	ভেনাস,	
franko,	ফ্রাঙ্ক,	ফ্রাঙ্কো,	
shikkhagato,	শিক্ষাগত,	শিক্ষাগত,	
paira,	পায়ার,	পাইরা,	
hingsar,	হিংসার,	হিংসার,	
phartha,	ফার্থ,	ফার্থ,	
samle,	সামলে,	সামলে,	
choudhooreeo,	চৌধুরেও,	চৌধুরীও,	
rejidens,	রেজিডেন্স,	রেসিডেন্স,	
olngkoron,	অলংকরণ,	অলঙ্করণ,	
durgotir,	দুর্গতির,	দুর্গটির,	
dhhalur,	ঢালুর,	ঢালুর,	
atyacarito,	অত্যাচারিত,	অত্যাচারিত,	
timoothy,	তিমূঠি,	টিমোথি,	
drishyogulote,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
hossain,	হোসেন,	হোসেইন,	
sharifer,	শরীফের,	শরিফের,	
darjiling,	ডার্জিলিং,	দার্জিলিং,	
granthao,	গ্রন্থাও,	গ্রন্থও,	
abdun,	আব্দুন,	আবদুন,	
gootano,	গুটানো,	গুটানো,	
gonoporeebohon,	গণপরিবন,	গণপরিবহন,	
samany,	সমানি,	সামান্য,	
hugh,	হুঁ,	হিউজ,	
bollov,	বলল,	বল্লভ,	
baarak,	বারাক,	বারাক,	
pingna,	পিঙ্গ,	পিংনা,	
dooburira,	ডুবুরিরা,	ডুবুরিরা,	
parisankhanvid,	পরিসংখান্বীদ,	পরিসংখ্যানবিদ,	
sollalaho,	সল্লাল্লাহ,	সল্লাল্লাহু,	
jothon,	যথন,	যথন,	
transafarma,	ট্রান্সফোর্ম,	ট্রান্সফর্ম,	
maldava,	মালদাবা,	মলদোভা,	
jommu,	জম্মু,	জম্মু,	
shiniyara,	সিনিয়ার,	সিনিয়র,	
definision,	ডেফিনিশন,	ডেফিনেশন,	
mucus,	মিউকাস,	মিউকাস,	
lesense,	লেসেন্স,	লাইসেন্স,	
ekirokom,	একইরকম,	একইরকম,	
kompekt,	কম্পেক্ট,	কমপ্যাক্ট,	
bhabnar,	ভাবনার,	ভাবনার,	
sita,	সিটা,	সিট,	
kyamone,	ক্যামনে,	কেমনে,	
mondopey,	মন্ডপে,	মন্ডপে,	
conseervation,	কনসার্বেশন,	কনসারভেশন,	
johnsh,	জনস,	জন্স,	
bahaati,	বাহাতি,	বাহাতি,	
umedpur,	উমেদপুর,	উমেদপুর,	
pure,	পুরে,	পিওর,	
heerani,	হেরনি,	হিরানি,	
natneekey,	নাটনীকে,	নাতনীকে,	
karecho,	করেছ,	করেছো,	
nadimatrik,	নাদিমাত্রিক,	নদীমাতৃক,	
edmeeral,	এডিমেরাল,	এডমিরাল,	
ponjeekar,	পঞ্জিকার,	পঞ্জিকার,	
joruri,	জরুরি,	জরূরী,	
nabhela,	নেভেল,	নভেল,	
protijogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
obhidhanik,	অভিধানিক,	অভিধানিক,	
otyacharer,	অত্যাচারের,	অত্যাচারের,	
tomader,	তমাদের,	তোমাদের,	
shaartho,	স্বর্থ,	স্বার্থ,	
tuneta,	টুনেটা,	টুনাইট,	
dighal,	দ্ঘিল,	দীঘল,	
oodoore,	অদুরে,	অদুরে,	
shaaroker,	সারকের,	স্মারকের,	
horidbar,	হরিদ্বার,	হরিদ্বার,	
akreetokarjo,	আকৃতরক্ষ,	অকৃতকার্য,	
akram,	আকরাম,	আকরাম,	
sakar,	সাকার,	সাকার,	
breq,	ব্র্যাক,	ব্রেক,	
masto,	মস্ত,	মাস্ত,	
karaa,	কারা,	কারো,	
algorithm,	অ্যালগরিদম,	এলগরিদম,	
ghamtaa,	ঘমতা,	ঘোমটা,	
dephinision,	ডেফিনিশন,	ডেফিনেশন,	
nirupito,	নিরূপিত,	নিরূপিত,	
norton,	নর্তন,	নর্টন,	
dhojobhongo,	ধাভোঙ্গ,	ধ্বজভঙ্গ,	
projanankaal,	প্রজননাকাল,	প্রজননকাল,	
karlasa,	কার্লস,	কার্লোস,	
diniphition,	ডিনিফিশন,	ডেফিনেশন,	
kalengga,	কােেঞ্জ,	কালেঙ্গা,	
park,	পার্ক,	পার্ক,	
bandhano,	বন্ধন,	বাঁধানো,	
prochondota,	প্রচন্দতা,	প্রচণ্ডতা,	
udvabon,	উদ্ভবন,	উদ্ভাবন,	
annarup,	অন্যরূপ,	অন্যরূপ,	
bang,	বং,	ব্যাং,	
elakate,	এলাকাতে,	এলাকাতে,	
potthon,	পঠ্যন,	পঠন,	
rights,	রাইফস,	রাইটস,	
jaatte,	যাত্যে,	জাতটি,	
judhahato,	যুদ্ধত,	যুদ্ধাহত,	
gasthigulo,	গোষ্ঠীগুলো,	গোষ্ঠীগুলো,	
ajeempoor,	আজিমপুর,	আজিমপুর,	
salsa,	সালস,	সালসা,	
roobi,	রুবি,	রুবি,	
khaamba,	খাম্ব,	খাম্বা,	
bagdady,	বাগ্দাদী,	বাগদাদী,	
somaptir,	সমাপ্তির,	সমাপ্তির,	
fatakeshto,	ফটাকেষ্ট,	ফাটাকেষ্ট,	
mousumeo,	মৌসমেও,	মৌসুমেও,	
eexpreession,	এক্সপ্রেশন,	এক্সপ্রেশন,	
nirvahi,	নির্বাহী,	নির্বাহি,	
deezni,	দিজনী,	ডিজনী,	
rata,	রাট,	রত,	
bafal,	বাফল,	বিফল,	
tukrowti,	তুক্রুত্তি,	টুকরোটি,	
swatantrata,	স্বতত্র্ন্ত,	স্বতন্ত্রতা,	
ghesei,	ঘেসেই,	ঘেঁষেই,	
horidare,	হরিদারে,	হরিদ্বারে,	
manshe,	মানসে,	মানুষে,	
gaddafi,	গাদ্ডাফী,	গাদ্দাফী,	
bolechi,	বলেছি,	বলেছি,	
byaboharkarikey,	ব্যবহারকারীকে,	ব্যবহারকারীকে,	
jyaqa,	জ্যাক,	জ্যাক,	
muhu,	মুহ,	মুহু,	
nodnodeer,	নদ্নদীর,	নদনদীর,	
pab,	পব,	পাব,	
madhobike,	মাধবীকে,	মাধবীকে,	
bosano,	বসানো,	বসানো,	
karmojog,	কর্মজজ,	কর্মযোগ,	
thaakeni,	থাকেনি,	থাকেনি,	
bishnoo,	বিষ্ণ,	বিষ্ণু,	
texaser,	টেক্সসের,	টেক্সাসের,	
orthonitikey,	অর্থনিতেকে,	অর্থনীতিকে,	
bhaabaaponno,	ভাবাপন্ন,	ভাবাপন্ন,	
jamanor,	জামানোর,	জমানোর,	
chomski,	চমশ্কি,	চমস্কি,	
ikbaler,	ইকবাের,	ইকবালের,	
indraa,	ইন্দ্রা,	ইন্দ্র,	
khele,	খেলে,	খেলে,	
muradkey,	মুরাদকে,	মুরাদকে,	
sangkoolan,	সংকুলন,	সংকুলান,	
as,	আস,	অস,	
ovigomon,	অভিমগন,	অভিগমন,	
stoona,	স্টন,	স্টোন,	
godabori,	গদাবরী,	গোদাবরী,	
jalbe,	জলবে,	জ্বলবে,	
golakrity,	গোলাকৃতি,	গোলাকৃতি,	
byatikromdhormi,	ব্যাতির্ধমর্মী,	ব্যতিক্রমধর্মী,	
oncholtite,	অঞ্চলতিতে,	অঞ্চলটিতে,	
khappor,	খাপপপর,	খপ্পর,	
shulke,	শুলকে,	শুল্কে,	
statione,	স্টেশনে,	ষ্টেশনে,	
jaatti,	যাত্যি,	জাতটি,	
puding,	পুডিং,	পুডিং,	
oitijjo,	ঐতিজ্য,	ঐতিহ্য,	
dala,	ডালা,	দলা,	
vince,	ভিঞ্স,	ভিন্স,	
toler,	তোলের,	তালের,	
ghoorchen,	ঘুরছেন,	ঘুরেছেন,	
mataram,	মটারাম,	মাতারাম,	
loukikota,	লৌকিকতা,	লৌকিকতা,	
ramantika,	রামান্তিক,	রোমান্টিক,	
inashtyanta,	ইনস্ট্যান্ট,	ইনস্ট্যান্ট,	
protishta,	প্রতিষ্ট,	প্রতিষ্টা,	
categoryer,	ক্যাতের্র,	ক্যাটাগরির,	
amudey,	আমুদে,	আমুদে,	
dakteekite,	ডাক্তিকেটি,	ডাকটিকিটে,	
monmotho,	মন্মথ,	মন্মথ,	
veemsen,	ভেমসেন,	ভীমসেন,	
heepatitis,	হেপটিটিস,	হেপাটাইটিস,	
shatjoner,	সৎযনের,	সাতজনের,	
thake,	থাকে,	থাকে,	
retasa,	রেটস,	রাইটস,	
nazad,	নজদ,	নজদ,	
ghaghot,	ঘঘঘট,	ঘাঘট,	
bisshasyi,	বিশ্বাসী,	বিশ্বাসই,	
koode,	কোডে,	কোড,	
fanser,	ফাঁসের,	ফাঁসের,	
gabeshona,	গবেষণা,	গবেষনা,	
krita,	ক্রীট,	ক্রীট,	
keuyi,	কেই,	কেউই,	
monzhoshtho,	মঞ্ঝস্থ,	মঞ্চস্থ,	
turky,	টার্কি,	তুর্কি,	
kachhakachhi,	কাছকাচ্ছি,	কাছাকাছি,	
bhenna,	ভেননা,	ভেন্না,	
ovidhanik,	অভিধানিক,	অভিধানিক,	
gabeshana,	গবেষণা,	গবেষনা,	
oboshorer,	অবসরের,	অবসরের,	
transfarm,	ট্রান্সফর্ম,	ট্রান্সফর্ম,	
prosadhoner,	প্রসাধনের,	প্রসাধনের,	
kormi,	কর্মী,	কর্মই,	
advoot,	আ্যাডভোট,	অদ্ভুত,	
hisaber,	হিসাবের,	হিসাবের,	
chittronatyokar,	চিত্রনাট্যকার,	চিত্রনাট্যকার,	
thelyanda,	টেল্যান্ড,	থাইল্যান্ড,	
ashiatic,	অ্যাসিটিক,	এশিয়াটিক,	
ashocheton,	অস্যেচন,	অসচেতন,	
eutey,	ইউটে,	ইইউতে,	
ssahocorze,	স্যচকর্ষে,	সাহচর্যে,	
toubaar,	তাউবার,	তওবার,	
mastarsa,	মাস্টার্স,	মাস্টার্স,	
bike,	বিকে,	বাইক,	
pretty,	প্রেটি,	প্রিটি,	
catholicder,	ক্যাকটিকের,	ক্যাথলিকদের,	
kanooner,	কানুনের,	কানুনের,	
volt,	ভোল্ট,	ভল্ট,	
turisht,	ট্রিস্ট,	টুরিস্ট,	
shoili,	শৈলি,	শৈলী,	
bifal,	বিফল,	বিফল,	
sobchey,	সবছে,	সবচে,	
porisromii,	পরিশ্রামী,	পরিশ্রমী,	
alaol,	আলুল,	আলাওল,	
soomi,	সুমি,	সুমি,	
superheiroo,	সুপেরেহুর,	সুপারহিরো,	
guzob,	গুজব,	গুজব,	
gabeshonagar,	গবেষণাগার,	গবেষনাগার,	
gonohotyar,	গণহত্যার,	গণহত্যার,	
meghkey,	মেঘকে,	মেঘকে,	
shtonahenja,	স্টনেহেঞ্জ,	স্টোনহেঞ্জ,	
sainyara,	সৈন্যরা,	সৈন্যরা,	
ghatir,	ঘাতির,	ঘাটির,	
swapad,	স্বপদ,	শ্বাপদ,	
abhidhaaneek,	অভিধানিক,	অভিধানিক,	
puroheetke,	পুরহহিতে,	পুরোহিতকে,	
kunntee,	কান্টি,	কুন্তী,	
puddin,	পুদ্দিন,	পুডিং,	
dharavassokar,	ধারাভাষ্যকর,	ধারাভাষ্যকার,	
bhor,	ভোর,	ভর,	
siddhantoi,	সিদ্ধান্তই,	সিদ্ধান্তই,	
overveu,	ওভারভেউ,	ওভারভিউ,	
transapharma,	ট্রান্সফোর্ম,	ট্রান্সফর্ম,	
dolu,	ডলও,	ডলু,	
jaank,	জাঁক,	জাঁক,	
cheerokumari,	চিরাকুমারী,	চিরকুমারী,	
robot,	রোবট,	রোবোট,	
adbhanced,	অ্ভাডভেন্সে,	অ্যাডভান্সড,	
antarvuktimulok,	অন্তর্ভুক্তমূলক,	অন্তর্ভুক্তিমূলক,	
murader,	মুরাদের,	মুরাদের,	
folokti,	ফলোকটি,	ফলকটি,	
vool,	ভূল,	উল,	
antarvukto,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
phutbolarra,	ফুটবলরারা,	ফুটবলাররা,	
monzhostho,	মঞ্ঝস্থ,	মঞ্চস্থ,	
nopdnodir,	নন্দ্নদির,	নদনদীর,	
chalachchitreo,	চলচিচ্রেতে,	চলচ্চিত্রেও,	
sucre,	সাকর,	সাকার,	
hijritey,	হিজরিতে,	হিজরীতে,	
kanai,	কানাই,	কানাই,	
durgo,	দুর্গ,	দুর্গ,	
orghyo,	অর্ঘ্য,	অর্ঘ্য,	
onker,	অংকের,	ওঙ্কার,	
buffar,	বাফফার,	বাফার,	
jubokder,	যুবকদের,	যুবকদের,	
baaiq,	বাইক,	বাইক,	
byanger,	ব্যাঙ্গের,	ব্যাঙের,	
jerusalem,	জেরুসাইম,	জেরুসালেম,	
meghnadbadh,	মেগন্ববাদ,	মেঘনাদবধ,	
hoondayi,	হোন্ডে,	হুন্দাই,	
qoda,	কোড,	কোডা,	
graambashee,	গ্রামবাসী,	গ্রামবাসী,	
shapholler,	সফফলের,	সাফল্যের,	
tookroti,	তুক্রটি,	টুকরোটি,	
ester,	এস্টের,	ইস্টার,	
dibet,	দিবেত,	ডিবেট,	
seekkhagoto,	শিক্ষাগত,	শিক্ষাগত,	
abheegomon,	অভিধমন,	অভিগমন,	
elahabade,	এলাহাবাদে,	এলাহাবাদে,	
bohudeen,	বহুদিন,	বহুদিন,	
arop,	আরোপ,	আরোপ,	
muktoome,	মুক্তমে,	মাকতুম,	
bahubar,	বাহুবার,	বহুবার,	
aparagata,	অপরাগত,	অপারগতা,	
jivjontu,	জীবজন্তু,	জীবজন্তু,	
plena,	প্লেন,	প্লেন,	
peshto,	পেষ্ট,	পেষ্ট,	
soranor,	শরানোর,	সরানোর,	
sektara,	সেক্টর,	সেক্টর,	
jonite,	জনিতে,	যোনীতে,	
kar,	কার,	কর,	
tafsherer,	তাফসেরের,	তাফসীরের,	
beam,	বিম,	বীম,	
nodnadeer,	নদন্দীর,	নদনদীর,	
jonogononar,	জনগণনার,	জনগণনার,	
fiks,	ফিক্স,	ফিক্স,	
edii,	এডি,	আইডিই,	
homasa,	হোমাস,	হোমস,	
karoo,	কারু,	কারো,	
labonaaktotaar,	লবনাক্ততার,	লবণাক্ততার,	
sanghorsheek,	সাংসর্ষিক,	সাংঘর্ষিক,	
volte,	ভোলতে,	ভল্ট,	
shayatana,	সায়টন,	শয়তান,	
protjogiita,	প্রত্যজিত,	প্রতিযোগীতা,	
cathalic,	ট্যাচলিক,	ক্যাথলিক,	
pragresa,	প্রাগ্রেস,	প্রগ্রেস,	
thare,	থারে,	থরে,	
vagni,	ভাগ্নী,	ভগ্নী,	
embaed,	এম্বাইড,	এম্বেড,	
grambaasir,	গ্রামবাসীর,	গ্রামবাসীর,	
shektor,	সেক্টর,	সেক্টর,	
ivil,	এভিল,	ইভিল,	
saahocorrze,	সাহাচর্ষ্যে,	সাহচর্যে,	
boikollyo,	বৈকল্য,	বৈকল্য,	
shkalashtika,	স্কলাস্টিক,	স্কলাস্টিক,	
expressian,	এক্সপ্রেশন,	এক্সপ্রেশন,	
sulfate,	সালফাটে,	সালফেট,	
dule,	ডালে,	ডালে,	
transformaarer,	ট্রান্সফোর্মের,	ট্রান্সফরমারের,	
nirbaha,	নির্বাহ,	নির্বাহ,	
expose,	এক্সপোজ,	এক্সপোজ,	
moshzidti,	মস্ীদিতটি,	মসজিদটি,	
mosjidsoho,	মস্ীিদসহ,	মসজিদসহ,	
jaubanbati,	যৌবন্বতী,	যৌবনবতী,	
syfy,	সাইফি,	সাইফাই,	
adorso,	আদর্শ,	আর্দশ,	
hole,	হোল,	হোল,	
koordira,	কুর্দিরা,	কুর্দিরা,	
mousumti,	মৌসুমটি,	মৌসুমটি,	
iqbaler,	ইকবালের,	ইকবালের,	
jeebjontu,	জীবন্তু,	জীবজন্তু,	
pudinn,	পুডিন,	পুডিং,	
danobder,	ডানবদের,	দানবদের,	
sikkhokke,	শিক্ষককে,	শিক্ষককে,	
hariner,	হরিনের,	হরিণের,	
darji,	দর্জি,	দরজি,	
ongkita,	অংকিত,	অঙ্কিতা,	
saaralya,	সারাল্য,	সারল্য,	
muhmmoder,	মুহ্মদের,	মুহম্মদের,	
mandonder,	মণ্ডনদের,	মানদণ্ডের,	
shangsthaner,	সংস্থানের,	সংস্থানের,	
breakthrough,	ব্রেক্ষরঘ,	ব্রেকথ্রু,	
ishan,	ইশন,	ঈশান,	
kaansaater,	কাঁসাতের,	কানসাটের,	
uporitaler,	উপরিতলের,	উপরিতলের,	
hepatetisa,	হ্যাপটেটিস,	হেপাটাইটিস,	
hughes,	হুঘেস,	হিউজেস,	
athar,	আঠার,	আতহার,	
thechar,	ঠেচার,	থ্যাচার,	
ajimpoor,	আজিমপুর,	আজিমপুর,	
blacq,	ব্লক,	ব্ল্যাক,	
nevatey,	নেভাতে,	নেভাতে,	
mitrader,	মিত্রদের,	মিত্রদের,	
dharabahiktite,	ধারাবাহিক্তিতে,	ধারাবাহিকটিতে,	
bhagno,	ভাগ্ন,	ভগ্ন,	
ekpaase,	একপাশে,	একপাশে,	
pravritir,	প্রারৃতির,	প্রভৃতির,	
amarica,	অ্যামেরিকা,	আমেরিকা,	
korimpur,	করিমপুর,	করিমপুর,	
shhikar,	স্বীকার,	শিকার,	
phakay,	ফেকে,	ফাকে,	
aro,	আরো,	আরও,	
modelti,	মডেলটি,	মডেলটি,	
sommoteer,	সম্মতির,	সম্মতির,	
dhikrita,	ঢিকৃত,	ধিকৃত,	
progress,	প্রোগ্রেস,	প্রগ্রেস,	
parkin,	পার্কিন,	পার্কিং,	
harisher,	হরিষের,	হ্যারিসের,	
parjotaker,	পর্যটকের,	পর্যটকের,	
evereste,	ইভারেস্টে,	এভারেস্টে,	
vugol,	ভুগল,	ভূগোল,	
preti,	প্রেতি,	প্রিটি,	
zyaka,	জ্যাক,	জ্যাক,	
phooloo,	ফুলও,	পোলো,	
bbonyopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
jorury,	জরুরি,	জরূরী,	
tyunar,	টিউনার,	টিউনার,	
shit,	শিট,	শীত,	
udvabaker,	উদ্ভাবকের,	উদ্ভাবকের,	
aastikota,	অস্তিকতা,	আস্তিকতা,	
ansareer,	অনসারীর,	আনসারীর,	
konrup,	কন্রূপ,	কোনরূপ,	
snipar,	স্নীপার,	স্নাইপার,	
peeth,	পিঠ,	পীঠ,	
granthaty,	গ্রন্থাটি,	গ্রন্থটি,	
hyarikena,	হ্যারিকেন,	হ্যারিকেন,	
jokkher,	যক্ষ্মের,	যক্ষের,	
gotibege,	গতিবেগে,	গতিবেগে,	
hijriite,	হিজরীতে,	হিজরীতে,	
seekkharthirao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
hotelti,	হটেলটি,	হোটেলটি,	
mitroyo,	মিত্রও,	মিত্রও,	
kaalki,	কালকি,	কালকি,	
honduras,	হন্দুরাস,	হন্ডুরাস,	
saccer,	সকের,	সকার,	
antorbhukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
townshhip,	টনশিপ,	টাউনশিপ,	
abarta,	আবর্ত,	আবর্ত,	
pratishta,	প্রতিষ্ট,	প্রতিষ্টা,	
sardar,	সর্দার,	সরদার,	
sayatana,	সায়টন,	শয়তান,	
makhmaley,	মাখমালে,	মখমলে,	
granthotike,	গ্রন্থটিকে,	গ্রন্থটিকে,	
krusher,	ক্রাশের,	ক্রুশের,	
station,	স্টেশন,	ষ্টেশন,	
tookrote,	তুক্রতে,	টুকরোতে,	
bhyatikaaner,	ভ্যাতিকানের,	ভ্যাটিকানের,	
nirgaman,	নির্জমমান,	নির্গমন,	
lutheran,	লুথেরান,	লুথেরান,	
choopi,	চুপি,	চুপি,	
israeler,	ইসরাইলের,	ইসরাঈলের,	
societyke,	সোভিটিকে,	সোসাইটিকে,	
sosa,	সসা,	শশা,	
maarmader,	মার্মদের,	মারমাদের,	
braqe,	ব্রেক,	ব্রেক,	
bima,	বিমা,	বিম,	
bibad,	বিবাদ,	বিবাদ,	
granthei,	গ্রন্থেই,	গ্রন্থেই,	
aatmobishwasi,	আত্মবিশ্বাসী,	আত্মবিশ্বাসী,	
monhputo,	মন্পুত,	মনঃপুত,	
oshthad,	অষ্ঠাদ,	ওস্তাদ,	
clintoner,	ক্লিন্টনের,	ক্লিনটনের,	
ostheesandhi,	অস্থিসন্ধী,	অস্থিসন্ধি,	
taroni,	তারণী,	তরণী,	
ala,	আল,	আলা,	
nathibhookta,	নথিভূক্ত,	নথিভুক্ত,	
uparzoner,	উপার্জনের,	উপার্জনের,	
plaiin,	প্লেন,	প্লেন,	
agibon,	আগীবন,	আজীবন,	
crecenter,	ক্রিসেন্টের,	ক্রিসেন্টের,	
prokalpeo,	প্রকল্পেও,	প্রকল্পেও,	
bhageroi,	ভাগেরই,	ভাগেরই,	
bohoodin,	বহুদিন,	বহুদিন,	
bidghootey,	বিঘ্যুতে,	বিদঘুটে,	
meghe,	মেঘে,	মেঘে,	
jansa,	জন্স,	জন্স,	
alkatra,	আলক্রা,	আলকাতরা,	
dakten,	ডাকতেন,	ডাকতেন,	
atarkitey,	আতর্কিতে,	অতর্কিতে,	
somraatraa,	সম্রাত্রা,	সম্রাটরা,	
