taurat,	ট্যারাট,	তওরাত,	
bonovumite,	বনভূমিতে,	বনভূমিতে,	
jyaishtha,	জ্যাস্থ্য,	জ্যৈষ্ঠ,	
potchitrer,	পথিচিত্রের,	পটচিত্রের,	
seekkhokbrindo,	শিক্ষাকৃন্দ,	শিক্ষকবৃন্দ,	
ramjaner,	রমজানের,	রমযানের,	
purbancoler,	পূর্বাঙ্চলের,	পূর্বাঞ্চলের,	
marodeha,	মারদেহ,	মরদেহ,	
mehonnotee,	মেহন্নটি,	মেহনতি,	
naran,	নরন,	নরেন,	
natsi,	নাৎসি,	নাত্সি,	
mawdel,	মণ্ডেল,	মডেল,	
gobeshokgan,	গবেষকাগণ,	গবেষকগণ,	
chalachchitrogulor,	চলচ্চিত্রগুলোর,	চলচ্চিত্রগুলোর,	
bheenama,	ভীনামা,	ভেনম,	
poorohitra,	পুরোহিত্রা,	পুরোহিতরা,	
thor,	দোর,	থর,	
shartho,	সার্থ,	স্বার্থ,	
tiner,	টিনের,	তিনের,	
baabul,	বাবুল,	বাবুল,	
laishensha,	লাইসেন্স,	লাইসেন্স,	
songbadmadhyame,	সংবাদমাধ্যমে,	সংবাদমাধ্যমে,	
licensing,	লাইসন্সিং,	লাইসেন্সিং,	
morodeho,	মরদদেহ,	মরদেহ,	
fala,	ফলল,	পোলো,	
sikhechi,	শিখেছি,	শিখেছি,	
pharanyeta,	ফারন্যেট,	ফরম্যাট,	
byabaharkareer,	ব্যবহারকারির,	ব্যবহারকারীর,	
naajii,	নাজি,	নাত্সি,	
rakibul,	রাকিবুল,	রকিবুল,	
sothik,	সঠিক,	সঠিক,	
romnar,	রোমানার,	রমনার,	
shhkolashtic,	স্কোল্সাক্টিক,	স্কলাস্টিক,	
nathibhukteer,	নথিভূক্তির,	নথিভুক্তির,	
simmons,	সীম্নস,	সিমন্স,	
spencer,	স্পান্সের,	স্পেন্সার,	
hoondayi,	হুন্ডাই,	হুন্দাই,	
mosharrof,	মোশাররফ,	মশাররফ,	
eksapresana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
patigonit,	পাতিগণিত,	পাটিগণিত,	
satarkakaree,	সরতারকারী,	সতর্ককারী,	
sonaktokaran,	সনাক্তকরণ,	সনাক্তকরণ,	
manushsoho,	মানুসহ,	মানুষসহ,	
tusho,	টুষ,	তুসো,	
dorji,	দর্জি,	দরজি,	
hotelteete,	হটেটলটটে,	হোটেলটিতে,	
dharavahiktite,	ধারাভাকিতিকে,	ধারাবাহিকটিতে,	
icebarg,	ইকইবার্গ,	আইসবার্গ,	
asociatis,	অসোসাইটিস,	এসোসিয়েটস,	
teereesa,	টেরেস,	টেরেসা,	
byabaharkareei,	ব্যবহারকারী,	ব্যবহারকারীই,	
ovarviu,	ওভার্ভিউ,	ওভারভিউ,	
promosioney,	প্রমোশনে,	প্রোমোশনে,	
masjid,	মাসজিদ,	মসজিদ,	
chidropothe,	চিদ্রপথে,	ছিদ্রপথে,	
assastikar,	অস্বস্তিকর,	অস্বস্তিকর,	
mausumei,	মৌসুমেই,	মৌসুমেই,	
bohoodeen,	বহুদিন,	বহুদিন,	
mahasava,	মহাসাবা,	মহাসভা,	
shrabastee,	শ্রবস্তী,	শ্রাবস্তী,	
samanwitavabe,	সমান্িভাতভাবে,	সমন্বিতভাবে,	
shten,	স্টেন,	স্টেন,	
bagdadii,	বাগদাদী,	বাগদাদী,	
poper,	পপার,	পোপের,	
bu,	বু,	বু,	
mukkho,	মূক্ষ,	মুখ্য,	
anektai,	অনেকট্যই,	অনেকটাই,	
abatar,	অবতার,	অবতার,	
oocchoseeto,	উচ্চসিত,	উচ্ছসিত,	
pratisthanik,	প্রতিষ্ঠানিক,	প্রাতিষ্ঠানিক,	
aameenaar,	আমিনার,	আমিনার,	
nederland,	নেডারল্যান্ড,	নেদারল্যান্ড,	
tauki,	তৌকি,	তকি,	
utsahomulak,	উত্তাসমূলক,	উৎসাহমূলক,	
janmato,	জন্মত,	জন্মাত,	
liceencee,	লিসেন্স,	লাইসেন্স,	
manushder,	মানুষদেরও,	মানুষদের,	
chalachchitrer,	চলচিত্রের,	চলচ্চিত্রের,	
upobaaser,	উপবাসের,	উপবাসের,	
kale,	কালে,	কালে,	
nirabota,	নীরবতা,	নিরবতা,	
timothy,	তিমথি,	টিমোথি,	
lajik,	লাজিক,	লজিক,	
longghoner,	লঙ্ঘনের,	লংঘনের,	
mailer,	মেলের,	মেইলের,	
footbalarder,	ফুটবালারদের,	ফুটবলারদের,	
oitijhye,	ঐতিহ্যে,	ঐতিহ্যে,	
nochiketa,	নকিকিতা,	নচিকেতা,	
amudey,	আমুদে,	আমুদে,	
noitikbhabey,	নৈতিকভাবে,	নৈতিকভাবে,	
kreedita,	ক্রিদিত,	ক্রেডিট,	
uposthitir,	উপস্থিতির,	উপস্থিতির,	
saseza,	সোজজ,	সসেজ,	
teter,	তেযাটের,	টেটের,	
pushti,	পুষ্টি,	পুষ্টি,	
gronthotyke,	গ্রন্থিতিকে,	গ্রন্থটিকে,	
oncoltike,	অঞ্চলিটিকে,	অঞ্চলটিকে,	
sheat,	সেট,	সিট,	
rizur,	রিজুর,	রিজুর,	
lajikar,	লজিকার,	লজিকের,	
cholocchitrer,	চলচিত্রের,	চলচ্চিত্রের,	
uchchotara,	উচ্চতর,	উচ্চতর,	
baipash,	বাইপাশ,	বাইপাস,	
abhidhaneek,	আভিধানিক,	অভিধানিক,	
tenish,	টেনিস,	টেনিস,	
gasthike,	গাস্থিকে,	গোষ্ঠীকে,	
uindoos,	উইন্ডোস,	উইন্ডোস,	
bifol,	বীফল,	বিফল,	
venishh,	ভেনিস,	ভেনিস,	
thaii,	ঠাইই,	থাই,	
shrabosty,	স্রবর্তি,	শ্রাবস্তী,	
temoni,	তেমনি,	তেমনই,	
iranayer,	ইরানের,	ইরানের,	
uchchatara,	উচ্চতর,	উচ্চতর,	
oojbekistaner,	উজবেবিস্তানের,	উজবেকিস্তানের,	
highcomissione,	হাইকমিশনে,	হাইকমিশনে,	
pachhi,	পাঁছি,	পাচ্ছি,	
shhepha,	সেফ,	শেফ,	
gaj,	গজ,	গেজ,	
machsoho,	মাছসহ,	মাছসহ,	
ahong,	অহং,	অহং,	
mayili,	মাইলি,	মাইলি,	
sikara,	সিকার,	শিকার,	
rokshonbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
apocheshta,	অপচেষ্টা,	অপচেষ্টা,	
muhammod,	মুহাম্মদ,	মুহম্মদ,	
sangbadmadhyome,	সংবাদমধ্যমে,	সংবাদমাধ্যমে,	
sikkhakbrinda,	শিক্ষাকৃবন্দ্,	শিক্ষকবৃন্দ,	
abosane,	অবসানে,	অবসানে,	
byabasthar,	ব্যবস্থার,	ব্যবস্থার,	
varma,	ওয়ার্মা,	ভার্মা,	
vobani,	ভবানি,	ভবানী,	
bhittie,	ভিট্টি,	ভিত্তিই,	
mastarsa,	মাস্ট্রস,	মাস্টার্স,	
kraantikaale,	ক্রান্টিকালে,	ক্রান্তিকালে,	
lesensa,	লেসেন্স,	লাইসেন্স,	
nirdesika,	নির্দেশিকা,	নির্দেশিকা,	
cade,	কেড,	কোড,	
janaar,	জানর,	জানার,	
tyunar,	টিউনার,	টিউনার,	
pushtee,	পুষ্টি,	পুষ্টি,	
bharadwaja,	ভারদদ্জাজ,	ভরদ্বাজ,	
azizur,	আজিজুর,	আজিজুর,	
kanooner,	কানুনের,	কানুনের,	
jhalkathi,	ঝালকাঠি,	ঝালকাঠী,	
conservation,	কনসারভেশন,	কনসারভেশন,	
rakshanbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
nirapekkhotaar,	নিরাপ্েকেশার,	নিরপেক্ষতার,	
monzushree,	মন্জুষ্রী,	মঞ্জুশ্রী,	
qeyboard,	কিবোর্ড,	কীবোর্ড,	
totokhhon,	ততক্ষণ,	ততক্ষন,	
alaol,	অলাল,	আলাওল,	
graambashi,	গ্রাম্বাসী,	গ্রামবাসী,	
tennish,	টেনিস,	টেনিস,	
eute,	ইউট,	ইইউতে,	
augustin,	আগউস্টিং,	অগাস্টিন,	
engineers,	ইনগিনার্স,	ইঞ্জিনিয়ার্স,	
eekbalke,	একবালকে,	ইকবালকে,	
bahaal,	বাহাল,	বহাল,	
sobrakomer,	শব্রকমের,	সবরকমের,	
gosthii,	গোষ্ঠী,	গোষ্ঠীই,	
jinsa,	জিন্স,	জিন্স,	
kaley,	কালে,	কালে,	
ovishongshon,	অভিসংসন,	অভিশংসন,	
samsher,	শমসের,	সমশের,	
goojober,	গুজবের,	গুজবের,	
alexandarkey,	আলেকান্ডার্কে,	আলেকজান্ডারকে,	
proshtutkarok,	প্রস্তুতকারক,	প্রস্তুতকারক,	
artillary,	আর্টিলারি,	আর্টিলারি,	
venkotesh,	ভ্যাককেট,	ভেঙ্কটেশ,	
chitronattakar,	চিত্রনত্বকর,	চিত্রনাট্যকার,	
bhangey,	ভাঙে,	ভাঙ্গে,	
graambaasio,	গ্রাম্বাসিও,	গ্রামবাসীও,	
transformerer,	ট্রান্সমর্রের,	ট্রান্সফরমারের,	
vault,	ভোল্ট,	ভল্ট,	
trenda,	ট্রেন্ডা,	ট্রেন্ড,	
nirmankaj,	নির্মাণকাজ,	নির্মাণকাজ,	
zeebonnogor,	জীবনগনগর,	জীবননগর,	
nirbaahe,	নির্বাহে,	নির্বাহে,	
promotioney,	প্রমোশনে,	প্রোমোশনে,	
pitthe,	পিঠে,	পীঠে,	
arthonitite,	অর্থনীতিতে,	অর্থনীতিতে,	
manahputa,	মানবপ্ত,	মনঃপুত,	
samajer,	সমাজের,	সমাজের,	
hugheke,	হুঘকে,	হিউজকে,	
sukhma,	সূক্ষ,	সুক্ষ্ম,	
kadam,	কাদম,	কদম,	
mukhamandaler,	মুখমন্ডলের,	মুখমণ্ডলের,	
nanir,	নানীর,	নানীর,	
leta,	লেট,	ল্যাটা,	
esoosiyetasa,	এস্ওয়েটেস,	এসোসিয়েটস,	
phutonto,	ফুটন্ট,	ফুটন্ত,	
noditir,	নদীতীর,	নদীটির,	
dhwajbhanga,	ধোবাঙ্গ্যা,	ধ্বজভঙ্গ,	
dajjha,	দজজা,	দাহ্য,	
udbodhani,	উদ্বোধানি,	উদ্বোধনী,	
panchasjon,	পঞ্চাশনজ,	পঞ্চাশজন,	
muhammadi,	মুহাম্মদী,	মুহাম্মদী,	
somudrotote,	সমুদ্রতে,	সমুদ্রতটে,	
addhattik,	আধ্যাত্বিক,	আধ্যাত্মিক,	
nirikha,	নিরিখ,	নিরিখ,	
uponeeshod,	উপনীষদ,	উপনিষদ,	
heejee,	হেজে,	হেজ,	
muhamada,	মুহমমাদা,	মুহাম্মদ,	
marry,	মেরি,	ম্যারি,	
kartam,	কর্তম,	করতাম,	
dimbakriti,	ডিম্বাকৃতি,	ডিম্বাকৃতি,	
dharabahikeo,	ধারাবিহিকেও,	ধারাবাহিকেও,	
manur,	মানুর,	মনুর,	
carloos,	কার্লোস,	কার্লোস,	
karecho,	করেছ,	করেছ,	
masazida,	মাসজিদ,	মসজিদ,	
ekhaate,	এখাতে,	একহাতে,	
ashammatite,	আসমামিতে,	অসম্মতি,	
khalidkay,	খলিদকে,	খালিদকে,	
onchalti,	অঞ্চলটি,	অঞ্চলটি,	
ikbalke,	ইকবালকে,	ইকবালকে,	
nagarikkey,	নাগরিককে,	নাগরিককে,	
durvagyo,	দুর্ভাগ্য,	দূর্ভাগ্য,	
shikhbey,	শিখ্বে,	শিখবে,	
debagg,	দেবাগ,	ডিবাগ,	
staylish,	স্টাইলিস,	স্টাইলিশ,	
jeeni,	জিনি,	যিনি,	
shalook,	শালুক,	শালুক,	
raagkey,	রাগকে,	রাগকে,	
ancieent,	অ্যান্টেন্ট,	এনসিয়েন্ট,	
bharpur,	ভারপুর,	ভরপুর,	
bibadey,	বিবাদে,	বিবাদে,	
bhenuser,	ভেনাসের,	ভেনাসের,	
olimpik,	অলিম্পিক,	অলিম্পিক,	
gez,	গেজ,	গেজ,	
disni,	ডিজনি,	ডিজনী,	
boudha,	বৌধ,	বৌদ্ধ,	
superheror,	সুপারেররার,	সুপারহিরোর,	
janmaat,	জন্মা,	জন্মাত,	
jadrel,	জদ্রেল,	জাঁদরেল,	
jillool,	জিল্লুল,	জিল্লুল,	
uddhritir,	উদ্ধৃতির,	উদ্ধৃতির,	
dharati,	ধারটি,	ধারাটি,	
parishrami,	পরিস্রামী,	পরিশ্রমী,	
hamburgey,	হামববর্গে,	হামবুর্গে,	
remacry,	রেমেক্রি,	রেমাক্রী,	
shitey,	শীটে,	শীতে,	
odhito,	অধিত,	অধীত,	
gitikobita,	গীতিকাবিতা,	গীতিকবিতা,	
nothivookteer,	নথিভূক্তির,	নথিভুক্তির,	
kaner,	কানের,	কনের,	
bhittiteo,	ভিত্তিতেও,	ভিত্তিতেও,	
chhon,	ছোন,	ছোঁ,	
scholastic,	স্কলাস্টিক,	স্কলাস্টিক,	
projononkal,	প্রজননকাল,	প্রজননকাল,	
arjara,	অর্জার,	আর্যরা,	
break,	ব্র্যাক,	ব্রেক,	
firti,	ফার্টি,	ফিরতি,	
booth,	বুথ,	বুথ,	
zoubonkal,	যৌবনকাল,	যৌবনকাল,	
formet,	ফরমেট,	ফরম্যাট,	
pakhirai,	পাখিরাই,	পাখিরাই,	
shahanara,	শাহানারা,	শাহানারা,	
meterey,	মেটারে,	মিটারে,	
hajjarer,	হাজরারের,	হাজারের,	
kolkarkhana,	কলাকর্খানা,	কলকারখানা,	
dharavahiker,	ধারাবিহিকের,	ধারাবাহিকের,	
khagen,	খাগেন,	খগেন,	
lompot,	লম্পট,	লম্পট,	
claud,	ক্লদ,	ক্লাউড,	
aqramer,	একরামের,	আকরামের,	
uponeesoder,	উপনীষদের,	উপনিষদের,	
tafsirer,	তাফসসারের,	তাফসীরের,	
amorendro,	আমরেন্দ্র,	অমরেন্দ্র,	
sabche,	সবচে,	সবচে,	
chyata,	চ্যাট,	চ্যাট,	
mukhamandal,	মুখমন্ডল,	মুখমণ্ডল,	
dankaan,	ডাঁকান,	ডানকান,	
bedey,	বেডে,	বেদে,	
ballabh,	বল্লভ,	বল্লভ,	
teemothee,	তেমথি,	টিমোথি,	
up,	উপ,	আপ,	
korimpoor,	করিমপুর,	করিমপুর,	
jerujalemer,	জেরুজামের,	জেরুজালেমের,	
meiler,	মেইলের,	মেইলের,	
lyandeeng,	ল্যানডিং,	ল্যান্ডিং,	
suparahiroo,	সুপারাহির,	সুপারহিরো,	
sikkhartheerao,	শিক্ষার্থীরেও,	শিক্ষার্থীরাও,	
pracharanamulak,	প্রচারণামূলক,	প্রচারণামূলক,	
daap,	দাপ,	ড্যাপ,	
ghosito,	ঘষিত,	ঘোষিত,	
asavyo,	অস্ব,	অসভ্য,	
okritakarjo,	অকৃতকরা,	অকৃতকার্য,	
cyphy,	সিফি,	সাইফাই,	
aanis,	আনিশ,	আনিস,	
shooknaa,	শুকনা,	শুকনা,	
chhaanake,	চানাকে,	ছানাকে,	
jeebonjaapon,	জীবন্জাপন,	জীবনযাপন,	
maudeley,	মৌডেলে,	মডেলে,	
praman,	প্রমাণ,	প্রমান,	
pacbar,	প্যাকবার,	পাঁচবার,	
isosiyitasa,	এস্যাজিত,	এসোসিয়েটস,	
uchhoshito,	উচ্চসিত,	উচ্ছসিত,	
provuder,	প্রভূদের,	প্রভুদের,	
garora,	গাররা,	গারোরা,	
gobeshakgon,	গবেষকগণ,	গবেষকগণ,	
jyaqasana,	জ্যাকশন,	জ্যাকসন,	
selim,	সিলিম,	সেলিম,	
forma,	ফরমা,	ফর্মা,	
eparjonta,	এপার্ন্য,	এপর্যন্ত,	
sekarane,	শেকারণে,	সেকারণে,	
nama,	নম,	নমো,	
prosadhani,	প্রসাধানি,	প্রসাধনী,	
dover,	ডাভর,	ডোভার,	
radhanogor,	রাধানোগর,	রাধানগর,	
siropar,	শিরপরার,	শিরোপার,	
depp,	ডেপ,	ডেপ,	
jhalkathy,	ঝালকাঠি,	ঝালকাঠী,	
abhinetar,	অভিনেতার,	অভিনেতার,	
serverty,	সার্ভার্টি,	সার্ভারটি,	
bishshaasho,	বিশ্বাসও,	বিশ্বাসও,	
ghatir,	ঘাটির,	ঘাটির,	
joruri,	জরুরী,	জরূরী,	
nodnadir,	নদন্দীর,	নদনদীর,	
ancholti,	আঞ্চলটি,	অঞ্চলটি,	
oshtader,	অষ্টাদের,	ওস্তাদের,	
meshenjar,	মেসেনজার,	মেসেঞ্জার,	
jeebnagar,	জীবনগার,	জীবননগর,	
engrezder,	ইংরেজের,	ইংরেজদের,	
romonar,	রমনার,	রমনার,	
bosontokey,	বসন্তকে,	বসন্তকে,	
musalmanera,	মুসলাম্ারে,	মুসলমানেরা,	
kormyi,	কর্মই,	কর্মই,	
lobbytey,	লব্বিতে,	লবিতে,	
version,	ভার্সন,	ভারশন,	
ashor,	অসোর,	আসর,	
homesh,	হোমেস,	হোমস,	
shiqha,	শিখা,	শিখ,	
dei,	দেই,	দিই,	
quota,	কোট,	কোটা,	
phutanto,	ফুটান্ট,	ফুটন্ত,	
majdur,	মজদদুর,	মজদুর,	
grameroi,	গ্রামেরো,	গ্রামেরই,	
tikta,	টিকটা,	তিক্ত,	
homasha,	হোমা,	হোমস,	
dajjho,	দজজ,	দাহ্য,	
onektai,	অনেকটাই,	অনেকটাই,	
soochonakal,	সূচনাকাল,	সূচনাকাল,	
badna,	বদ্ন,	বদনা,	
gatibege,	গতিবেগে,	গতিবেগে,	
vobanir,	ভবানির,	ভবানীর,	
madaspushto,	মাদসপুষ্ট,	মদদপুষ্ট,	
toroonke,	তরুণকে,	তরুণকে,	
iceberg,	ইইকবার্গ,	আইসবার্গ,	
bisnu,	বিষ্ণু,	বিষ্ণু,	
choudhurio,	চৌধুরিও,	চৌধুরীও,	
postake,	পোস্টকে,	পোস্টকে,	
nadnodeer,	নদন্দীর,	নদনদীর,	
kaando,	কান্ড,	কাণ্ড,	
protijogira,	প্রতিযোগিরা,	প্রতিযোগীরা,	
orthonitike,	অর্থনীতিকে,	অর্থনীতিকে,	
macher,	ম্যেচার,	মাছের,	
anadhikar,	অনাধিকার,	অনধিকার,	
chalochchitrogulor,	চলচ্চিত্রগুলোর,	চলচ্চিত্রগুলোর,	
easter,	ইস্টার,	ইস্টের,	
agomoner,	আগমনের,	আগমনের,	
firoja,	ফিরোজা,	ফিরোজা,	
alpai,	আলপাই,	অল্পই,	
esasiyetasa,	এসসাইয়েটস,	এসোসিয়েটস,	
sangharshik,	সাংরর্ষিক,	সাংঘর্ষিক,	
bosstonte,	বস্তন্তে,	বসন্তে,	
monhputo,	মংমপুত,	মনঃপুত,	
anchalsamuher,	অঞ্চলসমূহের,	অঞ্চলসমূহের,	
haphej,	হাফেজ,	হাফেয,	
khaaneker,	খানেকের,	খানেকের,	
modeel,	মোডেল,	মডেল,	
tottoraat,	তত্তরাট,	তওরাত,	
torangunj,	তরানগঞ্জ,	তোরাবগঞ্জ,	
superheira,	সুপারেরা,	সুপারহিরো,	
texaser,	টেকাসের,	টেক্সাসের,	
jemser,	জেমসের,	জেমসের,	
chalche,	চলছে,	চলছে,	
bahyo,	বহ্য,	বাহ্য,	
nitikatha,	নীতিকাঠা,	নীতিকথা,	
gandogol,	গণ্ডোগল,	গন্ডগোল,	
kada,	কাদ,	কোডা,	
laala,	লালা,	লালা,	
janosanjog,	জনসংযোগ,	জনসংযোগ,	
sajanor,	সাজানোর,	সাজানোর,	
afzal,	আফজাল,	আফজল,	
dail,	ডেল,	ডেইল,	
saaeda,	সাইড,	সাইদা,	
holuder,	হলুদের,	হলুদের,	
chintaikari,	চিনতাইকারী,	ছিনতাইকারী,	
parishram,	পরিস্রাম,	পরিশ্রম,	
obhaarbhiu,	অভারভিউ,	ওভারভিউ,	
bamon,	বামন,	বামন,	
mit,	মিট,	মিট,	
joneser,	জোনসের,	জোন্সের,	
tokee,	তোকে,	তকি,	
haridwar,	হরিদ্বার,	হরিদ্বার,	
soasage,	সোসাগে,	সসেজ,	
zeebonjaapon,	জীবন্জাপন,	জীবনযাপন,	
foloshruti,	ফলসুল্রিতি,	ফলশ্রুতি,	
harbourey,	হার্বোরে,	হারবারে,	
bon,	বোন,	বন,	
ashongkai,	অসংক্যে,	আশঙ্কাই,	
abheedhaanic,	অভিধানিক,	অভিধানিক,	
tenis,	টেনিস,	টেনিস,	
sachetanatamulok,	স্বেতানতমূলক,	সচেতনতামূলক,	
liceensee,	লিসেন্স,	লাইসেন্স,	
saamaanya,	সামান্য,	সামান্য,	
jhijhi,	ঝিঝি,	ঝিঝি,	
raktaksharaner,	রক্তক্ষণরের,	রক্তক্ষরণের,	
sthaponagulor,	স্থাপানগুলোর,	স্থাপনাগুলোর,	
gujab,	গুজব,	গুজব,	
mufti,	মুফতী,	মুফতি,	
jyeshthaa,	জ্যাস্থ্য,	জ্যেষ্ঠা,	
cholochchitra,	চলচিত্র,	চলচ্চিত্র,	
bocchoner,	বচ্চনের,	বচ্চনের,	
basatey,	বসাতে,	বাসাতে,	
shikkhakder,	শিক্ষাদকের,	শিক্ষকদের,	
grambaasio,	গ্রামবাশিও,	গ্রামবাসীও,	
siqar,	সিকার,	শিকার,	
dibeta,	দিবিতা,	ডিবেট,	
haipar,	হাইপার,	হাইপার,	
sangkulan,	সংকুলন,	সংকুলান,	
aswastikar,	অস্বস্তিকর,	অস্বস্তিকর,	
malaika,	মালাইকা,	মালাইকা,	
eoki,	ইকি,	এওকি,	
pharn,	ফর্ন,	ফার্ন,	
palashir,	পলাশির,	পলাশীর,	
masto,	মস্্ট,	মাস্ত,	
grot,	গ্রোট,	গ্রোথ,	
bujhechhilo,	বুঝেছিল,	বুঝেছিল,	
hoteelti,	হটেটলি,	হোটেলটি,	
gabeshokgon,	গবেষকগণ,	গবেষকগণ,	
manu,	মনু,	মনু,	
hyarikena,	হ্যারিকেন,	হ্যারিকেন,	
parijan,	পরিজন,	পরিজন,	
setitey,	সেটিতে,	সেটিতে,	
arthanitike,	অর্থনীতিকে,	অর্থনীতিকে,	
ottacharer,	অত্যাচারের,	অত্যাচারের,	
aminar,	অমিনার,	আমিনার,	
teresa,	তেরেসা,	টেরেসা,	
sarboshaktimaan,	সর্বসংক্তিমাণ,	সর্বশক্তিমান,	
gatrey,	গোত্রে,	গাত্রে,	
hena,	হ্যানা,	হেনা,	
cuti,	কুটি,	কিউটি,	
ahalyar,	অহল্যের,	অহল্যার,	
korley,	করলে,	করলে,	
godamjat,	গদমজাত,	গুদামজাত,	
advanced,	অ্যাডভান্সেস,	অ্যাডভান্সড,	
kolahal,	কলাহল,	কোলাহল,	
nirbachakder,	নির্বাচকদের,	নির্বাচকদের,	
bhyaatikaner,	ভ্যাতিকাণের,	ভ্যাটিকানের,	
majlishpur,	মজলিসিপুর,	মজলিশপুর,	
dubaate,	দুবাতে,	ডুবাতে,	
hazarer,	হাজরের,	হাজারের,	
noitikotabodh,	নৈতিত্বাবধ,	নৈতিকতাবোধ,	
danob,	ডানব,	দানব,	
oitihye,	ঐতিহ্যে,	ঐতিহ্যে,	
bhittimul,	ভিত্তিমূল,	ভিত্তিমূল,	
charger,	চর্গের,	চার্জার,	
ikbaaler,	ইকবালের,	ইকবালের,	
bodna,	বদনা,	বদনা,	
shilvar,	শিলভার,	সিলভার,	
antarvuktimulok,	অন্তর্ভূতূমূকূত,	অন্তর্ভুক্তিমূলক,	
sheekar,	শিকার,	শিকার,	
laiseens,	লাইসেন্স,	লাইসেন্স,	
hafej,	হাফেজ,	হাফেয,	
paramartha,	পরমর্থ,	পরমার্থ,	
saccer,	সক্সের,	সকার,	
dara,	দ্বারা,	দারা,	
trayte,	ট্রেইট,	ট্রেতে,	
modhumoti,	মধুমতি,	মধুমতী,	
chhotogalpe,	ছোটোগল্পে,	ছোটগল্পে,	
navel,	নেভেল,	নভেল,	
lutherana,	লুঠাররনা,	লুথেরান,	
metrapalitana,	মেট্রোপলিটান,	মেট্রোপলিটন,	
chhanee,	ছানে,	ছানি,	
grambaaseeo,	গ্রামবাসীও,	গ্রামবাসীও,	
dhikrita,	ধিকৃত,	ধিকৃত,	
vugorvey,	ভূগর্ভে,	ভূগর্ভে,	
chho,	ছো,	ছোঁ,	
seatey,	সেটে,	সিটে,	
mawdeel,	মাউডেল,	মডেল,	
janachche,	জনচ্ছে,	জানাচ্ছে,	
jens,	জেন্স,	জিন্স,	
ajeempur,	আজিমপুর,	আজিমপুর,	
pothnatok,	পথনতাক,	পথনাটক,	
mautke,	মটকে,	মতকে,	
bijepi,	বিজেপি,	বিজেপি,	
bhalta,	ভল্ট,	ভল্ট,	
torup,	তরুপ,	ট্রুপ,	
samany,	সমানি,	সামান্য,	
hert,	হার্ট,	হার্ট,	
bharma,	ভর্মা,	ভার্মা,	
kule,	কূলে,	কুলে,	
chikitsar,	চিকিৎসার,	চিকিত্সার,	
shource,	সার্স,	সোর্স,	
abolokon,	অবলোকন,	অবলোকন,	
rushd,	রাশদ,	রুশদ,	
dhrubaker,	ধ্রুবকের,	ধ্রুবকের,	
oichchheek,	ঐচ্ছিক,	ঐচ্ছিক,	
ganana,	গানা,	গণনা,	
torokareer,	তররকারীর,	তরকারীর,	
rupdaan,	রূপদান,	রুপদান,	
abosan,	অবসন,	অবসান,	
akreetokarjo,	একৃতকরা,	অকৃতকার্য,	
aireshe,	আইরেশে,	আইরেসে,	
digri,	ডিগ্রী,	ডিগ্রি,	
antorvuktimulak,	অন্তর্ভূতূমূকূলিক,	অন্তর্ভুক্তিমূলক,	
brekethru,	ব্রেকেরও,	ব্রেকথ্রু,	
khelaphate,	খেলাফাতে,	খেলাফতে,	
pratiyogita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
shkolastic,	স্কোল্স্টিক,	স্কলাস্টিক,	
nopdnodir,	নপদন্দির,	নদনদীর,	
zerusaleme,	জেরুসলমে,	জেরুসালেমে,	
itastatah,	ইটস্টাট,	ইতস্ততঃ,	
upobasi,	উপবাসী,	উপবাসী,	
proshikkhone,	প্রশিক্ষণে,	প্রশিক্ষণে,	
byaboharkari,	ব্যবহারকারি,	ব্যবহারকারীই,	
beshirvagyi,	বেশীরভাগই,	বেশিরভাগই,	
tulechen,	তুলেছেন,	তুলেছেন,	
chalachchitroi,	চলচ্চিত্রী,	চলচ্চিত্রই,	
bhabnake,	ভবনকে,	ভাবনাকে,	
query,	কারি,	কোয়েরি,	
bhabotarini,	ভাবতারিণী,	ভবতারিণী,	
chesa,	চেস,	চেস,	
meghke,	মাঘকে,	মেঘকে,	
rejidens,	রেজিডেন্স,	রেসিডেন্স,	
darzi,	দর্জি,	দরজি,	
areek,	এরিক,	আরিক,	
osamorik,	অসামরিক,	অসামরিক,	
jyaqa,	জ্যাক,	জ্যাক,	
bhramaner,	ভ্রমণের,	ভ্রমণের,	
aholya,	আহল্য,	অহল্যা,	
bhuushito,	ভূষ্ঠিত,	ভূষিত,	
niropekkhotaar,	নিরপ্রেক্ষার,	নিরপেক্ষতার,	
ballrum,	বললুম,	বলরুম,	
shalapheta,	সালফেট,	সালফেট,	
jaanachhe,	জানাচ্ছে,	জানাচ্ছে,	
epiela,	এপেলে,	আইপিএল,	
phising,	ফিশিং,	ফিসিং,	
codee,	কোড,	কোডে,	
sahocorrze,	সহচরর্জ্,	সাহচর্যে,	
ogrodut,	অগ্রাদূত,	অগ্রদূত,	
satjoner,	সৎজনের,	সাতজনের,	
abartey,	আবর্তে,	আবর্তে,	
asociatees,	অসোসিসেট,	এসোসিয়েটস,	
alpa,	আল্প,	অল্প,	
prasadhoni,	প্রসাধনী,	প্রসাধনী,	
karmokandeo,	কর্মকান্ডে,	কর্মকাণ্ডেও,	
manobsomajer,	মানবসমাজের,	মানবসমাজের,	
